,Ant routing,Flooding
Trondheim/audio,0.001010105331507951,0.001840264289674824
Trondheim/audio/01,0.0011132919146559898,0.0013980790872051966
Trondheim/audio/02,0.0012120705473809006,0.0016834762222108848
Trondheim/audio/03,0.0011661538747341942,0.0019526741746772954
Trondheim/audio/04,0.001115067478967138,0.00107963467593012
Trondheim/audio/05,0.001143512341612344,0.000999275452535194
Trondheim/audio/06,0.0010803760504496354,0.0010478546568311957
Trondheim/audio/07,0.0010481687844178706,0.0010226634665739859
Trondheim/audio/08,0.0011457411067989285,0.0009794722067715947
Trondheim/audio/09,0.001117016873967975,0.0010192764488054235
Trondheim/audio/10,0.0011802937610581562,0.0010480814450714747
Trondheim/video,0.0009699988365080035,0.0018476343139757641
Trondheim/video/01,0.0010441429414020896,0.0012258302836643978
Trondheim/video/02,0.001014988000238064,0.0016049614330784063
Trondheim/video/03,0.0009579578618254539,0.0018766522084309669
Trondheim/video/04,0.001030228725661357,0.0010866981478533945
Trondheim/video/05,0.0011409154425925643,0.0010692476535776798
Trondheim/video/06,0.001086697634179847,0.0010432931383478055
Trondheim/video/07,0.0010660800482805704,0.0010052114921356406
Trondheim/video/08,0.00101499556447264,0.0009929996359259296
Trondheim/video/09,0.001162222155133809,0.0010053408805999532
Trondheim/video/10,0.0011191644841814408,0.0010486850697774147
