,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Trondheim/audio,53.50301120000006,132.6721459200002,,132.6632628800002,132.66762912000019,,,,,,53.50301120000006,,,132.6647684800002,,53.50150560000006,,
Trondheim/audio/01,186.20281632000018,107.38111335999989,,56.65076088000001,239.20076319999993,,,,,,186.16464928000025,,,186.16464928000025,,56.649374480000006,,
Trondheim/audio/02,252.36078719999978,148.67868159999992,,69.15476088,207.91461632000045,,,,,,186.16464928000025,,,186.16464928000025,,69.15337448,,
Trondheim/audio/03,564.6496362399987,564.6628309599986,,564.6486013599986,186.17594408000048,,,,,,186.17827256000066,,,564.6498949599986,,186.17594408000048,,
Trondheim/audio/04,,,,96.23999384000004,,,,,,,189.17077168000023,,,,,,,
Trondheim/audio/05,,,,112.3600078399999,,,,,,,192.1680148800002,,,,,,,
Trondheim/audio/06,195.17064032000025,127.06857504000001,,121.84675903999991,191.07293919999984,,,,,,195.16926368000017,,,195.16451168000023,,118.49859679999989,,
Trondheim/audio/08,201.17064032000025,163.89468159999993,,138.51698104000005,143.46493919999983,,,,,,138.51983704,,,201.18755128000012,,201.16770208000023,,
Trondheim/audio/09,149.3542582399999,173.57468159999993,,,209.09732128000016,,,,,,204.1691300800002,,,149.3542582399999,,149.33440904,,
Trondheim/audio/10,207.80868976000014,,,159.36784256,164.29888975999992,,,,,,159.37069855999997,,,207.80868976000014,,207.78884056000024,,
Trondheim/video,465.70731840000076,465.7045581600007,27.50157728000005,465.7032437600007,27.502760240000043,27.501840160000086,27.502760240000043,465.7137589600008,27.50144584000003,465.7044267200007,27.502760240000043,465.71796504000076,465.7044267200007,27.507754960000057,465.7350522400007,,465.7150733600008,27.502760240000043
Trondheim/video/01,269.44783239999776,269.46102711999765,269.42664255999784,493.7537479200014,493.7537479200014,269.43406815999765,493.21366768000075,269.43406815999765,269.4265187999979,493.2111924800008,493.7560764000016,269.44149375999746,493.21230632000083,269.4480911199977,493.218494320001,,493.2149052800007,269.43406815999765
Trondheim/video/02,493.2233956000009,63.20952591999935,493.2220360000009,63.2094023199993,63.21150351999904,493.22166520000076,493.2261148000009,63.216200319998734,493.2217888000008,63.210514719999196,63.21150351999904,63.21137991999899,493.22215960000096,69.41729431999909,63.23832471999913,,493.22351920000096,497.83550888000184
Trondheim/video/03,493.2137216800006,80.5966113599992,,80.5959301599994,80.59674759999916,493.20977072000073,498.2566831999991,493.21481160000064,493.20881704000067,80.59647511999924,80.59674759999916,493.2191712800004,493.2107244000008,87.65763192000054,80.62944519999962,,,
Trondheim/video/04,91.2230636799992,91.22755959999927,91.2274233599993,91.21993015999942,496.2114056000006,496.2120868000004,157.8012087199994,496.22816312000043,91.2266059199992,496.21195056000045,91.23437159999901,91.23873127999877,496.2114056000006,503.2620719200022,496.2338852000013,,158.03057823999904,498.75981696000053
Trondheim/video/05,500.5569751200011,500.56147104000115,500.5613348000012,500.5538416000013,99.14149415999873,99.14217535999853,99.13740695999888,99.15825167999856,500.5605173600011,99.14203911999857,500.5682830400009,500.57264272000066,99.14149415999873,114.74239072000023,99.16397375999941,,99.13507679999896,499.20731840000076
Trondheim/video/06,158.641792,110.49025959999926,110.4901233599993,110.48263015999942,502.2100786400008,502.2133868000004,109.86772391999955,,110.4893059199992,502.21325056000046,502.2362751200002,502.24063479999995,502.2127056000006,124.7274759200011,110.49598168000011,,502.4629192799986,502.2086184000008
Trondheim/video/07,505.21268168000074,122.44530663999933,122.44516911999938,122.44393143999935,122.44681935999927,505.20924368000055,515.7112960800013,155.74672399999992,505.20896864000065,122.44503159999942,505.2102063200007,122.45974623999905,505.2091061600006,125.00881463999974,505.2250584800007,,515.9335805599999,122.44681935999927
Trondheim/video/08,508.21323176000055,508.20924368000055,,131.84393143999932,131.84626927999943,131.8453066399993,,516.3200470400016,508.20896864000065,131.8450315999994,131.84626927999943,131.85919615999921,508.2091061600006,136.80006367999943,508.2256085600005,,,
Trondheim/video/09,,,511.2396454400008,177.16479895999913,,,524.0580989600008,167.154384,511.23878720000084,144.2649433599994,144.26437119999935,,144.2649433599994,,,,219.80261120000023,511.21783360000086
Trondheim/video/10,,,,154.24634271999912,,,,,,154.27838367999925,514.841346880001,,,,,,,
