,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Trondheim/audio,46.32641768000002,44.502437920000034,,44.50000000000006,181.3766622399999,181.3861430399999,181.3724635999999,181.37219271999987,181.3725990399999,44.510428880000035,44.50108352000004,
Trondheim/audio/02,184.97983360000023,225.8760983199997,,184.97983360000023,184.98350559999994,225.89813031999978,228.04267496,225.8760983199997,213.39662807999989,184.97983360000023,227.5506992,
Trondheim/audio/03,197.60493336000002,197.60630088,,225.87516127999993,197.6112736799999,197.61985175999996,240.9800132000001,209.65357887999994,225.88000975999984,225.88249616000002,227.34635304,
Trondheim/audio/04,236.84772160000003,228.87948175999986,,211.80541015999995,228.89000111999968,211.82763416000006,,230.7125607199999,238.62062807999993,228.8765185599999,211.80541015999995,
Trondheim/audio/05,221.97324536000002,222.80037335999992,,222.79741015999997,222.81089271999974,231.89874256000002,264.01357047999994,231.87503695999993,234.21931463999977,262.1229960000001,231.8765185599999,
Trondheim/audio/07,237.94561184000008,237.87964016,,242.63565336000016,242.86943599999947,,,243.60836800000004,244.95867047999985,242.6310501600001,237.87503695999993,
Trondheim/audio/08,257.1384709599999,240.98181136000005,,254.74948216000013,,254.74487896000005,313.19907952000005,267.63236800000004,268.1326280799999,252.08761616000015,240.97720815999998,
Trondheim/audio/09,296.1655552000001,266.1174821600001,,243.98181136000005,268.65151679999997,266.11287896000005,,259.5550055199999,277.91662808,257.4766049599999,,
Trondheim/audio/10,276.9917216,274.3697397600003,,267.51960048,313.16604343999984,248.92155375999988,,294.2643680000001,289.58862808000003,262.41634735999975,274.2583621600001,
Trondheim/video,177.71656071999996,177.71671455999996,177.7184067999999,177.71656071999996,24.504461359999993,177.73671376000004,24.507538159999967,24.5,24.564612799999907,24.50153839999996,24.502922959999978,177.73071399999992
Trondheim/video/01,52.173975199999944,52.17423423999995,52.177083679999924,202.2201714399999,,202.23195775999991,,202.21809911999992,347.87298408,52.186150079999976,202.2191352799999,74.69251327999984
Trondheim/video/02,,66.62520615999995,66.6265013599999,,202.22934415999987,66.64476368000004,,,,202.22416335999992,,
Trondheim/video/03,,,78.30531119999984,78.29169599999989,202.87053431999993,78.32357351999997,,,202.24548392000003,202.86535351999999,78.30401599999988,
Trondheim/video/04,205.25587040000005,87.04471495999996,205.53684815999986,205.52323295999992,87.67099735999989,205.55511048,,87.04471495999996,87.04594695999998,87.66581655999994,205.5355529599999,97.87657815999972
Trondheim/video/05,208.23268071999996,,,,,,122.28139559999994,99.45788319999986,,,99.45788319999986,169.93134135999998
Trondheim/video/06,110.38888935999995,,,,,,,211.23517535999991,,,123.02656727999994,110.39534136000003
Trondheim/video/07,,,,,,,,,,,133.41056727999995,
Trondheim/video/08,149.80569920000005,217.22708255999987,141.03385415999986,141.02542535999993,141.03104455999988,217.23972576,184.90165120000012,217.21656071999996,217.2242729599999,226.96961552000005,144.4384790399999,175.33134135999995
Trondheim/video/09,157.00907432000002,,,,,151.6650191999999,,223.6211856,,,223.6211856,
Trondheim/video/10,223.21825295999992,175.45367896,175.45612695999995,223.21825295999992,175.45979895999966,223.23783696000004,206.216,175.45367896,373.79924008000006,,224.89040584000026,186.55320640000008
