,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C13
Trondheim/video,216.32254655999995,216.3357311999999,216.32242447999994,216.32352319999993,216.32474399999992,24.50122079999997,24.50122079999997,24.50244159999997,24.501464959999993,24.50134287999998,24.501464959999993,216.32474399999992,216.32352319999993
Trondheim/video/01,50.3394886399999,240.82975775999984,50.31065984000003,240.8261385599999,,160.76145944000012,,,,50.31078464000001,240.82632839999997,,160.76145944000012
Trondheim/video/02,63.17478719999997,,63.174661119999996,,,,240.82502815999993,,,162.2621632,63.18752127999994,240.82881055999997,
Trondheim/video/03,80.31881071999993,,80.31867287999995,,83.58568471999979,240.82514575999994,240.82514575999994,80.32170535999995,240.83879191999995,240.82624848,240.84265144000005,80.31894855999991,80.32032695999993
Trondheim/video/04,244.64532143999986,246.9005571999998,244.64518359999988,89.45725663999997,115.06895808000007,89.45863503999999,89.45863503999999,89.47365960000002,243.82620895999992,89.45973776000005,,244.64545927999984,244.64683767999986
Trondheim/video/05,99.59081071999992,156.1438783999999,99.59067287999994,279.4448396800001,98.12739968000005,246.82514575999994,246.82514575999994,246.84017031999997,246.82376735999992,246.82624848,101.87498104000002,99.5909485599999,99.59232695999992
Trondheim/video/06,249.8703370400001,,235.4522136800004,249.82849351999994,249.84027704000005,,235.4536565600004,235.45606136000032,235.45606136000032,235.4523339200004,249.83907464000004,235.4668829600003,249.82969591999995
Trondheim/video/07,127.7553859200001,127.7722857600001,184.1680220000002,252.8253321599999,252.8253321599999,135.27660928000012,252.89934719999974,127.76774784000014,127.76618304000016,,,252.82564511999988,
Trondheim/video/08,255.82510319999994,255.82619615999988,134.79878560000017,290.2889063200005,255.8249817599999,290.3045720800002,258.72084735999965,290.2899992800004,290.2889063200005,255.8249817599999,,165.57640872000025,290.28271288000053
Trondheim/video/09,152.68213520000023,267.04981351999976,149.23880120000018,150.32680888000004,258.82508607999995,262.4963123999998,258.82508607999995,258.83790919999996,149.2530651200002,150.44521576000017,265.66897896000006,149.25753160000022,150.32680888000004
Trondheim/video/10,265.2356699199999,270.0500771199997,159.18267912000022,161.5025452800001,261.82520815999993,192.84268024000033,261.82520815999993,159.21423264000026,159.19694304000024,266.7349113599997,,,163.70411792000021
