,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9
Trondheim/audio,44.76023464000008,44.505558399999984,271.69938864,271.69660944000003,44.50277920000002,271.69535880000007,271.69813800000003,44.50000000000006,44.502640240000005,271.70077824
Trondheim/audio/01,184.09351887999986,181.76658359999993,169.58885079999988,140.23131967999979,228.31773111999985,168.50823327999979,169.19322735999953,169.06023327999975,179.72500551999963,69.25468680000023
Trondheim/audio/02,316.3106913600001,331.90431088000025,185.38085079999985,329.85703544000006,170.64289367999982,329.4206984000001,182.64169471999924,171.19489367999978,181.42721975999962,170.61984039999982
Trondheim/audio/03,331.23870120000004,331.2340331999999,199.50085079999985,316.20750144000044,323.10961287999953,327.25150568000004,,226.45208639999987,340.1378803999996,186.8263748000001
Trondheim/audio/04,319.2160089600001,198.72464104,,,,328.8308895999999,,196.58510568000003,,198.04070248
Trondheim/audio/05,322.20904375999993,332.4294478399999,217.0123650400002,207.87135656000004,322.2232917599999,331.8381723999997,219.17722735999945,207.85710856000009,209.37408280000005,209.28141968000028
Trondheim/audio/06,325.2078462399999,221.98414064000048,230.20132439999952,220.80256895999997,273.69939687999965,233.0402875200004,231.2172273599994,335.7593045599995,334.9153899999995,221.39286520000024
Trondheim/audio/07,328.72899880000006,,269.0184864799997,270.81507719999973,281.16850799999935,,343.09749760000005,,331.4838060800003,
Trondheim/audio/08,331.2078462399999,240.03858360000004,245.74946743999965,227.13856896,332.8192256800003,252.18823327999974,305.96908839999935,342.35057999999975,239.63700551999972,227.72886520000026
Trondheim/audio/09,344.4868489600006,344.48218096000045,311.4325420799997,315.52735367999986,322.42946511999895,334.20633663999996,315.5164616799995,311.43040551999974,283.29963360000005,334.2215439199999
Trondheim/audio/10,275.0224723999997,263.54258360000006,275.22933151999973,248.59546655999975,288.6833968799996,272.4682332799997,273.3132273599994,246.4600863999999,251.34763360000005,234.42637480000025
Trondheim/video,265.8728713599999,265.86735207999993,24.553777600000103,24.50014152,24.514293520000024,24.5,265.8730128799999,265.86494623999994,265.8730128799999,
Trondheim/video/01,48.55759232000037,48.55516512000031,290.39106856,48.55419424000024,290.39495208000005,48.553102000000194,290.38864135999995,290.38730639999994,,
Trondheim/video/02,61.01307112000006,290.39060472,61.01575864000006,290.38950528,61.047886720000065,290.38730639999994,61.01307112000006,61.012948960000074,290.39060472,
Trondheim/video/03,290.3941308000001,290.39065656,305.33756416000017,,74.04479919999989,290.38730639999994,74.01204208000001,74.01191800000004,74.01353103999998,
Trondheim/video/04,293.3942023999998,104.35856663999994,113.92357288,293.3886855999999,104.40008055999999,104.35594615999997,303.29420447999996,293.38744431999993,104.35594615999997,
Trondheim/video/05,296.3929600799999,116.54436576,,296.3935395999999,116.58782975999992,296.38716487999994,,116.5419028,,
Trondheim/video/06,299.3790391999998,127.9342866400001,,299.37961871999977,127.97775064000001,299.37324399999983,299.37324399999983,127.9318236800001,127.83676159999976,
Trondheim/video/07,169.18336687999994,169.32920872000017,302.39165175999995,316.36272039999966,169.20193327999993,302.38716487999994,182.82328519999987,169.18042719999994,314.6503219199997,
Trondheim/video/08,135.10750743999995,306.03781839999994,135.0959618400001,135.10808695999992,306.08128239999985,135.10171223999998,135.10171223999998,306.03535543999993,305.9402933599996,
Trondheim/video/09,149.39122535999996,149.5370672000002,308.39179327999994,322.36286191999966,149.40979175999996,308.38730639999994,149.7351436799999,149.38828567999997,320.6504634399997,
Trondheim/video/10,272.6224723999999,273.8776889600002,,,311.3898416799998,275.37127544000066,322.0363166399992,322.3081697599994,,
