,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13
Trondheim/audio,484.2399415199989,,59.504368320000424,484.23968455999903,59.50115632000012,484.22465239999946,484.2245239199995,59.51426128000054,484.2250378399993,59.50218416000024,484.2247808799994,59.51323344000042,59.50102784000018,484.2278643999992
Trondheim/audio/01,48.74440695999965,,48.73953335999977,48.750620799999524,543.7248894399996,543.7246457599996,48.736487359999956,543.7407286399999,543.7274480799996,48.73843679999982,543.7273262399996,543.7577862399999,48.73734023999987,51.425256959999956
Trondheim/audio/02,,,,,543.7268966399995,61.019604479999884,61.01948359999983,61.0326595199997,61.02431879999972,543.7619518399994,,543.7365670399995,543.7267757599994,
Trondheim/audio/03,,,73.27542360000018,,73.24060040000006,543.7256046399996,73.24048032000007,73.26209472000016,,543.7266853599996,,543.7448174399996,543.7484198399995,73.27782520000017
Trondheim/audio/04,97.11319519999995,,87.43559208000022,556.8488843999996,87.43266520000009,546.7257212799996,87.43253216000005,87.44437271999993,546.7282490399996,546.7269186399996,87.43545904000018,546.7390252799995,546.7322402399997,87.43692248000025
Trondheim/audio/06,563.3550579999991,,109.0418720000007,115.61210879999987,552.7271031999996,109.04057840000064,552.7282674399997,109.0483400000004,552.7380795999995,109.04057840000064,552.7424970399998,,,
Trondheim/audio/07,,,555.7334999199994,,,,127.5786215999999,127.59971519999999,,555.7261695199995,,,127.57562959999996,
Trondheim/audio/08,137.4468598399999,,559.7646240799995,138.096,558.7262152799996,137.42211071999998,137.4514974399998,,156.9229200000001,,137.4287846399999,,559.7572936799996,558.7317768799995
Trondheim/audio/09,,,149.89904207999962,,149.38386368,149.38242047999995,561.7490794399997,561.7444418399998,,561.7258245599996,,149.39411039999993,149.89171167999973,561.7314530399998
Trondheim/audio/10,564.7392440799996,,161.3682398399999,176.82399999999984,564.7275282399995,160.87816672000008,564.7438816799995,160.8995734399998,568.7459021599998,160.87816672000008,564.7288299999994,564.7320120799998,161.36090944,160.8853987199999
Trondheim/video,24.50518399999997,78.49488615999998,65.44416936,65.31641415999995,65.31511815999995,24.50259199999998,24.731830639999984,54.090462399999964,24.867830640000037,65.31498855999995,37.77199999999992,48.73350047999992,48.98799999999997,37.539590399999966
Trondheim/video/01,51.48176016000008,225.86037944000023,89.82145631999992,89.82284535999995,51.48034952000006,89.82376463999992,51.48022128000005,52.59728159999999,51.490736960000135,89.82261047999992,,39.26374144000002,40.41870080000004,47.47186575999997
Trondheim/video/02,89.82285255999994,,89.82144983999993,,,,65.04021984000005,78.12528160000001,,65.04149504000006,,,57.00299680000006,
Trondheim/video/03,77.838288,67.19191200000006,223.89408936,89.82759815999992,77.8357344,89.82516615999992,89.82163975999993,94.06128160000002,89.82638215999992,77.83451840000001,77.835856,70.75840352,72.9310912,
Trondheim/video/04,,,93.17613671999999,,,,,,,,,,325.0296341599999,325.0326419999999
Trondheim/video/05,107.59017599999999,94.33638560000003,95.82651335999998,95.82806615999999,95.82496055999997,107.58551759999995,107.58862319999997,206.61409944000005,95.82651335999998,95.8470597599999,107.58707039999996,96.18231855999997,94.14834535999978,98.5970032
Trondheim/video/06,99.18813127999988,,334.5925055999999,334.6787400000001,99.17790007999997,334.64950800000014,99.17760776,99.18506191999984,99.1895928799999,334.59133631999987,334.64950800000014,334.60843703999996,,
Trondheim/video/07,109.05181128000024,,101.82147431999991,,119.61287807999972,119.58813247999984,119.58422527999988,133.96153759999999,,133.51883304000015,101.82160455999991,115.43031855999999,113.34834535999971,120.70774079999985
Trondheim/video/08,,,106.3325000000001,,,,,340.9249989599997,,,,,340.9016133599998,
Trondheim/video/09,353.00483495999964,,108.50927840000026,,353.0005509599997,108.17771359999995,352.99926575999973,353.0282205599995,,108.17757079999996,108.19642039999985,,352.99769495999976,
Trondheim/video/10,154.4672748799997,,,,110.82140551999998,154.46575775999975,118.91042304000013,,,205.55817064,,163.97120711999997,149.71498400000004,
