,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Trondheim/audio,75.12836831999996,47.50192192000003,47.51972608000004,71.3879999999999,71.2432224,75.14735519999995,80.96084480000013,75.12672095999996,64.20400000000001,74.21200000000005,68.49999999999989,85.92400000000009,66.48510080000005,41.9879999999999,45.445068799999945,54.7082945599999,45.061912159999935,65.82857199999992
Trondheim/audio/01,136.36542255999998,136.31811424000003,136.31811424000003,122.63154384000003,,,145.69980895999996,122.63054095999999,136.31811424000003,122.63054095999999,,122.63179456000003,,136.31610848,,124.46335791999999,126.05276304000003,136.31811424000003
Trondheim/audio/03,,124.56724751999963,122.72972135999987,122.64962079999998,313.52237792000017,122.67389055999979,315.42196464000074,313.5193251200001,313.85410944000034,315.3613244800004,122.65435263999996,314.5052530400003,122.65099455999996,122.65129983999998,125.02556415999948,313.5193251200001,313.49810816000013,313.52069888000005
Trondheim/audio/04,97.92948288000007,,125.62758591999996,97.93078032000007,125.65944527999987,97.94490800000018,125.65223727999991,125.62729759999998,129.5306889599999,99.74855472000012,103.59731104000005,,,129.2544134399999,97.92962704000006,125.63046911999994,97.92746464000003,79.26659119999991
Trondheim/audio/05,321.0570068800002,323.3078915200002,321.47036536000047,385.34114703999984,321.0828030400002,129.52146543999976,131.08932064000015,321.0797502400001,131.09369776000034,131.02868047999982,129.50192751999992,130.1726090399997,129.49856943999993,129.49887471999995,323.7662081600001,321.0797502400001,129.49719567999995,321.0811240000001
Trondheim/audio/06,110.03797496000004,109.66330456000006,,131.64711112000003,109.67356376000004,131.65480552,,131.62915752,135.91402503999993,,105.44083200000006,,89.03200000000001,,109.66330456000006,95.03717760000006,113.96816056000011,
Trondheim/audio/07,134.63302911999992,169.2202156800001,135.0388583200002,134.6360723199999,177.04623536000028,169.2441048000001,135.55781512000038,329.24759872000004,169.2202156800001,332.59371367999984,136.56577647999976,,134.65144047999993,134.62702624000002,,,169.21991136000005,329.24897248
Trondheim/audio/08,136.0835187200002,137.65516255999984,134.64085696000006,134.64305472,134.6484844800001,137.67326175999978,145.41790512000017,137.62788447999998,137.64352735999995,140.92799999999983,134.52988127999993,128.2908432000001,137.64352735999995,134.6396934400001,134.65624128000002,117.96800000000007,139.2626668799998,132.98342799999998
Trondheim/audio/09,149.94469792,140.62854688000004,149.95245807999999,149.94774112,157.91606448,149.97634719999996,,140.62824256,140.62854688000004,,158.04188127999993,142.704,140.63919808000009,149.9436328000001,149.94332848000005,142.41594736000008,140.62687312000003,
Trondheim/audio/10,143.63862015999982,173.52662464000022,145.85449119999984,143.6416633599998,181.0695206400002,173.5505137600002,185.16136640000002,143.63055647999997,173.52662464000022,191.1213664,169.80988127999996,151.856,143.65703151999983,171.69576447999972,143.6358812799999,171.71519999999967,173.52632032000017,167.33463359999996
Trondheim/video,186.3602038400001,186.3603480000001,24.500864959999916,186.36279872000011,24.538346559999894,186.37000672000016,24.524218879999864,24.500576639999935,28.409590239999915,188.1736534400001,192.02240976000004,186.3616454400001,24.53113855999993,28.133314719999902,24.500864959999916,24.5024507199999,186.35818560000007,186.36279872000011
Trondheim/video/01,222.43831343999997,123.00810207999993,124.23862704000001,210.86250880000003,,210.87837792000002,199.66451120000022,123.0084163199999,123.00810207999993,199.66451120000022,,141.07348960000013,,210.87696384,123.0052739199999,,210.86093760000003,210.88701759999998
Trondheim/video/02,223.67501952,,,210.86868991999998,132.39043952,,,,135.53792095999998,,,,210.86429055999994,,,,135.53792095999998,
Trondheim/video/03,223.6602627999999,210.87206432000013,151.20273688000006,151.20638983999984,,151.2246776800001,214.29651120000023,210.86109392000006,210.87222104000014,269.13657200000006,141.75572032000002,166.68252960000007,,151.20022936000007,210.87222104000014,151.20587128000008,,266.46098112000004
Trondheim/video/04,,213.86844671999972,213.8635826399999,,354.09890240000027,213.87842431999945,213.88341311999932,354.08505847999993,,354.09890240000027,213.86470511999983,354.08518319999996,354.096408,213.86158712000008,354.08480903999987,354.08505847999993,354.1188576000004,213.88341311999932
Trondheim/video/05,436.34731663999963,,,216.86658384000003,,,,,436.34731663999963,,,,,,,,,
Trondheim/video/06,,167.01123728000007,220.31156392000017,,219.86890399999996,164.69486672000002,280.3205112000005,164.67570016,,275.16857200000004,172.63801632000008,202.10846400000014,169.86508351999993,219.86157919999997,164.70426688000006,164.67545600000003,219.86365456000001,271.70098112000005
Trondheim/video/07,222.89535207999987,200.9472875999999,175.74447872000033,252.40959536000014,183.55486912,175.41149816000004,289.6885112000005,222.85901199999998,222.86524944,286.344572,,241.07646400000016,183.77858751999986,175.40088335999994,222.8653808799999,,175.40150776,282.70898112000003
Trondheim/video/08,184.92634736,225.8685028799999,226.2014834400002,263.64959696,,184.89999767999998,356.4952979199996,184.89000727999994,239.32124784000013,225.88701759999998,230.9793270400001,251.14846400000016,266.3344918400004,225.86275839999993,225.86488135999994,186.8455999999999,184.88975751999996,356.4952979199996
Trondheim/video/09,,,,,228.8889216000001,,,,,,,,,,,,237.17262944,
Trondheim/video/10,231.88790375999992,,,436.4983575999997,,436.5167375199996,,,231.88790375999992,,,,,,,,436.4969327999997,
