,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Trondheim/audio,44.501514400000076,44.50923784000037,258.1069192,258.1084336,258.1084336,44.513781040000254,44.513781040000254,258.11009944000006,258.11600559999994,258.11600559999994,44.50318024000012,258.1144911999999,44.50605760000013,44.51680984000029,258.1114623999999,44.504543200000114,258.11009944000006,44.50015144000008
Trondheim/audio/01,160.32549896000057,302.8809770400002,302.90389104000036,160.3067389600002,179.79471359999997,302.6099480000001,174.24077047999987,310.84210888000024,192.58219528,179.79471359999997,302.85688504000035,313.6273314399999,302.88513104000026,159.61329495999996,160.35229896000055,159.61583095999993,182.68750592000004,302.9171024000008
Trondheim/audio/02,,173.71461016,295.0392872000006,302.74510584000035,,,,,,,,184.44220455999965,173.7187641600001,,302.8094258400008,,210.45550592,
Trondheim/audio/03,297.4352621600004,204.55778352000004,314.66036647999954,204.55614056000002,,,296.82190248000046,314.8213677600001,,,302.6267162400003,311.8685865600004,204.5670438400001,,206.00360344000057,302.6280604800003,223.70350592000005,
Trondheim/audio/04,217.70326936000004,217.72792216000005,310.14576727999975,226.60210232000054,305.6285055200002,217.72006408000004,,293.1699872800003,,305.6285055200002,305.6271188000003,225.92620264000038,217.70619688,305.9174277600001,,217.70619688,236.50350592,305.6269647200003
Trondheim/audio/05,,226.06469656000013,,315.8368925599998,310.6437311200001,226.05683848000012,308.6161458400002,360.00154408000003,359.98200248,310.6437311200001,310.6423444000002,234.26297704000046,226.04297128000007,310.93265336,226.04004376000012,226.04297128000007,249.49550591999997,310.64219032000017
Trondheim/audio/06,,248.24765447999948,,328.7787991200008,,,,,,,,311.6264194400002,248.24907047999943,,236.68636800000036,,,
Trondheim/audio/07,314.63602184000035,256.2797309599997,314.62070024000025,247.52566312000022,245.70005976000039,262.1602963999996,297.9019024800005,245.72968152000033,,272.8665971999996,245.69750616000033,316.36234296,256.28114695999966,315.50579832000057,315.3422064800001,316.3596525600001,256.74350592,
Trondheim/audio/08,256.91748112000016,280.0916576799999,,284.86729335999974,,,317.6871602400006,256.92301448,308.81388136000015,,274.58097176,268.4509136799991,317.68857624000054,,317.6696154400005,319.45634392000034,266.88750592,
Trondheim/audio/09,321.6234339199999,264.49530136,264.9497762400006,324.0466621599994,320.6244301600001,,265.0132074400009,321.62896727999976,319.4218813600001,,338.58082343999956,332.5186413599989,265.65284856000073,265.6514325600008,264.9956626400008,267.4884922400008,281.0229747199998,270.8154573600001
Trondheim/audio/10,290.16326216000033,,330.61633007999995,,280.25387632000076,323.6354858400002,360.2296536799997,323.62221063999993,360.2130040799998,367.38751768000026,,,,367.38751768000026,,,,281.77063943999997
Trondheim/video,24.542194880000068,24.516652160000035,249.00900384000005,248.99616192000008,249.00618144000003,248.99785536000013,24.50973728000008,24.511148480000088,249.01196736000009,24.502540159999967,248.9977142400001,24.50973728000008,24.503951359999974,249.00477024000003,249.00053664000006,248.99926656000014,24.502540159999967,24.501270079999983
Trondheim/video/01,,273.5152883200001,,51.31735567999988,,,51.32738447999992,,273.51027392000015,,51.319862879999846,51.32487727999978,273.51027392000015,,273.53923208000015,51.322370079999814,273.51654192000007,
Trondheim/video/02,138.39972768000024,273.57282368,273.52379519999994,138.39972768000024,273.52633599999996,138.40099808000025,138.40836640000043,273.51858656000013,273.51858656000013,273.51858656000013,138.40087104000025,138.40709600000042,138.4045552000003,273.5173161600001,273.52252480000004,138.40341184000027,150.19349632000024,273.5187136000001
Trondheim/video/03,,273.50621864000004,,83.70199247999994,,,120.9755391999999,273.5145075200001,,,,,99.4410983999997,,273.55318423999995,83.70469655999989,,
Trondheim/video/04,276.52663872000034,,276.54539872000043,149.4957972800002,149.50799128000045,276.5293187200004,,,,149.50799128000045,276.51859872000017,149.5053112800004,149.49727128000023,149.50799128000045,149.53479128000043,276.5198047200002,287.58504103999974,276.52650472000033
Trondheim/video/05,279.54303072000005,279.53874271999996,171.25435928000087,171.2169732800004,171.23559928000077,171.23827928000082,279.5298667200001,170.52226128000018,181.95833680000044,279.54303072000005,170.52226128000018,287.72564511999974,279.54289672000004,,279.56983072,279.5184547200001,170.52606528000013,173.82198528000072
Trondheim/video/06,282.51748600000013,209.0413068800002,282.5189108000001,209.0398820800002,214.12719671999974,282.5254648800003,282.5207630400002,216.4982600799991,224.97289679999864,214.12719671999974,209.04116440000018,218.44910487999937,209.04515384000013,282.5254648800003,284.48708512000155,,283.0505255200011,282.832619280001
Trondheim/video/07,334.9789716799999,285.51992392000017,291.44069368000027,288.3417895200001,328.4420348000007,332.3495127200004,291.71423848000046,333.73593624000017,327.1277492800003,327.13408008000016,288.71163719999953,327.1302040800004,285.5237999200003,285.5858159200006,327.1314960800001,289.4032427999999,,329.5860728800005
Trondheim/video/08,296.69331336,339.26034736,343.7503520000002,290.23896128000075,340.56886304000005,294.0638544000005,344.0238968000004,295.45027792000025,,339.2606278399999,290.6088089600002,339.2609083199995,288.5185832800001,339.2604876,288.5237721600004,,288.5159187200001,341.7129011199998
Trondheim/video/09,291.5167475200002,,291.5355075200003,146.56325648000023,146.58188248000062,291.51942752000025,291.5124595200001,145.24280608000026,165.47536240000005,146.58188248000062,291.5005760000001,157.3573564800003,291.5166135200002,146.58188248000062,146.6086824800006,288.10473968000025,,286.26909600000016
Trondheim/video/10,353.4174365600002,,299.7877736000002,296.2364369600006,347.05938736000013,350.5144328000004,,,,345.75115216,,345.7514326399997,,294.51605895999995,294.5212478400003,,345.7483473600001,297.75032271999993
