,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Trondheim/audio,47.088657040000044,250.4306859199998,44.50229368000009,44.50579456000014,250.42706431999977,44.50458736000013,44.50229368000009,250.4135436799998,250.41475087999981,250.4135436799998,250.41595807999983,44.50120720000007,250.4135436799998,44.50579456000014,44.50229368000009,250.42827151999978,44.50229368000009,250.4439651199998
Trondheim/audio/01,295.4939237600002,162.4060503999998,,200.14616375999992,,,,163.10497599999968,295.56206216000027,165.1434975999996,,163.10497599999968,,,295.57012616000037,,186.97290159999994,
Trondheim/audio/02,179.04478016000002,239.72062232000013,294.9221395999998,296.6980219199997,179.04478016000002,,297.3281693600003,179.0529590399999,294.9474807200001,179.17414303999988,299.2932208,294.926162,179.06636703999993,295.63146152,294.92106695999985,,214.86090159999992,
Trondheim/audio/03,294.9388996800001,294.93769152000004,294.93648336,376.056055279999,376.0529677599991,376.054578639999,376.0543101599991,376.05618951999895,294.9454774400001,376.056055279999,294.93406703999995,376.0529677599991,294.93406703999995,294.94037632000004,294.9375572800001,376.0924343199989,294.9352752,376.056055279999
Trondheim/audio/04,387.374408719999,297.9393787199997,297.9339686399999,387.3911938399989,387.388419439999,297.9367430399998,387.38980663999894,297.94076591999965,387.374686159999,297.9339686399999,297.93521711999983,297.93521711999983,387.39812983999866,387.38980663999894,297.9328588799999,387.3911938399989,387.374408719999,297.97142304
Trondheim/audio/05,475.7641351199991,475.768256399999,475.76520359999904,300.95327039999995,300.95159135999995,300.95647583999994,300.95311775999994,475.76688263999904,300.95128607999993,475.769935439999,475.7642877599991,300.95174399999996,475.76535623999905,300.95327039999995,300.95632319999993,475.79893703999903,,475.78367303999903
Trondheim/audio/06,,394.7444423199988,303.9339686399999,303.93813023999974,394.74041943999896,,394.7418066399989,,,,303.93521711999983,303.93521711999983,394.75276551999855,394.7418066399989,394.726408719999,303.93813023999974,,303.9687873600001
Trondheim/audio/07,,,,,,,239.22218496,306.9194771999999,,,,,239.22082336,,306.9222003999999,,,
Trondheim/audio/08,,310.6513603199994,401.1950506399993,401.19921223999916,310.64733743999955,401.19394087999933,310.6487246399995,401.19130727999925,,,401.19629911999925,401.19629911999925,310.65968351999913,310.6487246399995,310.63332671999956,401.19921223999916,309.9328588799999,401.2298693599995
Trondheim/audio/09,315.53503495999985,259.90616375999997,251.3821270400001,332.89016376,251.3810412800001,313.6030021600005,315.53382855999985,251.3846604800001,251.38333344000011,265.14675335999993,315.53370791999987,251.3821270400001,315.5420320799999,313.8558708799993,315.5373271199999,314.06111544000055,326.1169383999998,
Trondheim/audio/10,,,267.17384480000027,,,294.6670021600005,315.91954536,280.161278,,,,,315.92070960000007,316.8558708799993,267.1856165600007,295.1251154400005,,
Trondheim/video,24.501468799999998,24.507050240000012,24.501468799999998,248.67959399999984,24.50014687999999,248.67944711999985,24.50264384000002,24.501468799999998,24.555373759999952,248.67783143999986,24.504112640000017,248.67915335999987,248.67915335999987,248.67959399999984,248.67915335999987,,248.67944711999985,
Trondheim/video/01,,,246.27922480000018,,,,,,,,,,,,,,,
Trondheim/video/02,65.32634039999999,273.1870313599998,273.18179935999984,65.32647120000001,65.32516320000002,65.32647120000001,65.32647120000001,65.33431920000004,273.1829765599998,273.1802163199999,65.32647120000001,273.18179935999984,276.9098549599997,273.1883393599998,273.1842845599998,,90.90216656000001,
Trondheim/video/03,77.82160992000007,308.01583392,273.2385298399998,303.21517728000003,77.8204327200001,,273.2385298399998,279.93081032,77.82291792000007,273.2373526399998,273.2385298399998,273.2385298399998,,,77.82422592000006,,77.3010302400001,
Trondheim/video/04,276.23614495999976,,86.97599480000008,,,,,360.09336543999984,276.23745295999976,289.2570800799998,,86.97599480000008,,,86.97730280000007,,102.41790703999999,
Trondheim/video/05,279.18537079999993,104.16752319999995,371.5421648,279.18664423999985,97.30105472000008,,97.3033681600001,100.71539327999994,97.30458576000012,287.69498959999993,97.3033681600001,279.1817179999999,279.19036296,,279.1829355999999,,113.19390704,
Trondheim/video/06,112.60672640000007,,112.60766720000015,,282.23658055999977,112.61156480000022,,118.29448672000007,282.2363117599998,206.32779232000013,,112.60672640000007,282.18575624,286.6503885599997,282.24343495999983,,,
Trondheim/video/07,122.45582399999995,285.1858701599999,287.4538456800002,127.43200000000002,285.1874829599999,285.19138055999997,121.82343360000004,128.08240639999997,285.18721415999994,121.82100160000005,285.1819021599999,122.45582399999995,,311.47025088,122.4636192000001,,134.96190704000003,
Trondheim/video/08,288.6585551199998,,131.9271390400001,,131.92875184000007,,288.18308151999986,,131.92848304000012,145.57527344,,288.6585551199998,131.91031184000008,,288.66635031999994,,147.00990704000003,
Trondheim/video/09,291.1820517599999,291.1835631199998,142.70360399999998,158.28000000000003,291.2372655199998,292.3691631199999,,142.70614392,291.23699671999987,316.13378688000034,,142.71804144000004,291.18075583999985,142.71804144000004,142.72583664000018,,165.354648,
Trondheim/video/10,294.2828127199999,178.27245071999988,152.22541343999995,301.29019352,152.28165575999998,153.41355336000004,151.52916144000005,152.22795335999996,152.28138696000002,,301.0099471999999,294.2976511999999,294.2829463999999,294.2976511999999,294.30544640000005,,175.066648,
