,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
Trondheim/audio,107.71794136,107.71929975999998,44.50366767999998,107.73831736000008,44.50000000000006,107.75054296000025,,53.65586143999977,,44.50108672000002,44.51711583999983,44.50489023999995,107.72065815999997,107.71468119999997,74.22112799999991
Trondheim/audio/01,152.24499032000008,149.72924608000014,149.7604436800004,155.44134568000035,152.26281752000014,153.05997231999973,,144.52293600000004,,149.7545012800003,187.41092200000037,191.22002600000013,152.25687512000005,149.72360080000007,188.02711200000005
Trondheim/audio/02,152.24499032000008,163.46524608000013,152.28807272000032,157.96897472000026,163.47118848000022,164.2683432799998,,158.93893600000004,,152.28213032000022,164.63948664000037,153.52531424000028,234.39561815999997,163.45960080000006,235.55892575999968
Trondheim/audio/03,,,152.29966040000048,182.7456575999996,,,,185.6429360000001,,,,,152.24414824000002,176.26760080000005,265.67585176000006
Trondheim/audio/04,,,,,321.5681591999999,321.5988147199999,,,,,,,,,155.21468120000003
Trondheim/audio/05,194.5153648,158.26253415999977,160.65411736000007,196.00114384000048,195.9010350400001,196.32434120000002,,194.6989360000001,,158.25558215999993,229.39897920000016,248.9513840000003,206.93135679999995,195.9024254400002,264.53904960000006
Trondheim/audio/06,206.09843559999945,217.58468959999982,,206.0990800000001,,,,212.0589360000001,,205.99340959999998,,,,161.24459800000014,
Trondheim/audio/07,164.21656664,164.36800184000003,329.3553551999999,329.4155321599999,329.3522127999999,164.27281560000006,,,,329.3537839999999,174.67512208000034,330.82412591999974,164.23856344,,331.1317183199996
Trondheim/audio/09,264.7021155199997,264.6945641599997,179.09615704000032,245.11469280000009,170.24320760000003,170.26986200000002,,237.71456799999996,,179.0972757600004,,278.4705793599999,268.1107242399996,245.08359600000003,311.3737124
Trondheim/audio/10,173.25075896000007,365.44786432,255.2435136,174.09726808000002,255.24463232000008,255.27128672000006,,262.58157887999994,,255.24463232000008,312.4438148000002,306.25457935999987,176.63271328,174.06617127999996,338.1817124
Trondheim/video,24.503880960000004,84.76956984000006,24.50873215999998,24.507519359999975,84.94058624000029,24.896125759999833,24.75541375999974,84.77078264000006,24.506427840000015,84.76350584000004,84.77320824000007,24.644079759999855,85.06058624000026,84.76253560000004,67.00512799999987
Trondheim/video/01,,,109.28537543999997,55.1966096000001,55.177592000000004,55.208835200000266,,118.43756919999976,,,109.29882359999982,109.28659799999994,55.17895039999999,,61.32800000000003
Trondheim/video/02,69.03953712000008,69.04087072000009,69.23984495999996,109.27512168000008,69.03526960000003,109.34781384000014,69.0422043200001,77.63459055999989,86.89910792000002,109.26845368000004,,,109.27912248000003,109.26738680000004,
Trondheim/video/03,87.03702592000002,109.28727287999999,109.27708920000003,87.05050432000002,112.27791279999994,87.05200192000001,91.26692352000015,114.90640248000003,101.55510792000003,109.27828728000003,,,,87.03373120000003,
Trondheim/video/04,96.60157871999998,96.62404271999993,112.27253640000008,141.8642288000001,94.18719200000005,112.27523208000007,106.45809392000011,112.28078040000003,112.28310792000003,112.27373448000007,111.71744159999997,,112.27253640000008,96.59828399999999,
Trondheim/video/06,,118.59073640000014,344.3615996799998,118.66448112000018,344.3421743999998,118.59711032000013,118.58921880000014,344.37026063999974,344.3603855999998,344.3527975999998,344.36874303999974,119.50186712000004,118.61440032000019,118.58466600000014,344.3421743999998
Trondheim/video/07,118.91740128000009,121.28545592,121.28176472000001,118.9272444800001,121.27708920000003,128.02370400000007,120.92772160000004,118.9272444800001,143.13559431999994,121.27807352000002,121.88544159999998,162.48671200000018,119.38399999999999,118.91346400000009,149.16311200000004
Trondheim/video/08,124.28001296000002,124.28128416000001,129.72150480000005,142.5720338400001,124.27708920000003,137.33570400000008,,,,129.72252176000003,131.53344159999997,175.52671200000015,129.33852319999997,129.72150480000005,158.77111200000004
Trondheim/video/09,127.27887192000009,147.90336448000016,147.93456208000043,154.40058552,127.29669912000014,148.07170400000007,180.3162488000001,150.1870384,,147.92861968000034,127.30873248000012,188.9882864000001,127.29075672000005,147.8977192000001,169.83511200000007
Trondheim/video/10,130.27887192000009,158.87936448000016,158.91056208000043,135.98963448000006,130.29669912000014,159.69568352000005,208.26831832,161.6270384,,158.90461968000034,130.30873248000012,199.9642864000001,130.29075672000005,158.8737192000001,181.12311200000008
