,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Trondheim/audio,246.52057783999987,44.50109504000005,246.51934591999986,44.5038326400001,246.52879064,246.51797711999984,246.5163345599998,44.50109504000005,246.51811399999985,44.50109504000005,44.51464616000004,44.51053975999997,246.52482111999996,246.51934591999986,44.50109504000005,44.505338320000135
Trondheim/audio/01,165.7057778400001,166.19270807999976,166.19541047999974,292.66631255999994,291.0447322400001,166.1956807199997,178.3187610399993,293.21334960000075,165.71203416000014,292.64156008,165.67663224000012,292.65928632000004,292.6727983199999,165.7057778400001,292.65928632000004,294.17873680000076
Trondheim/audio/02,180.29240191999986,180.7793321599995,291.99439088000014,211.6738613599997,291.0385066400001,291.9946611200001,304.1177414399997,181.32636920000033,214.04338480000007,291.9669360000002,180.27417719999988,291.98466224000026,180.7858179199995,180.29240191999986,291.0192090399999,291.2556364800003
Trondheim/audio/03,195.2315360799999,195.94926495999965,291.27245808,195.23038023999993,291.0422957600002,291.27272831999994,303.39580863999953,196.49630200000047,343.67520903999997,195.66504215999987,291.03478280000013,195.68276839999993,195.95575071999963,291.0422957600002,227.5713848000001,291.2627294400001
Trondheim/audio/04,294.0301594400001,234.43581360000047,294.3206623999995,336.73667199999875,234.43822480000057,236.29973696000053,304.8858858399995,207.37636792000092,235.1102248000006,278.11364295999994,206.82906064000014,,304.9043458399995,306.1696949600001,296.20836903999947,222.03958168000003
Trondheim/audio/05,,297.03157944000014,308.683782159999,298.03315103999927,,218.8114633599999,306.7106678399993,218.8638888800004,221.22944280000075,304.9645517600001,218.82694135999992,221.67394088000066,297.03314144000007,307.1107861599999,249.47538480000009,231.33558168000008
Trondheim/audio/06,,,303.021743359999,301.0486290399993,,229.0994633599999,311.699260159999,229.13641088000037,241.58485048000108,324.68159136000014,,240.62397968000067,300.0486194400001,300.8657465599999,260.94738480000007,242.26358168000007
Trondheim/audio/07,,,,269.2098613599997,,315.51842119999964,,239.32320160000035,336.7730259999999,239.23750919999992,,251.63724784000004,265.65907471999986,303.51782872000007,310.0095678400001,253.63958168000005
Trondheim/audio/08,,248.78498183999994,307.35833279999946,249.86670712000017,,309.40939887999974,258.5442239200002,249.39939024000017,307.85188671999987,249.31369783999975,261.8152663199998,,306.05625232000006,306.5536400800002,268.1393848000001,263.7915816800001
Trondheim/audio/09,309.04480080000013,265.04124384000016,300.0572260799997,309.0258601599999,,299.0994633599999,272.5542584800002,339.0069790400002,314.6892559999996,363.05518655999987,301.3904574400006,309.0178521599999,310.0184833599995,309.0204409599999,345.9973378400004,274.4555816800001
Trondheim/audio/10,312.03538856000006,279.38221760000005,284.95424519999955,312.03284104000005,,283.95821800000004,284.9585357599994,284.9746253599994,354.3730259999999,412.63144496000035,312.05140479999994,312.04477416000015,284.96255815999933,312.0204409599999,319.0095678400001,312.58687248000075
Trondheim/video,238.8034508,24.500984959999982,238.79212375999992,238.7896613599999,24.50455543999999,24.500984959999982,238.7883070399999,238.79827975999996,238.8009884,24.500984959999982,238.80320455999998,24.500984959999982,24.50221615999999,238.79827975999996,24.500984959999982,24.500984959999982
Trondheim/video/01,49.05429208000004,49.00416007999996,49.00416007999996,263.29419591999994,53.09718152000005,263.2932295199999,49.005851279999945,263.29419591999994,264.65002751999987,49.005730479999954,49.009596079999994,263.29528311999997,263.29637032,263.6541488799999,49.005609679999964,263.2932295199999
Trondheim/video/02,263.29343207999995,263.29161527999986,62.74407912000004,62.742989040000055,70.0501504,62.74856055999999,62.74165672000004,263.30663415999993,322.5926204800001,263.2929475999999,62.75485880000002,263.30057815999993,62.764548400000024,263.66389255999997,266.2139733599999,72.8254970399999
Trondheim/video/03,92.36993128000034,92.36389128000042,263.29072303999993,84.80047880000001,263.30533984,92.3566432800003,263.32213103999993,92.3626832800004,263.29072303999993,263.29434704,263.29676303999986,,263.29434704,92.35785128000032,92.35084488000018,92.34939528000018
Trondheim/video/04,104.63087848000038,104.62483848000045,266.2937758399999,98.41095920000004,266.30839263999997,104.61759048000033,266.3251838399999,104.62363048000043,266.30197336,266.29739983999997,266.29981583999984,266.29135983999987,266.29739983999997,104.61879848000035,101.84359456000016,104.61034248000021
Trondheim/video/05,269.30645127999975,269.30027335999995,404.09317431999926,269.30909895999963,269.3065773599997,404.0945611999992,404.0930482399993,404.0934264799992,409.69113608000015,274.9924914399996,404.10199991999895,269.30140807999993,269.3065773599997,409.69113608000015,276.2994577599998,404.1371762399995
Trondheim/video/06,,,415.31827183999957,272.3099975200003,,415.3224307999997,415.3799854399994,,277.0362496000004,,,272.30047215999997,272.3071801600002,,422.3703442399996,415.3799854399994
Trondheim/video/07,,276.3050008000002,275.30542072,121.26656839999998,,121.26403400000004,121.2806343199997,,121.26428744000009,224.8720732000001,,275.3065611999999,121.27429831999984,275.29926471999994,275.30542072,275.3457176800002
Trondheim/video/08,139.34127607999977,139.3385736799998,139.34397847999975,278.3097445599999,,139.3442487199997,278.3096094399999,278.8567816000007,278.29346967999993,236.7040732000001,,132.82135848000013,278.3162303199999,278.29926471999994,132.82135848000013,146.29123439999933
Trondheim/video/09,347.0243306399993,281.7923509599996,281.7950533599996,150.75466968000006,,281.79532359999956,176.99580360000016,151.30170672000088,281.31167704,150.7299172000001,281.30702919999993,150.74764344000016,150.76115544000004,281.30542072,150.74764344000016,
Trondheim/video/10,,159.44975079999972,159.4524531999997,286.16126984,,159.45272343999966,284.3080335199999,286.7083068800008,158.9690768800001,286.13651736,158.96282056000007,286.1542436000001,286.16775559999996,158.96282056000007,286.1542436000001,158.9600771200001
