,N01,N02,N03,N04,N05
0.5,0,0,0,0,0
1.0,0,0,0,0,0
1.5,0,0,0,0,0
2.0,2,2,2,2,2
2.5,4,4,4,4,4
3.0,6,6,6,6,6
3.5,8,8,8,8,8
4.0,9,10,9,10,9
4.5,10,11,11,10,9
5.0,11,12,12,11,10
5.5,11,13,13,13,10
6.0,11,13,14,13,10
6.5,12,14,14,13,10
7.0,12,14,16,14,10
7.5,13,16,17,16,11
8.0,13,17,18,17,11
8.5,14,19,22,18,11
9.0,14,19,22,19,11
9.5,14,19,23,20,11
10.0,14,20,24,20,11
10.5,14,20,24,21,11
11.0,14,20,24,21,11
11.5,14,20,24,21,11
12.0,14,21,24,22,11
12.5,14,22,24,22,11
13.0,15,22,25,23,12
13.5,15,24,26,24,12
14.0,15,25,27,25,13
14.5,15,27,28,26,13
15.0,15,28,29,27,13
15.5,15,28,29,27,13
16.0,15,28,29,29,11
16.5,15,28,29,29,11
17.0,15,29,29,29,11
17.5,15,29,30,29,10
18.0,15,29,32,29,10
18.5,15,29,33,29,10
19.0,14,29,34,30,10
19.5,15,30,37,31,11
20.0,15,31,39,31,11
20.5,15,30,40,34,11
21.0,15,31,40,34,11
21.5,15,31,40,34,11
22.0,15,31,42,35,11
22.5,15,31,43,35,11
23.0,15,31,43,35,11
23.5,15,31,43,37,11
24.0,15,31,43,38,11
24.5,15,31,43,38,11
25.0,15,31,43,38,11
25.5,16,33,46,36,11
26.0,16,33,47,36,10
26.5,16,33,48,36,10
27.0,12,33,49,37,10
27.5,12,33,50,38,10
28.0,11,33,50,38,10
28.5,11,32,50,37,10
29.0,11,33,50,37,10
29.5,11,32,50,37,9
30.0,11,33,50,37,9
30.5,11,32,50,37,9
31.0,11,32,46,37,9
31.5,11,31,42,37,9
32.0,11,31,40,37,9
32.5,11,31,40,37,9
33.0,9,28,40,33,9
33.5,9,28,39,33,8
34.0,9,28,40,34,8
34.5,9,31,35,35,9
35.0,9,32,36,35,9
35.5,9,33,37,37,9
36.0,9,32,38,37,9
36.5,9,30,36,39,9
37.0,9,30,37,39,9
37.5,9,29,37,39,9
38.0,9,28,36,41,9
38.5,8,28,36,42,9
39.0,8,29,32,42,9
39.5,7,29,32,34,8
40.0,7,28,32,34,8
40.5,7,28,32,34,8
41.0,7,28,32,30,8
41.5,7,28,32,30,8
42.0,6,27,32,30,8
42.5,6,27,32,30,8
43.0,6,28,33,30,8
43.5,8,31,34,31,9
44.0,8,29,34,32,9
44.5,8,30,34,32,9
45.0,8,29,35,33,9
45.5,7,29,33,34,9
46.0,7,30,33,35,9
46.5,7,30,32,28,9
47.0,7,30,32,28,9
47.5,7,29,32,28,9
48.0,7,27,32,28,9
48.5,7,28,32,25,9
49.0,6,28,32,25,9
49.5,6,24,30,23,9
50.0,6,24,30,23,9
50.5,6,24,30,23,9
51.0,6,24,30,22,9
51.5,6,24,30,22,9
52.0,6,25,29,22,9
52.5,7,27,30,24,10
53.0,7,27,30,24,10
53.5,6,28,30,24,10
54.0,6,24,30,24,10
54.5,6,25,29,25,8
55.0,6,25,30,25,8
55.5,6,24,31,25,7
56.0,6,25,32,25,7
56.5,6,25,31,26,7
57.0,6,26,30,26,6
57.5,6,25,30,27,6
58.0,6,25,30,22,6
58.5,6,25,30,22,6
59.0,6,23,24,22,6
59.5,6,23,24,20,6
60.0,6,23,24,20,6
60.5,6,23,23,20,6
61.0,7,23,24,21,6
61.5,8,22,26,22,7
62.0,8,22,26,23,7
62.5,7,22,27,24,7
63.0,7,23,25,25,7
63.5,7,24,26,25,7
64.0,7,24,26,25,7
64.5,7,25,27,25,7
65.0,7,25,27,25,6
65.5,7,25,26,25,6
66.0,6,25,26,25,6
66.5,6,25,27,25,6
67.0,6,25,27,25,6
67.5,6,24,27,25,6
68.0,6,24,27,25,6
68.5,6,23,26,25,6
69.0,6,21,26,25,6
69.5,6,21,26,23,6
70.0,6,21,25,23,6
70.5,7,24,27,23,7
71.0,7,24,28,23,7
71.5,7,24,29,25,7
72.0,7,25,31,25,7
72.5,7,26,31,26,6
73.0,7,22,31,22,6
