,N01,N02,N03,N04,N05
0.5,0,0,0,0,0
1.0,0,0,0,0,0
1.5,0,0,0,0,0
2.0,2,2,2,2,2
2.5,4,4,4,4,4
3.0,6,6,6,6,6
3.5,8,8,8,7,8
4.0,9,10,10,9,9
4.5,11,11,12,10,10
5.0,11,13,12,12,10
5.5,12,15,12,13,10
6.0,13,16,13,15,10
6.5,14,16,14,15,10
7.0,14,16,14,16,11
7.5,15,18,16,18,13
8.0,15,20,18,20,14
8.5,15,21,21,22,14
9.0,15,22,21,23,14
9.5,15,22,22,23,14
10.0,15,22,22,23,14
10.5,15,23,23,24,14
11.0,15,23,23,24,14
11.5,15,23,23,24,14
12.0,15,23,24,24,14
12.5,15,23,24,24,14
13.0,16,25,25,24,15
13.5,18,28,29,25,16
14.0,18,29,30,26,16
14.5,18,31,31,26,16
15.0,18,32,31,26,16
15.5,18,34,32,29,16
16.0,18,34,33,30,16
16.5,18,34,33,32,16
17.0,18,34,34,32,16
17.5,18,34,34,33,16
18.0,18,34,34,33,16
18.5,18,34,34,34,16
19.0,18,34,34,34,16
19.5,18,35,35,38,16
20.0,18,35,35,38,16
20.5,18,36,35,38,14
21.0,18,37,35,33,14
21.5,18,37,35,34,14
22.0,18,38,35,34,14
22.5,18,38,35,34,14
23.0,18,38,35,34,14
23.5,18,38,35,34,12
24.0,18,38,35,34,12
24.5,18,38,34,34,12
25.0,18,39,35,34,12
25.5,18,40,39,33,13
26.0,18,40,40,32,15
26.5,18,41,43,33,12
27.0,18,41,43,34,12
27.5,18,42,43,34,11
28.0,18,42,44,34,10
28.5,18,42,46,33,10
29.0,18,36,40,34,9
29.5,10,36,42,34,9
30.0,11,36,42,34,9
30.5,10,37,42,32,9
31.0,10,37,38,32,9
31.5,10,37,38,32,9
32.0,10,37,38,32,9
32.5,10,37,36,32,9
33.0,7,37,36,32,9
33.5,7,33,36,30,9
34.0,7,33,36,31,9
34.5,9,32,37,32,9
35.0,9,31,38,34,8
35.5,8,33,38,34,8
36.0,8,33,38,34,8
36.5,8,32,38,34,7
37.0,8,31,38,35,7
37.5,8,32,40,35,7
38.0,8,33,39,33,7
38.5,8,34,39,32,7
39.0,8,35,39,32,7
39.5,8,34,33,32,7
40.0,7,34,32,32,7
40.5,7,28,32,32,7
41.0,7,28,32,32,7
41.5,7,27,32,32,7
42.0,7,27,29,32,7
42.5,7,24,29,30,7
43.0,7,25,29,30,7
43.5,9,25,30,32,9
44.0,9,26,30,33,8
44.5,9,28,31,34,8
45.0,9,28,31,34,7
45.5,9,29,32,34,7
46.0,9,30,31,35,7
46.5,9,30,32,35,7
47.0,9,28,32,30,7
47.5,9,29,33,28,7
48.0,9,29,30,24,7
48.5,9,29,30,24,7
49.0,9,29,30,24,7
49.5,9,29,30,24,7
50.0,9,29,30,24,7
50.5,9,29,28,24,7
51.0,9,29,28,24,7
51.5,9,26,28,24,7
52.0,8,26,28,25,7
52.5,8,26,28,25,7
53.0,8,28,28,25,6
53.5,7,28,27,25,6
54.0,7,28,27,26,6
54.5,7,28,27,24,6
55.0,7,22,27,24,6
55.5,7,22,26,25,6
56.0,7,21,26,25,6
56.5,7,22,27,25,6
57.0,7,22,27,26,6
57.5,7,22,27,25,6
58.0,7,22,27,25,6
58.5,7,22,27,25,6
59.0,7,21,26,24,6
59.5,7,21,26,24,6
60.0,7,21,26,23,6
60.5,7,21,26,23,6
61.0,8,21,26,24,6
61.5,8,22,27,24,7
62.0,9,23,27,26,7
62.5,8,22,28,27,7
63.0,8,22,28,27,7
63.5,8,23,28,27,7
64.0,8,23,28,27,7
64.5,8,24,28,28,7
65.0,8,23,28,27,7
65.5,8,23,29,27,7
66.0,8,23,29,24,7
66.5,8,23,28,24,7
67.0,6,23,28,24,7
67.5,6,23,28,24,7
68.0,6,23,28,22,7
68.5,6,20,28,22,7
69.0,6,20,28,21,7
69.5,6,20,28,21,7
70.0,7,21,28,21,7
70.5,8,24,29,24,7
71.0,7,25,30,24,7
71.5,7,25,30,24,6
72.0,7,25,30,24,6
72.5,7,26,26,24,6
73.0,7,26,27,23,6
