,Ant routing,Flooding
20,0.0,3.074136404315695
20,0.0,4.527648716760068
20,0.0,4.574258838895698
20,0.0,4.574258838895698
20,0.0,5.2062762418900315
20,0.0,3.7720304703364325
21,0.0,3.5648834095954687
21,0.0,3.7033503461060113
21,0.0,4.822648566647447
21,0.0,4.837356780092156
22,0.0,4.349897800886654
22,0.0,3.3035213988917245
22,0.0,4.908694268978779
22,0.0,4.902275518094665
22,0.0,4.126567125095193
23,0.0,3.458604705535789
23,0.0,4.528458141293757
23,0.0,4.3817993874370575
23,0.0,3.686994351470242
23,0.0,4.610546791913081
23,0.0,3.922254484643944
23,0.0,4.583535405142559
23,0.0,4.747346690825055
24,0.0,4.515264430642024
24,0.0,3.917719988194205
24,0.0,4.0500445815444115
24,0.21567246476061738,4.2078782425922014
24,0.0,4.253118361805176
24,0.0,4.678430197985693
24,0.0,3.5750326875123504
24,0.0,4.678430197985693
24,0.0,2.622783691814422
25,0.0,4.273017746471377
25,0.0,4.540576835581645
25,0.0,4.161507409563189
25,0.0,4.389720272148458
25,0.0,4.125595044079182
25,0.0,4.297140560724914
25,0.0,3.9411276567928604
25,0.0,3.9922435401034466
25,0.0,3.8701629429157345
25,0.0,4.4488385540304565
26,0.0,4.003385657065902
26,0.0,4.311168227232424
26,0.0,3.8180347561045385
26,0.0,4.219519347325731
26,0.0,4.108735965232313
27,0.0,4.180742804193763
27,0.0,3.434655478422199
27,0.0,3.6258590674771383
27,0.0,3.8666727343602423
27,0.0,3.937568066535337
28,0.0,4.332529792299389
28,0.0,3.9174993895283987
28,0.0,3.314429230764899
28,0.0,3.7205418250479507
28,0.0,4.139370052040186
28,0.0,4.028826654734252
29,0.0,4.162614656336122
29,0.0,3.8221156128913885
29,0.0,3.727517956907785
29,0.0,4.132325695001303
29,0.0,4.19446941812131
30,0.0,3.3661350168385917
30,0.0,3.839863077227219
30,0.0,3.6776021537306143
30,0.0,3.10551393849066
30,0.0,3.510652299873633
31,0.0,3.92487093645024
31,0.0,3.9092109831868345
31,0.0,3.9099510697089017
31,0.0,3.468721944635133
31,0.0,3.3291990263677755
31,0.0,3.876955112091568
31,0.0,3.848340294830123
32,0.0,3.6232942204732814
32,0.0,3.2240833656151624
32,0.0,2.665185488019584
32,0.0,3.840704893062366
32,0.0,3.747227613834135
32,0.0,3.2122956826530182
32,0.0,3.321791917446525
32,0.0,3.8275812501431328
32,0.0,3.9014320682695263
