,C0,C4,C5,C8,C9,C12,C18,C22,C27,C28
Trondheim/audio,0.0068956799999995155,,0.008933039999998726,0.0070523999999991815,0.008462879999999728,0.008619599999999394,0.010030079999999941,0.011597280000000154,0.010030079999999941,0.010186799999999607
Trondheim/audio/01,0.006238079999995705,,0.006044639999998935,0.003984959999989712,0.0055888800000012395,0.00722160000000116,0.008632080000001707,0.010337679999999239,0.008644800000002562,0.008706400000004777
Trondheim/audio/02,0.007576799999995387,0.011123519999998166,0.007375679999999107,0.005308319999990374,0.006927600000000922,0.006654719999989567,0.00997080000000139,0.011676399999998921,0.009983520000002244,0.01004512000000446
Trondheim/audio/03,0.009065759999995038,0.013001280000001003,0.008877599999998154,0.0068865599999874405,0.009892560000000827,0.008362559999987695,0.01145976000000104,0.013165359999998572,0.008214959999989446,0.008510159999985945
Trondheim/audio/04,0.005040000000001044,,0.005320000000004654,0.003920000000007917,0.00546000000000646,0.005600000000008265,,,0.006579999999999586,0.007000000000005002
Trondheim/audio/05,0.004380480000001796,,0.004623840000000712,0.0034070399999990286,0.00474552000000017,0.004867199999999627,,,0.005718960000002937,0.006084000000001311
Trondheim/audio/06,0.0057340799999821,,0.006052639999978737,0.004459839999981341,0.006211919999977056,0.006052639999978737,0.0076454399999761335,0.00923823999997353,0.007486159999977815,0.0076454399999761335
Trondheim/audio/07,0.004895999999980916,,0.005167999999976303,0.003807999999978051,0.005303999999973996,0.00543999999997169,,,0.006391999999976861,0.006799999999969941
Trondheim/audio/08,0.005114880000014921,,0.005399040000021671,0.0039782400000234475,0.005541120000025046,0.005683200000028421,0.006819840000019894,0.008240640000018118,0.006677760000016519,0.0071040000000266446
Trondheim/audio/09,0.005057280000002606,,0.005338240000000383,0.00393343999999729,0.005478719999999271,0.005619199999998159,,,0.006602560000004587,0.0070240000000012515
Trondheim/audio/10,0.005374080000017045,,0.005672640000021545,0.004179840000020363,0.005821920000023795,0.0059712000000260446,0.007165440000022727,0.008658240000023909,0.007016160000020477,0.007464000000027227
Trondheim/video,0.00672320000000326,,0.008709600000004869,0.006876000000003657,0.008285360000002129,0.008404000000004075,0.009779200000004096,0.011307200000004514,0.009779200000004096,0.009932000000004493
Trondheim/video/01,0.006847199999999276,,0.006480800000000286,0.004379199999998917,0.0076003999999993965,0.006534399999999607,0.009164399999999517,0.010728399999999638,0.009128399999999814,0.008646000000000598
Trondheim/video/02,0.008353999999998862,0.012214399999999515,0.007982399999999501,0.00587559999999776,0.009107199999998983,0.008041199999999193,0.010671199999999104,0.012235199999999224,0.004708319999998878,0.004644479999999618
Trondheim/video/03,0.009942559999998934,0.01401175999999893,0.009577919999999907,0.007499199999998041,0.010695759999999055,0.009629759999999266,0.010504239999997722,0.008922639999997983,0.00928655999999961,0.009284559999999331
Trondheim/video/04,0.004582079999996935,,0.004836639999995285,0.0035638399999946557,0.004963919999994459,0.005091199999993634,,,0.005982159999996739,0.006363999999994263
Trondheim/video/05,0.005117759999997418,,0.00540207999999609,0.003980479999995623,0.005544239999995426,0.005686399999994762,0.006823679999996557,0.008245279999997024,0.006681519999997221,0.007107999999995229
Trondheim/video/06,0.005425920000000417,,0.0057273600000016245,0.004220160000002693,0.005878080000002228,0.0057273600000016245,0.007234560000000556,0.008741759999999488,0.007083839999999952,0.007234560000000556
Trondheim/video/07,0.004832640000003607,,0.005101120000006176,0.0037587200000075427,0.005235360000007461,0.005369600000008745,,,0.006309280000003525,0.006712000000007379
Trondheim/video/08,0.005342400000007075,,0.00563920000000806,0.004155200000006687,0.005787600000008553,0.005936000000009045,0.007123200000009433,0.008607200000010806,0.0069748000000089405,0.007420000000010418
Trondheim/video/09,0.004760639999993543,,0.005025119999992,0.0037027199999926097,0.005157359999991229,0.0052895999999904575,,,0.006215279999992163,0.006611999999989848
Trondheim/video/10,0.004703039999991887,,0.004964319999988476,0.0036579199999877687,0.00509495999998677,0.005225599999985064,,,0.006140079999990888,0.006531999999985771
