,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.015937359999988132,0.004806479999992064,0.028305039999999337,0.0003267199999967829,0.04287871999998316,0.00849008000001561,0.00863208000000526,0.008627759999988882,0.00027000000000043656,0.08251127999998431,0.0081051999999886,0.00026279999998735093,0.00032048000001339005,0.0328472800000128,0.0029560799999757137,0.0002513600000071392,0.00935616000001005,0.005208960000018692,0.008491439999971817,0.04886951999999667,0.0002450399999816,0.002775200000016298,0.0033288000000055717,0.00029272000000446496,0.0002762400000051457,0.00031856000001084794,0.00030736000000786134,0.0003023999999811622,0.002911840000010102,0.00025295999999741525
Trondheim/audio/01,0.016729119999972397,0.008622640000019999,0.02811935999999804,0.0028008800000094425,0.0037908000000115294,0.03147119999998438,0.007461599999984969,0.008112079999996524,0.0003087999999991098,0.07627464000000828,0.028801680000007934,0.0002992000000006101,0.025647680000005835,0.03144967999998016,0.0027332799999868485,0.0003079200000115634,0.008753600000034112,0.006638319999993314,0.013308799999890653,0.06110888000003456,0.00027055999998992775,0.002833279999990168,0.003155519999978651,0.0002634399999976722,0.0002493600000121887,0.0003133599999927128,0.00031215999999290034,0.0003138399999897956,0.003137840000007941,0.00027671999998801766
Trondheim/audio/02,0.043185360000030926,0.00843120000001818,0.033569039999996164,0.0002922400000002767,0.0006224800000111941,0.015363999999991051,0.008256480000007116,0.007605599999990886,0.00028895999999889455,0.09473776000001521,0.02754536000001906,0.0003112800000195648,0.0002467999999851145,0.03566736000000503,0.003471679999989874,0.0003161599999828013,0.006729839999948695,0.006260320000009756,0.014694640000001868,0.06091928000000735,0.00025680000001671033,0.005201839999955382,0.005420800000024428,0.0003116800000100284,0.00026279999998735093,0.003140719999976227,0.000313679999990768,0.0002863200000007282,0.0032020000000159143,0.00032239999998751045
Trondheim/audio/03,0.032656240000001446,0.0005579999999909546,0.0448066400000684,0.0041118400000783595,0.038674000000007425,0.008216239999974562,0.006879520000076411,0.01023560000010093,0.0002791999999942618,0.0834012799999897,0.003110160000005635,0.00041104000028724386,0.0002625600000101258,0.06734816000025035,0.003121919999998113,0.00025968000001341807,0.0030666400000001204,0.005282800000003363,0.006612480000015353,0.06385848000000749,0.0002863200000007282,0.0030247199999990926,0.004275519999708877,0.0002831999999841628,0.0002962399999972831,0.0002747199999930672,0.0002750399999911224,0.00035559999969336786,0.00670423999997638,0.0002636799999891082
Trondheim/audio/04,0.07038368000003459,0.00027488000000630564,0.03273167999999771,0.00037736000007271286,0.0003147200000057637,0.008923199999998133,0.006124880000079713,0.0003108800000006795,0.0002580799999947203,0.08727903999999853,0.007741439999989552,0.003081040000296298,0.000316160000011223,0.02862912000000506,0.00027295999998955267,0.0002852800000141542,0.009662400000024718,0.005903520000003937,0.006131999999979598,0.06078463999998007,0.00030319999999051106,0.0032823999999891385,0.00029359999999201136,0.00024783999998589934,0.003456639999996014,0.00024959999998941385,0.00029968000001190376,0.00036415999970529356,0.00322959999999739,0.00025343999999449807
Trondheim/audio/05,0.029567999999997596,0.01001471999998671,0.042697360000069295,0.004401120000068204,0.0038342400000033194,,,0.009119920000074444,0.003410879999989902,0.07508144000001948,0.00890815999994743,0.0004158400002864937,0.02451471999998489,0.06793247999999608,0.0033264000000201577,0.00031104000001391796,0.005893439999994143,0.006219359999988683,0.008114560000024085,0.0675200000000018,0.0002663999999867883,0.0002998399999967205,0.0035566399997009057,0.0003003200000080142,0.0031310399999995298,0.0002451199999882192,,0.0004028799997115584,0.005916959999979099,0.00027791999997361927
Trondheim/audio/06,0.038072959999965406,0.005227600000019095,0.03865024000000972,0.0002455999999995129,0.00024448000000631964,0.01827072000000385,0.0058128000000010616,0.008967680000040446,0.005427840000038486,0.1301110399999743,0.003203200000001516,0.00024576000001275133,0.0002820800000051804,0.030451199999987466,0.003145119999999224,0.00025071999999681793,0.002696319999984098,0.0051307199999826025,0.008893279999966808,0.05859552000001145,0.00031487999999058047,0.0034935999999845535,0.006051359999986516,0.00024288000000183274,0.004194240000032323,0.0002585599999918031,0.00028255999998805237,0.00031216000002132205,0.0031380800000420095,0.00028512000000091575
Trondheim/audio/07,0.05204032000000325,0.004888799999989146,0.03004992000001039,0.0002489599999933034,0.0005241599999976643,0.008208959999961962,0.006619199999988723,0.007990559999996094,0.0003012800000021798,0.0807427200000177,0.026599359999977423,0.00031824000001279273,0.029424960000000056,0.03892416000005028,0.0032700800000213803,0.0002902399999982208,0.003275360000003502,0.00609504000001948,0.008367519999978867,0.05586192000001233,0.000290559999996276,0.002715679999994336,0.0028212799999778326,0.00025919999998791354,0.0002747199999930672,0.0002451199999882192,0.00028448000000480533,0.000250240000013946,0.0065083200000231045,0.00027088000001640467
Trondheim/audio/08,0.03575039999999774,0.0004992000000072494,0.028771200000008434,0.0002724800000066807,0.006164000000012493,0.01139328000007822,0.00844191999996724,0.008278240000009873,0.000262880000008181,0.08779567999999927,0.009369600000013634,0.00029680000000098516,0.028457760000009102,0.005043360000030361,0.002907520000007935,0.000279519999992317,0.005880000000018981,0.00562464000000773,0.012465600000041377,0.05441472000001113,0.0002619200000140154,0.002668160000013131,0.005863199999993185,0.00027167999999733183,0.002965599999981805,0.00029552000000876433,0.00026623999997354986,0.00028544000002739267,0.0027632000000039625,0.00027552000000241605
Trondheim/audio/09,0.02830528000004051,0.0002916800000036801,0.03418800000000033,0.0002465599999936785,0.04515663999998765,0.008942880000006426,0.008099680000015042,0.00832287999998016,0.00029408000000330503,0.04674304000008078,0.0002777599999888025,0.0002988800000025549,0.0002590400000030968,0.02860032000000956,0.002666399999981195,0.0002782400000000962,0.01034063999998125,0.008779200000049059,0.005785919999993894,0.0667324800000415,0.00031311999998706597,0.00317152000002352,0.0034707199999957083,0.0004886399999577407,0.00026800000000548607,0.00028048000001490436,0.0002710399999727997,0.0002575999999976375,0.00030176000001347347,0.0003163200000244615
