,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.024853360000008706,0.03174088000002229,0.0033597600000021544,0.011380479999992588,0.009133759999997437,0.006104639999996664,0.006415280000020118,0.0034327199999992786,0.02222064000001467,0.003241200000005051,0.003302879999999675,0.000254800000007549,0.02980743999998481,0.00287903999999628,0.005803600000007236,0.0030613600000179986,0.0002463200000022425,0.003301039999982436,0.05397935999998538,0.00028967999999451877,0.0034883200000166426,0.0029316000000108033,0.0002991200000082017,0.0002515999999985752,0.0033150399999897218,0.00025399999998398926,0.03278415999996298,0.0033657599999799004,0.03211599999998782,0.0012666400000114209
Trondheim/audio/01,0.05087047999997907,0.012071039999980826,0.006013280000004784,0.011091119999981913,0.003330880000000036,0.0029313600000051565,0.005160880000012469,0.0034987999999955832,0.009550560000022301,0.0035733600000042998,0.00293519999999603,0.006949120000001585,0.028497759999979166,0.002892159999987598,0.012175520000042184,0.0002981599999856144,0.002982880000004684,0.003005999999999176,0.011775760000020341,0.003481680000007259,0.0031473599999998214,0.00029503999999747066,0.01080199999996978,0.00029888000001676573,0.0030384800000007317,0.00029568000000779193,0.0029097599999943213,0.002979839999994738,0.0026588000000202783,0.0013553600000335564
Trondheim/audio/02,0.01725864000000854,0.006687120000009372,0.03278288000000629,0.010143679999991662,0.032492320000017116,0.0027486400000071853,0.03941911999998382,0.0032123200000100383,0.009473839999991185,0.003535999999996875,0.00027432000001681445,0.0002617600000149878,0.08606720000000223,0.01202304000003096,0.008368320000016638,0.03592040000003749,0.0034188799999981256,0.003420559999995021,0.058578640000007454,0.0031597600000168313,0.0031391999999783593,0.0033763200000009874,0.01166271999998969,0.0002887999999927615,0.0027531999999723666,0.0003172000000120079,0.034684800000022165,0.002992320000018367,0.00027575999999385203,0.0012384000000338347
Trondheim/audio/03,0.0156118400000409,0.013476560000022175,0.002660159999997802,0.00032704000000194355,0.03973727999998289,0.0035619200000027718,0.01180135999998555,0.007854480000020203,0.022363759999961985,0.00028879999999986694,0.0030556800000027806,0.0003204799999991792,0.02705016000001592,0.0032432800000208317,0.009113999999996736,0.0027860800000070185,0.0034476000000012164,0.0032994399999921598,0.058712080000020705,0.006055920000022752,0.0039037599997300276,0.003074559999987514,0.000304560000003562,0.00030759999998508647,0.003325359999990951,0.0003160000000121954,0.003240080000011858,0.0033002399999872978,0.0033823200000000497,0.001516720000054761
Trondheim/audio/04,0.06247320000004919,0.01897120000002417,0.10820160000000101,0.0002684800000025689,0.03118895999998017,0.00029471999999941545,0.04311216000002105,0.002661119999999073,0.008799039999999536,0.0030324799999732477,0.0031737600000099064,0.0063465599999972255,0.08977023999997868,0.00030463999999597036,0.008332800000005136,0.002923359999982722,0.0031652000001400893,0.002988479999999072,0.062118400000002794,0.0377132799999913,0.003848639999702641,0.029621279999986427,0.012719839999959959,0.0002891199999908167,0.0030958400000145048,0.00031536000000187414,0.0002713599999992766,0.003157439999995404,0.0003132800000003044,0.001436799999936511
Trondheim/audio/05,0.016873919999980558,0.017350080000028356,0.0324460799999855,0.000312640000004194,0.0032824000000033493,0.0030359999999944876,0.012272639999991952,0.012411519999972143,0.012555840000004537,0.004142960000066864,0.0034179199999755383,0.006846399999972164,0.09179295999999226,0.003379200000011906,0.034951679999977614,0.0028388800000129777,0.0003003200000080142,0.012831359999978531,0.00858575999998834,0.0002846399999896221,0.003516399999710984,0.005765760000002729,0.010968319999989262,0.0002782400000000962,0.029621279999986427,0.00024256000000377753,0.03319343999996249,0.0031662399999845547,0.02947583999997505,0.001321599999926093
Trondheim/audio/06,0.04628224000005332,0.02650367999996206,0.012070399999998926,0.00025456000000190215,0.0031345600000065588,0.003336959999998612,0.006804160000001502,0.0026628800000025876,0.00911648000001719,0.0033475200000054883,0.008422080000002552,0.003638399999971398,0.03157663999999727,0.003437279999985776,0.011296319999985371,0.002727999999990516,0.003456639999996014,0.012851039999986824,0.0003076799999917057,0.04425855999997452,0.04757504000005497,0.00028080000001295957,0.011978560000017069,0.0002503999999987627,0.0002686400000015965,0.0002508800000100564,0.00025456000000190215,0.00029088000002275294,0.0030007999999952517,0.0012992000000622284
Trondheim/audio/07,0.04636399999999696,0.009011199999974906,0.10722176000001582,0.00028288000000031843,0.006916799999999057,0.00301056000000699,0.033862560000045505,0.0032348800000079336,0.02520719999989751,0.0030166399999984606,0.0030220800000222425,0.0002697600000090006,0.08033088000001953,0.00537599999998406,0.005271840000006023,0.002837120000009463,0.0027755200000001423,0.029179679999998598,0.008134399999988773,0.002780800000010686,0.0027403200000151173,0.0002806399999997211,0.00029327999999395615,0.0002771199999926921,0.002745599999997239,0.00030223999999634543,0.02729711999995743,0.0031204800000068644,0.0002991999999721884,0.001446400000020276
Trondheim/audio/08,0.009736320000001797,0.015863039999985062,0.12616527999999505,0.0002401600000041526,0.003514719999998306,0.005702399999961472,0.006451200000014978,0.005671680000034485,0.0088486399999681,0.003476000000006252,0.0028388800000129777,0.00030255999999440064,0.025791359999999486,0.0028107199999851673,0.007960799999978008,0.007896320000014612,0.0032771200000070166,0.002752640000011297,0.00852623999998059,0.005849760000018023,0.003498879999995097,0.009290080000027956,0.012385280000017929,0.0003027200000076391,0.0030659200000116016,0.0002942400000165435,0.03616448000008177,0.002703359999998156,0.00031424000002289176,0.0015504000000987617
Trondheim/audio/09,0.1067404799999565,0.029521920000064483,0.00028832000000988955,0.00027295999998955267,0.0032137599999941813,0.00027632000001176493,0.08400127999995988,0.006296639999987974,0.008605600000038294,0.003060640000001058,0.0028582400000232155,0.006417599999963386,0.025015679999995655,0.0029471999999941545,0.008803999999969392,0.0030078400000093097,0.000316639999994095,0.003317600000002585,0.013366079999940439,0.0003100799999913306,0.002689279999998462,0.0026628800000025876,0.010830560000016476,0.00026064000002179455,0.0030852799999934177,0.0002523200000155157,0.03012095999997655,0.0028705600000193954,0.0030307200000265766,0.0012264000000072883
