,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.050423439999939035,0.008014799999990885,0.08282176000000163,0.0078074399999934485,0.008823519999999974,0.011132720000027518,0.0011401599999842915,0.0002493600000050833,0.0003185599999966371,0.003502400000002126,0.00030071999999847776,0.00028768000001377914,0.005263119999980859,0.0003029599999848642,0.00024927999999135864,0.006559999999964816,0.03227480000001037,0.007705200000003742,0.00943063999999083,0.00026095999999142805,0.0003131200000012768,0.00031664000000830583,0.0002946400000070071,0.005304720000012253,0.00027439999999501197,0.003439760000006231,0.00030679999998994845,0.0036890400000118007,0.05059528000008129,0.00026168000000836855
Trondheim/audio/01,0.009231120000016801,0.11350831999997979,0.0674303199999855,0.006014160000006541,0.00950983999999977,0.028669519999986903,0.0011428799999748662,0.01497247999999729,0.0003152799999952549,0.0032900800000064123,0.00030095999999701917,0.0006326400000062904,0.00512904000002834,0.00032280000000639575,0.002816400000014596,0.014988559999963513,0.0003129600000022492,0.007637840000029428,0.006075520000010215,0.0002539999999982001,0.0027962399999950094,0.0002928000000110842,0.00032280000000639575,0.005521119999983171,0.000282240000004208,0.00028960000001632125,0.00025944000000777123,0.0033282400000160806,0.0031757600000190678,0.00029767999998853156
Trondheim/audio/02,0.12429920000002426,0.00026223999999785974,0.013060800000005202,0.005345599999998285,0.009691279999991309,0.010417520000011393,0.0011031999999815412,0.011566720000004693,0.0002685600000020827,0.0030533599999884586,0.058955760000017676,0.00032280000000639575,0.0003227200000139874,0.009254559999988032,0.000309119999997165,0.005385840000002418,0.0002548799999857465,0.00854336000000444,0.0052549599999593966,0.00027575999999385203,0.0029581599999914943,0.0003140799999812316,0.00028832000000988955,0.006613680000015165,0.00027607999999190724,0.00760391999997978,0.0002576800000042567,0.0002491200000065419,0.012845200000043633,0.00028903999999840835
Trondheim/audio/03,0.0570790399999197,0.005705040000016481,0.009201840000017114,0.005505039999995631,0.010128080000015416,0.0003030399999985889,0.0010519200000089768,0.01637424000004728,0.0004396000000710387,0.0034325599999931455,0.06476328000010767,0.00024751999998784413,0.000297040000006632,0.009971040000266385,0.00029976000000431213,0.011589920000190546,0.03658424000010996,0.016122080000045003,0.005165440000041599,0.00028296000000693766,0.003489439999711408,0.0003965599997144409,0.0002584000000069864,0.003214239999991264,0.00039519999970138997,0.002943360000017492,0.00038175999975464947,0.00025648000000444426,0.00027783999999542175,0.00026751999997998155
Trondheim/audio/04,0.01061424000000244,0.005910240000005729,0.024792480000002115,0.002657599999992044,0.008050080000018056,0.011322559999996429,0.0010380800000007184,0.015895679999999857,0.0004009600000713931,0.002756000000076142,0.00032048000014128775,0.00025392000000579174,0.006468000000012353,0.00038320000030012125,0.0003169599999921502,0.014108880000136992,0.033719760000124666,0.009577760000041735,0.005221440000013899,0.0003094399999952202,0.0030835199999899032,0.0030218399997181677,0.0002700800000070558,0.006494879999991099,0.0004411199997349513,0.0003198400000030688,0.0003917599997294019,0.007533199999656404,0.008655199999992647,0.0002828799999861076
Trondheim/audio/05,0.01349168000002976,0.12548152000003654,0.07414559999999426,0.007807040000002985,0.012339359999998578,0.005241599999990854,0.0010700799999767696,0.090396319999968,0.0004053600000872848,0.008724640000025374,0.00037544000014122503,0.0002508800000100564,0.014805919999986372,0.00038944000029061954,0.0002419200000076671,0.005984000000012202,0.0002564799999902334,0.016982399999960762,0.04929599999971401,0.00029263999999784573,0.00029471999999941545,0.0004331199997125168,0.0002892800000040552,0.02896655999998643,0.00044039999970379995,0.002830079999995405,0.0003870399997225604,0.0040533599996877,0.00027375999999890155,0.0002476799999726609
Trondheim/audio/06,0.011336639999967701,0.008990720000014107,0.08420512000000713,0.022199040000046466,0.009313920000010967,0.002703359999998156,0.0011820800000350573,0.010876479999978983,0.0002817600000071252,0.04376640000000975,0.00031359999999835964,0.0005980799999747433,0.0184366399999476,0.0002582399999937479,0.003099359999993112,0.10530687999985844,0.030800959999993438,0.016238400000020192,0.005587679999990769,0.0002651199999945675,0.0032384000000149626,0.0002476800000010826,0.00029040000001145927,0.00024640000000886175,0.000255839999994123,0.0003187199999956647,0.00028624000000831984,0.0037919999999758147,0.0002660800000171548,0.0002753599999891776
Trondheim/audio/07,0.007139199999997459,0.06957599999992681,0.027190560000065034,0.007419999999989102,0.0002937600000052498,0.009657119999985753,0.0010944000000563392,0.013503359999958775,0.000305599999990136,0.0033668799999873045,0.034596479999862595,0.0003087999999991098,0.006336959999998726,0.0003100799999913306,0.00028367999999545646,0.00031504000000381893,0.028991039999993973,0.008362560000023223,0.005490240000000313,0.00029792000000838925,0.002738559999983181,0.0027015999999946416,0.0002761599999985265,0.005540639999992436,0.0002512000000081116,0.0003020800000115287,0.00024319999999988795,0.003427199999975983,0.008347679999928914,0.0030905599999755395
Trondheim/audio/08,0.010678719999972941,0.005811520000008841,0.05551808000004854,0.005960640000012063,0.009850559999961206,0.00031856000001084794,0.0012262400000508933,0.035840640000060375,0.00029968000001190376,0.0002959999999916363,0.010928960000001098,0.0004982400000130838,0.0033052800000064053,0.00025536000001125103,0.005429759999998396,0.005261760000024651,0.03183519999998907,0.011945760000003247,0.005607840000010356,0.0003158400000131678,0.02894880000002331,0.06397519999995893,0.0003158400000131678,0.0028247999999848616,0.00029680000000098516,0.0029215999999792075,0.0003169600000205719,0.00030815999997457766,0.00024079999997184132,0.0033193600000345214
Trondheim/audio/09,0.04645199999990979,0.0030518400000119073,0.07050335999994672,0.00031359999999835964,0.008010400000046047,0.0027948799999819585,0.0012480000000323344,0.00574448000000416,0.0003193599999917751,0.0029902400000025864,0.0003179199999863158,0.00027312000000279113,0.010594400000059068,0.0002952000000107091,0.0062726400000201465,0.006152159999970763,0.024482399999982363,0.014280000000042037,0.010417279999956008,0.0003175999999882606,0.0033774400000083915,0.00024063999998702457,0.0002503999999987627,0.005201279999994313,0.00026703999998289873,0.00925040000009858,0.00027696000000787535,0.0034943999999654807,0.0003172799999902054,0.00031039999998938583
