,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.03104719999998906,0.0029195199999918486,0.005049200000001974,0.00030384000000083233,0.048156160000011994,0.003052560000000426,0.08320720000002524,0.0030538400000068577,0.08559592000000293,0.00026904000000627093,0.0002652800000007005,0.06756143999996311,0.029679520000001958,0.01098848000002306,0.036016480000029105,0.0027263200000078314,0.00031855999998242623,0.0002655199999992419,0.0033739199999871516,0.0003082400000096186,0.0003164799999808565,0.003025680000007469,0.003492960000002654,0.009088479999959986,0.00032447999998908017,0.020990239999989058,0.00031648000000927823,0.0027795199999900433,0.00030871999999249056,0.012287119999939478
Trondheim/audio/01,0.027375119999980768,0.6007217600000558,0.0028293600000068864,0.014498799999991263,0.012425199999988479,0.0014667200000104685,0.005595360000008043,0.002826560000002587,0.09501048000001333,0.0002878399999985959,0.0002919999999946299,0.06525816000002749,0.00027271999998390584,0.0031520000000000437,0.014964639999973883,0.0032136000000093645,0.0064854400000200485,0.0002854400000131818,0.0029997600000086777,0.000250800000017648,0.0003213600000151473,0.00027840000001333465,0.006106079999980807,0.009870399999968527,0.000288960000006,0.013173760000022128,0.003282880000000432,0.0031781600000186927,0.00027719999999931133,0.005058560000009038
Trondheim/audio/02,0.040466639999991116,0.006668160000010914,0.006117680000002679,0.00030600000000191585,0.017820880000009254,0.0028411199999922587,0.008819600000009586,0.0003144800000001169,0.0770666400000053,0.000323919999999589,0.0002655199999992419,0.013112079999942239,0.0033825600000056966,0.0003017599999992626,0.013731999999947675,0.006481759999971359,0.0002988000000101465,0.0029953599999998914,0.0002875199999863298,0.00031704000001298027,0.008839119999962008,0.0034087200000101348,0.002758800000009387,0.005125519999978678,0.0003147999999981721,0.02599512000006854,0.0027672800000004827,0.003375679999990666,0.00032248000000834054,0.008418399999982284
Trondheim/audio/03,0.13903367999994742,0.006618480000014415,0.005291359999993972,0.00026904000000627093,0.005994799999989198,0.0029118400000029965,0.03438600000000491,0.0002588000000045554,0.0002959199999921225,0.03384039999999544,0.0002656800000124804,0.021585200000060922,0.00269279999999128,0.0003054399999911084,0.00031144000000438155,0.00675151999998036,0.00045320000015180995,0.0008970399999981282,0.0029041599999857226,0.0003984799996885613,0.008802000000031285,0.002869279999998753,0.0030093599999929666,0.010352319999782367,0.0004010399997298464,0.02584551999994744,0.003277280000020255,0.00302560000000085,0.00039087999969922294,0.009892560000025696
Trondheim/audio/04,0.02215968000004409,0.013194719999972904,0.005957279999989851,0.00028688000000443026,0.021726720000046384,0.011714399999959824,0.05369184000004168,0.003291200000006711,0.09359584000000609,0.03099119999998834,0.0002760000000137097,0.00808480000003442,0.003314079999995556,0.002921600000007629,0.015313440000028322,0.0032472000000041135,0.0032024000001484865,0.00025664000000347187,0.00031856000001084794,0.00039503999967394066,0.008536160000005566,0.0027755200000001423,0.00029183999998849686,0.009889759999765602,0.00038807999973755614,0.02215968000004409,0.0002793600000075003,0.003141600000020617,0.0004128799997005217,0.0002547199999867189
Trondheim/audio/05,0.11722831999999528,0.003571199999996111,0.005799359999997478,0.0031582400000687016,0.03469312000000002,0.0012840000000124974,0.035847839999988196,0.0031609599999740112,0.00024528000000145767,0.00029119999999238644,0.0002791999999942618,0.06370512000000872,0.005927040000017314,0.003380959999986999,0.011106079999962049,0.0003190399999937199,0.006279280000171639,0.00031536000000187414,0.00029263999999784573,0.000406159999670308,0.00905696000000944,0.0032014399999980014,0.0027403200000151173,0.0074945599999978185,0.0004347999997094121,0.027241439999983186,0.00031999999998788553,0.003442399999983081,0.00037711999971179466,0.012135999999884461
Trondheim/audio/06,0.009819200000023898,0.004807440000007546,0.0050702400000091075,0.014568319999995083,0.03547376000001634,0.0013976000000326394,0.034654399999965335,0.002849440000005643,0.08341312000001722,0.0031468800000027386,0.00025216000000227723,0.05546767999999247,0.002745599999997239,0.003476000000006252,0.015438719999963268,0.00030752000000688895,0.005409600000007231,0.0003006400000060694,0.003479519999984859,0.00024400000000923683,0.008367519999978867,0.0026857599999914328,0.003245440000000599,0.007826880000010306,0.000266879999998082,0.02334047999997324,0.00026447999999845706,0.0031011199999966266,0.0002515200000061668,0.009518240000033984
Trondheim/audio/07,0.016515199999986407,0.04670783999998207,0.00613200000000802,0.0003030400000056943,0.00294271999999296,0.0013368000000468783,0.01600176000002307,0.0029286399999932655,0.08638800000005631,0.0002806399999997211,0.0002540799999906085,0.06630463999997005,0.0034425599999963197,0.013047839999956068,0.03167056000000912,0.002972639999995863,0.0002846399999896221,0.0034742400000027374,0.003248960000007628,0.00031952000000501357,0.0026716799999917384,0.002664640000006102,0.0002817600000071252,0.008198880000037434,0.0003038399999866215,0.0196911999999827,0.0028670400000123664,0.002805440000031467,0.00030256000002282235,0.009815839999987475
Trondheim/audio/08,0.0345395999999667,0.0061017600000070615,0.005846400000010021,0.0002536000000077365,0.005124000000023443,0.0034918400000094607,0.04002144000000385,0.0002849599999876773,0.09950895999995168,0.030105599999984634,0.00031824000001279273,0.012890399999974989,0.0003158400000131678,0.0032630399999789006,0.012688800000006495,0.0002675199999941924,0.005345759999983102,0.00027872000001138986,0.003196159999987458,0.00031712000000538865,0.027991199999974015,0.003410879999989902,0.003502400000002126,0.00914128000005121,0.00027552000000241605,0.024139199999979155,0.00027776000001722423,0.003047039999955814,0.0002814399999806483,0.005470079999952304
Trondheim/audio/09,0.0058396799999940185,0.005863199999993185,0.009834560000001602,0.00028399999999351166,0.036092480000036176,0.0031785600000091563,0.04155551999997442,0.00028015999998842744,0.07692895999997518,0.0002856000000122094,0.00031391999999641484,0.06546063999999774,0.00024224000000572232,0.003486559999998917,0.030795839999910868,0.0002817600000071252,0.009290080000027956,0.0002587200000050416,0.0035076800000126696,0.000266879999998082,0.0003115199999967899,0.0027649599999790553,0.0030940799999825686,0.007454880000068442,0.00031072000001586275,0.011242879999997513,0.0002567999999882886,0.003739839999980177,0.0002984000000196829,0.000290559999996276
