,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.03806639999999106,0.006662800000015068,0.02010063999995282,0.003172160000012525,0.0176443200000449,0.00845744000000792,0.0002740800000040622,0.00031160000000340915,0.03974623999999238,0.0031816800000044054,0.0030721600000021,0.0003001599999947757,0.005492000000003827,0.00030952000000183943,0.00031359999999835964,0.007644560000017009,0.12233543999995788,0.003216160000008017,0.012220880000000989,0.0031642399999896043,0.0003058400000099937,0.0026867199999855984,0.000263119999999617,0.009867279999980383,0.00027591999999287964,0.005166480000042384,0.0030986400000045933,0.00027864000000477063,0.0029002400000166517,0.0029464800000198466
Trondheim/audio/01,0.06537528000004755,0.005887839999971334,0.0062762400000124785,0.0002912000000065973,0.07441744000006167,0.056852640000045085,0.0002913600000056249,0.0002912800000061111,0.03733392000002311,0.003512079999993034,0.0002885599999942201,0.05844944000004659,0.005706400000036638,0.003038400000022534,0.0003160800000046038,0.006408799999988446,0.10989528000000348,0.009832800000012298,0.00521031999998911,0.006354640000026279,0.0002876000000071599,0.0003037599999942131,0.00028464000000383294,0.01158272000002114,0.0002624800000035066,0.009924479999966707,0.00025944000000777123,0.0002950399999832598,0.0003195199999908027,0.005284799999969891
Trondheim/audio/02,0.036727279999986706,0.005891119999979821,0.006566800000001649,0.0029499200000060455,0.008814639999997098,0.03206527999999764,0.0002979200000012838,0.007667759999996804,0.00032399999999199736,0.0028472800000045595,0.00027328000000181873,0.0029235199999959605,0.006461439999981167,0.002950880000000211,0.00028784000001280674,0.08709152000005815,0.12215071999995075,0.003011359999973706,0.005129200000027367,0.0028152000000147837,0.009091280000021129,0.0003111999999987347,0.0002572799999995823,0.012563200000002439,0.0002950400000116815,0.005864319999972167,0.00030816000000299937,0.0002974399999970956,0.007921200000012618,0.003272320000007767
Trondheim/audio/03,0.034523999999983346,0.02640832000005844,0.13737264000013027,0.0032634399999906805,0.0231272000000331,0.005795439999999985,0.005441520000083244,0.0004279200000638639,0.0002638399999952412,0.003495840000006467,0.0029754400000143733,0.0002619199999855937,0.006596880000017791,0.0031766400002624096,0.0003798400002068547,0.00765880000000152,0.00030055999999945016,0.0031134399999785956,0.005961759999991045,0.0032290399997378927,0.000249359999983767,0.005236000000024887,0.0003249600000145847,0.011992239999997878,0.0004341599997275125,0.005239520000017706,0.0033772000000311664,0.00037983999972368565,0.0002733599999942271,0.003502639999993562
Trondheim/audio/04,0.04006600000001015,0.005868480000010834,0.005940480000006687,0.02491872000000228,0.019837440000031847,0.12740592000001527,0.0004538400000555498,0.0004086400000673507,0.01862784000002904,0.0028476800000021285,0.003379200000011906,0.006155520000021397,0.006377279999981056,0.002664640000006102,0.0003943200002112235,0.009572799999972403,0.10898864000014896,0.0035094399999877623,0.012523039999990715,0.024918079999721954,0.00925535999996896,0.0064881600000319395,0.00025456000000190215,0.00025919999998791354,0.0004655199997074533,0.006323519999995142,0.002699839999991127,0.0003531199997297563,0.0030553599999905146,0.0030817599999863887
Trondheim/audio/05,0.08245248000005745,0.016448079999968,0.006533120000000281,0.0003028800000066667,0.018028800000010392,0.00027520000000436085,0.0003949600000723308,0.00032264000006421156,0.04164751999999794,0.005937120000027107,0.0034126399999934165,0.000290559999996276,0.006088320000003478,0.0002419200000076671,0.0004266400001853299,0.00024751999998784413,0.11465392000002339,0.0056111999999757245,0.009564159999996491,0.004643999999728976,0.000252319999987094,0.0026523200000099223,0.00030752000000688895,0.010797759999974232,0.0004298399997111346,0.005742240000017773,0.01867087999991668,0.0003817599997120169,0.00024143999999637344,0.005782560000000103
Trondheim/audio/06,0.07688015999997333,0.006178720000008298,0.13716863999998452,0.0036960000000050286,0.023825920000035694,0.009756320000008145,0.00028543999999897096,0.00027167999999733183,0.0002934400000071946,0.0032243200000152683,0.00029968000001190376,0.0002707200000031662,0.003678720000038993,0.003451360000013892,0.00025519999999801257,0.008928000000025804,0.0002671999999961372,0.00976896000000238,0.006659519999999475,0.003356319999994639,0.0002675199999941924,0.0002913600000056249,0.00030720000000883374,0.011506239999988566,0.0002479999999991378,0.005312160000016775,0.0006166399999756322,0.00031999999998788553,0.00029471999999941545,0.0003012799999737581
Trondheim/audio/07,0.09658079999999813,0.0037502399999880254,0.00566015999999081,0.00028559999999799857,0.021708960000040634,0.008522640000052206,0.0003084800000010546,0.00027407999999695676,0.03609311999997544,0.006142079999989392,0.002875840000001517,0.00024672000000691696,0.007025919999989583,0.0003062399999862464,0.00024048000000220782,0.009364480000016329,0.12395712000000003,0.00029936000001384855,0.005328960000014149,0.0003151999999886357,0.0002416000000096119,0.0032102399999871523,0.00024175999999442865,0.009918719999973291,0.0003020800000115287,0.005527200000017274,0.000500160000001415,0.0002564800000186551,0.00968191999999135,0.005275200000028235
Trondheim/audio/08,0.07095039999998676,0.006609280000006379,0.006909759999984999,0.027132639999990715,0.023892959999898267,0.12400128000001587,0.000262880000008181,0.0005135999999765772,0.018653120000038825,0.00028624000000831984,0.003451360000013892,0.0057691199999680975,0.006199199999997518,0.00030463999999597036,0.0002412800000115567,0.005943839999986267,0.11349903999996513,0.03187919999999167,0.007985600000012028,0.0003116800000100284,0.00029503999999747066,0.003363360000008697,0.00024528000000145767,0.01229999999995357,0.0003099200000065139,0.012890400000060254,0.0002582399999937479,0.00028223999998999716,0.0002785600000265731,0.0002567999999882886
Trondheim/audio/09,0.07032959999997956,0.00711711999997533,0.12171600000002059,0.00026496000000975073,0.0240899200000797,0.008174080000003414,0.00025711999998634383,0.0002683200000035413,0.00028943999998887193,0.0028247999999848616,0.0032366399999830264,0.00026768000000743086,0.008074240000013333,0.002703360000026578,0.0002419200000076671,0.0002695999999957621,0.00024224000000572232,0.008714239999960682,0.010778079999994361,0.02921728000001167,0.029756320000018377,0.006246239999995851,0.0003132800000003044,0.0002532799999812596,0.0003155200000151126,0.03049199999998109,0.0003094400000236419,0.00026208000002725385,0.01439424000005829,0.027261920000000828
