,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.009551840000007417,0.0002522399999946856,0.08161632000000196,0.010641919999983429,0.08900983999988199,0.02634255999999624,0.029754799999984982,0.0002793599999932894,0.003388959999988117,0.03405111999998667,0.0003018399999987764,0.00025895999999647756,0.0003184800000042287,0.0003032000000047219,0.0034975999999744545,0.00027279999999052507,0.003219680000000835,0.012060959999715237,0.003215920000016581,0.00028991999998595475,0.0002548799999857465,0.000312640000004194,0.00026303999999299776,0.009479439999992678,0.00030968000000086704,0.003350319999995577,0.03803520000001015,0.0002863999999931366,0.0002500800000007075,0.0002826399999946716
Trondheim/audio/01,0.11466872000003292,0.0003112799999982485,0.0002481599999981654,0.003522960000005071,0.02153368000005429,0.030266319999995517,0.012328799999977491,0.0002533600000020897,0.002831759999999406,0.034640480000000196,0.0002520800000027634,0.0003215200000141749,0.0002513600000071392,0.0003137599999831764,0.005204319999975837,0.0002976800000027424,0.0033035200000171017,0.012396239999958425,0.008825999999984901,0.05454935999999577,0.0003172000000120079,0.0002845599999972137,0.00031544000000849337,0.009012000000041098,0.00027288000001135515,0.0003097599999932754,0.041607520000027876,0.00028759999999294905,0.00025384000001338336,0.0002778400000096326
Trondheim/audio/02,0.04040848000002484,0.00030584000000288825,0.0032105600000065238,0.005562719999986143,0.07401927999998037,0.030282640000002914,0.012337680000001683,0.00025303999999692905,0.003053200000003642,0.028868240000015533,0.000259120000009716,0.000323680000008153,0.0002611200000046665,0.00027007999999284493,0.002902240000011602,0.00026647999999340755,0.002742879999985348,0.0031777599999998074,0.0031352799999950776,0.05577431999998339,0.003179279999997675,0.020410319999896842,0.005069280000014942,0.0029461600000217913,0.00028296000000693766,0.00025087999999584554,0.03582559999999546,0.00030184000000588185,0.0002843999999981861,0.0002835999999888372
Trondheim/audio/03,0.057086799999972015,0.00032064000000531223,0.09787496000000573,0.012839200000009043,0.039455280000204596,0.025258560000004593,0.03245343999995498,0.0003251999999918098,0.004610880000093687,0.0349148000000028,0.00033216000014135716,0.000292480000013029,0.03847263999999484,0.00032784000028129867,0.0034856000000189624,0.00024975999998844145,0.025002480000097194,0.01265440000004503,0.0062775999999757914,0.0002795200000065279,0.00032360000000153377,0.00036303999969788947,0.006710240000032286,0.0003019999999906986,0.00042135999970582816,0.002677199999993718,0.035428799999976945,0.000410959999754823,0.0004339199996792331,0.0002559200000007422
Trondheim/audio/04,0.04944671999999173,0.0002996799999976929,0.003414399999996931,0.005910240000005729,0.11385823999991374,0.028504799999993224,0.006340319999992516,0.000282240000004208,0.0003104000000035967,0.0002579199999956927,0.00039176000015572754,0.00972656000001848,0.03546752000002584,0.004352480000278547,0.0027508800000077827,0.000252319999987094,0.004329600000161804,0.0032119999999906668,0.002713920000019243,0.05999152000001118,0.0032366399999830264,0.0003546399997134131,0.0029585599999961687,0.008104639999999108,0.00042607999971266963,0.0002692799999977069,0.027030719999999064,0.00039687999972670696,0.0004569599996955276,0.0031046400000036556
Trondheim/audio/05,0.07681535999997635,0.00030479999999499796,0.003233120000004419,0.006320160000001351,0.0032348800000079336,0.0316444800000113,0.04076720000001899,0.00024143999999637344,0.0045566400001035845,0.03269616000000042,0.0003888000001666114,0.00027087999998798296,0.03641616000001591,0.00039160000027038677,0.0035041600000056405,0.00028335999999740125,0.0030430400000227564,0.0028635200000053374,0.0032630399999789006,0.06282736,0.003030719999998155,0.00033647999971719855,0.0031627200000059474,0.009642240000005131,0.00036639999972010173,0.0033932800000116004,0.033744479999967325,0.0003806399997188237,0.00036871999969889657,0.0002937599999768281
Trondheim/audio/06,0.007854080000015529,0.000251840000004222,0.10010063999999375,0.03488256000002821,0.039694879999942145,0.024272320000008563,0.013398720000026287,0.0002913600000056249,0.0032966399999736495,0.024902559999986806,0.0002579199999956927,0.0002838400000086949,0.0002590400000030968,0.00028448000000480533,0.03367136000002802,0.00025311999999644286,0.002872319999994488,0.01016799999996465,0.012240959999957113,0.0002657599999906779,0.0002455999999995129,0.0033228800000131287,0.005755679999992935,0.010528319999963287,0.0002590400000030968,0.00028943999998887193,0.04166847999999845,0.0002764800000250034,0.0003033599999753278,0.0003169600000205719
Trondheim/audio/07,0.055073280000058844,0.00029696000000001277,0.003233120000004419,0.005537280000012856,0.06984959999994089,0.035185920000003534,0.013545600000014701,0.00024432000000729204,0.003237120000022742,0.02983679999999822,0.00027904000000944507,0.0003030400000056943,0.009304960000008577,0.0003087999999991098,0.002837120000009463,0.00030544000000531923,0.002995519999984708,0.003152160000013282,0.0032172800000012103,0.06475168000000053,0.0034935999999845535,0.00027295999998955267,0.0033228800000131287,0.006578880000006393,0.00024288000000183274,0.0003006400000060694,0.029175519999967037,0.0002718399999821486,0.0002843199999915669,0.0002703999999766893
Trondheim/audio/08,0.050488319999999476,0.00028736000000151307,0.13467888000000983,0.006625920000004726,0.032137599999998656,0.03123984000001201,0.005436480000014399,0.0002584000000069864,0.00030287999999245585,0.0344011200000125,0.0003134400000135429,0.03991680000015663,0.035854720000003226,0.018596320000000333,0.0029163199999970857,0.00031071999998744104,0.0029902400000025864,0.011309440000019322,0.020697919999918213,0.0002937600000052498,0.0002803200000016659,0.014386079999979984,0.02807856000001152,0.0030289599999946404,0.00026127999998948326,0.003094080000039412,0.03145999999998139,0.00024175999999442865,0.0002707200000031662,0.0033017599999993763
Trondheim/audio/09,0.0235225599999751,0.0002568000000024995,0.08566848000003802,0.006696480000016436,0.029686079999919457,0.03501568000001498,0.02424383999988322,0.00026991999999381733,0.00832312000004265,0.02981903999997826,0.0002793600000075003,0.0002724800000066807,0.038526399999994965,0.00031359999999835964,0.003345760000001974,0.0002665600000000268,0.000250240000013946,0.0032084800000120595,0.0033158399999990706,0.00025887999998985833,0.0028388800000129777,0.00031504000000381893,0.005927040000017314,0.00768303999990394,0.0002488000000084867,0.0031169599999998354,0.040854560000070705,0.0002529600000116261,0.00029824000000644446,0.0002731199999743694
Trondheim/audio/10,0.0223008000000533,0.000292480000013029,0.09524415999993607,0.005765760000002729,0.04333824000005393,0.025263359999996737,0.005083680000012691,0.00025632000000541666,0.00024672000000691696,0.03475632000001383,0.00030639999999948486,0.024096799999938412,0.036358080000013615,0.0035199999999804277,0.003125760000017408,0.00024096000001350149,0.0002966399999877467,0.011539040000030809,0.035486879999950816,0.00029648000000292996,0.00029040000001145927,0.0002604800000085561,0.00943391999993537,0.010259840000117038,0.00028048000001490436,0.00031824000001279273,0.04124928000010186,0.00024208000002090557,0.00031711999997696694,0.002731519999997545
Trondheim/video,0.044189199999996376,0.00030071999999847776,0.002890240000009925,0.08166144000000841,0.08202288000001445,0.03394791999999924,0.013885600000005383,0.0003126399999970886,0.0031973600000085867,0.0002596799999921018,0.00025295999999741525,0.0002660800000100494,0.0320294400000094,0.00025063999999730413,0.0030283199999914245,0.000319920000009688,0.0026483200000058105,0.003407840000001272,0.03238736000014342,0.05487767999998994,0.003367600000004245,0.00025472000000092976,0.0003032000000047219,0.010164400000022056,0.00030399999999985994,0.00028616000001591146,0.03868159999998966,0.00026496000000975073,0.00024999999997987743,0.00031536000000187414
Trondheim/video/01,0.04057088000000242,0.00026207999999883214,0.030193760000013725,0.003499280000006877,0.07636503999997402,0.027770560000000444,0.019590879999984878,0.0003238400000000752,0.0032625600000102395,0.00028248000000985485,0.0002495200000041109,0.00297519999998741,0.005488000000013926,0.00030439999999742895,0.003463679999995861,0.03385496000000643,0.00025319999999595666,0.0034261600000178305,0.002650639999998816,0.06923503999998104,0.0035230400000045847,0.003304319999998029,0.029047759999983214,0.015018880000070567,0.0002554400000036594,0.003401999999979921,0.036936559999986684,0.0002926400000120566,0.00032303999999783173,0.00030232000000296466
Trondheim/video/02,0.03822608000000649,0.0003140800000025479,0.0002887199999968004,0.0036407999999958918,0.029309520000001754,0.031219360000005025,0.07203392000007369,0.00027520000000436085,0.003403999999996188,0.00024872000000186745,0.01180808000002287,0.024800560000066696,0.03563855999999532,0.0002729600000037635,0.003332480000004523,0.0035215199999996116,0.003280799999991757,0.0031551999999805957,0.0031984800000088853,0.056023839999980396,0.0030952000000041835,0.005450479999979052,0.006163359999987961,0.03413888000002885,0.000316639999994095,0.003055200000005698,0.030645280000015873,0.00026471999998989304,0.00025240000000792406,0.0002917599999960885
Trondheim/video/03,0.01372719999999994,0.0002493600000015306,0.01875384000002711,0.002775999999997225,0.03327039999999215,0.029913359999998335,0.030952640000037945,0.0002496799999960331,0.0026889600000004066,0.027455840000015996,0.000297279999998068,0.0003034400000032633,0.06339335999999207,0.0003244799999961856,0.0029408000000046286,0.00025663999999636644,0.003267360000002384,0.002748000000011075,0.008190080000034072,0.06303111999997668,0.00350832000000878,0.0002901599999916016,0.03576416000001359,0.033802240000014194,0.00031311999998706597,0.0031390400000077534,0.07566640000000291,0.00029183999998849686,0.00031055999998841344,0.0003254399999832458
Trondheim/video/04,0.049792320000001666,0.0002836800000025619,0.003169759999998689,0.0029216000000005238,0.03518255999999553,0.026897920000010345,0.0711078399999252,0.00029551999999455347,0.002826560000002587,0.049191039999954,0.005991039999997838,0.03549952000008716,0.05905119999999897,0.00029680000000098516,0.0034777599999955555,0.0002782400000000962,0.002761440000000448,0.0031855999999947926,0.0030923200000074758,0.05746000000002027,0.002891680000004726,0.00026560000000586115,0.003196159999987458,0.002976160000002892,0.0002486399999952482,0.0029057600000044204,0.03126640000002112,0.0002692799999977069,0.00031487999999058047,0.000316160000011223
Trondheim/video/05,0.080067200000002,0.00024943999999749167,0.0075590400000109526,0.0033668800000015153,0.022907520000018167,0.025573439999988068,0.02131136000002698,0.0002801600000026383,0.002937439999996627,0.034383359999992535,0.0005817599999886625,0.03873408000001177,0.010561600000016824,0.00026560000000586115,0.0002867199999911918,0.0003065600000127233,0.0002803200000016659,0.0030043200000022807,0.0034847999999954027,0.09867407999993816,0.003379200000011906,0.015389759999976604,0.00029263999999784573,0.008402240000037864,0.0003180799999995543,0.003382720000018935,0.08394287999996664,0.0002689599999996517,0.00030960000000845866,0.00029792000000838925
Trondheim/video/06,0.040971680000005506,0.00028128000000293696,0.012431200000023068,0.0030254400000018222,0.03866784000000223,0.03755839999999466,0.07752239999996391,0.0002587200000050416,0.0029356799999931127,0.00030415999999888754,0.0002788799999962066,0.00048544000000561027,0.08248415999999281,0.00027807999998685773,0.0033703999999943335,0.000251840000004222,0.0027649599999790553,0.003287679999999682,0.003368639999990819,0.06085455999999567,0.0031609599999740112,0.02774720000002162,0.0033123199999920416,0.013276320000045416,0.0002543999999886637,0.00322959999999739,0.035583680000002005,0.000262880000008181,0.00029936000001384855,0.00024175999999442865
Trondheim/video/07,0.04155008000000038,0.0002798400000045831,0.07120511999991663,0.005723520000003646,0.02348528000003114,0.028149600000006103,0.005651520000000687,0.00024496000000340246,0.00029263999999784573,0.024530880000000366,0.0002807999999987487,0.0002515200000061668,0.005698559999984809,0.0034918400000094607,0.0035129599999947914,0.0028441599999950995,0.0031275199999925007,0.003384479999994028,0.0028705599999909737,0.06191584000001171,0.0026452799999958643,0.005244959999998855,0.002946239999999989,0.0028353600000059487,0.0002444799999921088,0.0002963199999896915,0.03214560000000688,0.0002430399999866495,0.0002881599999966511,0.0034284799999966253
Trondheim/video/08,0.04643583999997247,0.00042575999998462066,0.0029620800000031977,0.01262688000002754,0.03326447999999971,0.033099359999923195,0.0316148799999354,0.00043615999991430954,0.0031820800000019744,0.030920159999993757,0.000252319999987094,0.0004227199997188791,0.037120160000000624,0.00024576000001275133,0.00027407999999695676,0.00040079999982367553,0.0030905600000039612,0.0028283199999918907,0.0027051200000016706,0.05459424000002855,0.0028846400000190897,0.0062294399999700545,0.0350190400003072,0.0032507200000111425,0.0002567999999882886,0.0032401599999900554,0.04795368000027622,0.00029760000001033404,0.0002867199999911918,0.00038624000028164573
Trondheim/video/09,0.04522751999996899,0.0004211999999839122,0.0035692799999935687,0.029767680000041707,0.006602400000005559,0.03568423999992376,0.005130719999996813,0.0003808799999305279,0.00027407999999695676,0.029339520000007724,0.00030176000001347347,0.00039663999970684927,0.00031183999999484513,0.03652464000001032,0.00025135999999292835,0.0003430399998194389,0.0032700800000213803,0.002696319999984098,0.009121439999972836,0.05172031999995852,0.0031169599999998354,0.0002809599999977763,0.004642880000261584,0.010234800000276323,0.0002590400000030968,0.0028635200000053374,0.04984088000033182,0.0002902399999982208,0.0002820800000051804,0.0043308800002819225
Trondheim/video/10,0.028207200000039734,0.00038407999997502884,0.0028793599999943353,0.006662880000007476,0.024708639999971638,0.04274775999994063,0.022991040000007956,0.00033543999991536566,0.0033932800000116004,0.030760320000013053,0.00031104000001391796,0.000407839999695625,0.06667600000000107,0.0003180799999995543,0.003199679999994487,0.0003817599998399146,0.0002841600000067501,0.002830079999995405,0.00322959999999739,0.06460272000001055,0.0029057600000044204,0.00024256000000377753,0.006664560000245956,0.00029903999998737163,0.00024048000000220782,0.0026822399999844038,0.0916484800000319,0.0002678399999922476,0.0002488000000084867,0.0004290400002844308
