,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.09743104000001779,0.042244239999988054,0.003509520000065436,0.07711312000004256,0.0002762399999980403,0.00029608000000536094,0.0060322400000174525,0.058327760000032924,0.013086559999969438,0.07699192000000465,0.0027796000000108734,0.00588488000002485,0.00030424000000550677,0.0003074400000144806,0.0002868799999902194,0.008414799999997058,0.008352560000020048,0.0003220000000112577,0.0002907199999953036,0.035976080000040156,0.0002794399999856978,0.00030720000000883374,0.00027304000001038276,0.006582880000010505,0.0002471999999897889,0.0077367199999685,0.00025144000001375844,0.00030087999999750537,0.005104959999982839,0.003489280000010808
Trondheim/audio/01,0.1205986399999972,0.16681543999984427,0.003299839999996834,0.008233120000021188,0.0002847199999962413,0.0003086400000071876,0.0065508799999989265,0.0003165600000016866,0.008362479999995287,0.014996400000008236,0.0033835999999922706,0.0002891199999908167,0.00851128000002177,0.0002651199999945675,0.161945039999857,0.009367360000027247,0.10337847999989691,0.00031879999998807307,0.0003053599999987,0.0034755999999873666,0.005430239999981268,0.00855512000001113,0.0002704800000117302,0.006369760000012548,0.00028711999999586624,0.00031279999998901076,0.003196959999996807,0.00028072000000634034,0.006293840000012096,0.0035013599999871303
Trondheim/audio/02,0.10729055999996717,0.1522561599999932,0.0030341599999985647,0.00780975999999356,0.00030552000000483304,0.00032359999999442834,0.012037439999993182,0.08716944000000382,0.0002698399999943035,0.019107759999990037,0.0029133600000079696,0.008501679999994849,0.039651680000062584,0.003311359999997876,0.01863535999996202,0.014831920000048626,0.0004967199999867944,0.0002888800000135916,0.005984160000011229,0.036269040000021846,0.005649199999950838,0.007466320000020232,0.002712160000001518,0.0060678400000000465,0.003248480000024756,0.005910879999973417,0.0002828800000145293,0.0002604000000161477,0.00032048000001339005,0.0002871200000100771
Trondheim/audio/03,0.009671839999995768,0.07955864000003032,0.0030676799999938,0.009787039999999081,0.0002786399999976652,0.00027184000000346487,0.006256800000002727,0.09721760000000046,0.03745688000001479,0.008712320000000773,0.002934399999986681,0.002981199999979367,0.1162199999999558,0.0002516800000051944,0.0029352000000244516,0.0030158400000175334,0.0002477600000077018,0.0003838399999125386,0.00030175999998505176,0.0029677599996631443,0.013062799999943309,0.0002567199999816694,0.0003182399999985819,0.005835200000021246,0.00028575999999702617,0.006122880000006603,0.002780000000001337,0.0029913599997399842,0.00026767999999322,0.0026633600000138813
Trondheim/audio/04,0.12342655999998442,0.06475919999998325,0.00024064000000123542,0.008962719999985325,0.0003107200000016519,0.0005948799999941912,0.005594399999992561,0.08175744000001828,0.054152320000056875,0.010115520000056222,0.002673439999995253,0.005923679999995102,0.04252159999998639,0.0002401600000041526,0.006373919999987265,0.01431176000016876,0.0002575999999976375,0.0003697599998986334,0.0003120000000080836,0.0032472000000041135,0.011427520000012237,0.00026879999998641324,0.00026303999999299776,0.0057724800000187315,0.0002564799999902334,0.00893792000005078,0.009497600000031525,0.0003739199997170317,0.002757919999993419,0.0029286399999932655
Trondheim/audio/05,0.09744480000003364,0.03680640000003166,0.0004838399999869125,0.023988960000053794,0.0002912000000065973,0.000552319999997053,0.00580943999999306,0.061279680000012604,0.008967680000040446,0.06927600000000211,0.0032084800000120595,0.00024400000000923683,0.05115935999992871,0.00028335999999740125,0.005587679999990769,0.005628479999984393,0.005177759999980935,0.0004154399998981262,0.0003079999999897609,0.0031468800000027386,0.003380959999986999,0.02832847999999899,0.0002971199999990404,0.006128639999985808,0.00026592000000391636,0.036764640000001236,0.003194879999995237,0.00038999999971167654,0.0329507199999739,0.00025455999997348044
Trondheim/audio/06,0.014560159999987832,0.047888000000028796,0.00031760000000247146,0.009820799999999963,0.00027215999999441465,0.0005667199999948025,0.005530559999982643,0.06614351999994028,0.009860479999986183,0.07927583999997978,0.0031239999999854717,0.005685120000009647,0.006592319999981555,0.0031239999999854717,0.024662879999993947,0.0027702400000180205,0.0003147200000057637,0.0002860799999950814,0.0002910400000075697,0.0027649599999790553,0.01205071999993379,0.00030351999998856627,0.00025536000001125103,0.006276479999996809,0.0002660799999887331,0.007886399999989635,0.00024704000000497217,0.00028720000000248547,0.005480160000047363,0.002798400000017409
Trondheim/audio/07,0.013177919999961318,0.06224832000002323,0.0002683200000035413,0.049205759999949805,0.00029616000000487475,0.0004976000000169734,0.005349120000005314,0.05505552000002467,0.0002956799999935811,0.0076483200000438956,0.003261280000003808,0.009855520000002116,0.007683039999989205,0.002937440000010838,0.005164320000005773,0.0028353600000059487,0.00029151999999044165,0.00031680000000733344,0.0002671999999961372,0.0002532800000096813,0.0032243200000152683,0.009885280000020202,0.0003094399999952202,0.0029057600000044204,0.0026875199999949473,0.01890303999994103,0.0005952000000206681,0.0002966399999877467,0.009290080000027956,0.00029647999997450825
Trondheim/audio/08,0.016773439999951734,0.037480960000038976,0.00024048000000220782,0.016754880000007688,0.00027344000000084634,0.002923359999982722,0.0055171200000074805,0.04961375999999973,0.01272960000002854,0.005916959999979099,0.0038188800000114043,0.044149920000052134,0.01680671999997685,0.0002846399999896221,0.00030319999999051106,0.0027438399999937246,0.00024927999999135864,0.00024608000001080654,0.00030928000001040346,0.005920320000001311,0.0002505600000120012,0.00029535999999552587,0.00026847999998835803,0.005050079999989521,0.0003198400000030688,0.009012319999953888,0.00026991999999381733,0.0003111999999987347,0.003169760000048427,0.0030888000000004467
Trondheim/audio/09,0.1127321600000073,0.009287679999985698,0.0005731200000127501,0.04505839999998784,0.00027375999999890155,0.0006144000000176675,0.0057287999999857675,0.09058895999996253,0.003187359999998307,0.01685552000003554,0.003199679999994487,0.0468704000000173,0.018563520000043354,0.0003062399999862464,0.010286079999957565,0.013113120000014078,0.00030720000000883374,0.0002686400000015965,0.006649439999989681,0.0030553599999905146,0.010141760000010436,0.00031455999999252526,0.030298399999963976,0.005201279999994313,0.00027727999997750885,0.00028975999998692714,0.011716160000105447,0.00029119999999238644,0.0003054399999768975,0.0032014399999980014
Trondheim/audio/10,0.10117535999998495,0.021752639999917278,0.0005686399999831337,0.009805919999962498,0.0002561599999921782,0.0027508800000077827,0.005873280000002978,0.06614351999994028,0.0026980799999876126,0.01286015999997403,0.005745600000011564,0.04643552000007389,0.009151199999990922,0.013814879999955565,0.013782240000011825,0.008377440000003844,0.0006092799999919407,0.00025984000001244567,0.00024143999999637344,0.0033580799999981537,0.000287039999989247,0.0002998399999967205,0.00029183999998849686,0.006662880000021687,0.0002732799999876079,0.00024079999997184132,0.0002841599999783284,0.00026272000002336426,0.0064680000000407745,0.0029303999999683583
Trondheim/video,0.12066936000000439,0.043015839999995364,0.0005827200000041444,0.011512320000004905,0.00028936000000001627,0.0006055199999970284,0.006539759999995454,0.09498584000002097,0.008890560000025971,0.008095120000007228,0.012654959999984783,0.04250935999999683,0.037838000000029126,0.0005433600000017691,0.01923207999998766,0.014848720000017579,0.00024992000000878534,0.00031623999999652597,0.00030944000000943106,0.03494799999997156,0.009910399999981223,0.0003092000000037842,0.003336400000009121,0.005304880000011281,0.0002952800000031175,0.0034131199999762885,0.000323440000016717,0.0002514399999995476,0.00599831999997491,0.005166800000040439
Trondheim/video/01,0.10249648000001166,0.05750607999999602,0.05203888000000134,0.009906960000009235,0.00026623999999841885,0.0002987200000035273,0.00595496000000395,0.10111728000001108,0.0029718399999936196,0.014410240000024999,0.010947039999976482,0.06623008000000574,0.0027082399999969198,0.00025088000000295096,0.010106960000008769,0.000277920000002041,0.00032496000000747927,0.00024856000000283984,0.00031655999998747575,0.035241360000014765,0.03252359999997623,0.0003212799999943172,0.0029526400000037256,0.00026760000000081163,0.0002667199999990544,0.00032367999999394215,0.0005670399999786468,0.0030215200000043296,0.005551440000004959,0.06938368000000672
Trondheim/video/02,0.011473120000003334,0.06823920000000783,0.0035470399999972813,0.0076704799999873785,0.0003015200000007212,0.00025847999999939475,0.006647120000003781,0.09209839999999758,0.002684560000005831,0.013427680000035025,0.010968559999973593,0.010456800000000044,0.0002480799999986516,0.0005851200000108747,0.006053040000004728,0.012390480000000537,0.00031320000000789605,0.00032104000000288124,0.00024999999997987743,0.003245679999992035,0.00336031999998454,0.005746879999961152,0.03237711999997828,0.006594240000012519,0.00031567999999992935,0.005154479999973205,0.0002732799999876079,0.0032536800000002586,0.03124175999997192,0.009907679999997754
Trondheim/video/03,0.010275280000000109,0.1230646399999955,0.000631520000002439,0.008950399999992698,0.0003065600000020652,0.0005540800000005675,0.006515840000005824,0.07399544000001157,0.008662559999990549,0.012232159999982173,0.08225503999999972,0.047239920000016866,0.00562559999999479,0.0033235200000021337,0.022569919999966714,0.01260368000004064,0.0003017599999992626,0.00028367999999545646,0.00032383999999296975,0.0026918399999971143,0.03266791999999441,0.000323680000008153,0.0029117600000034827,0.006193679999995538,0.000270639999996547,0.002731120000007081,0.00028832000000988955,0.00026071999999999207,0.006784720000013067,0.002997440000001461
Trondheim/video/04,0.010227360000001795,0.0798648000000135,0.003490560000003029,0.009384319999995228,0.0003147199999986583,0.000301600000000235,0.010325440000002573,0.08171376000002795,0.0002795200000065279,0.007921120000005999,0.00027584000000047126,0.05069568000003244,0.002650559999992197,0.03258288000000675,0.013012479999986226,0.006615840000023354,0.0002601600000105009,0.00027807999998685773,0.00024288000000183274,0.002914560000021993,0.00030608000000142965,0.0002931200000091394,0.03569984000000659,0.003111679999989292,0.002803679999999531,0.006263040000021647,0.00031952000000501357,0.0002660799999887331,0.003014879999994946,0.003152160000013282
