,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.011994640000011714,0.03138240000001247,0.024583679999928165,0.0063085600000292175,0.0674263200000027,0.006457840000003046,0.00300576000000774,0.012909520000008001,0.0028910399999944048,0.0002785600000052568,0.0037168799999989233,0.0003027200000076391,0.11101407999996127,0.00028816000001086195,0.003226320000010219,0.00025080000000343716,0.00026672000001326523,0.00026175999998656607,0.003582719999968731,0.00031231999999192794,0.0003230399999836209,0.0054140800000084255,0.0003156799999857185,0.013903200000058291,0.128476959999972,0.002927440000007664,0.00031488000000479133,0.0036121599999603404,0.0003036799999875939,0.00027607999999190724
Trondheim/audio/01,0.01038719999999671,0.036380880000038474,0.029738399999992282,0.006778480000043885,0.0555084799999932,0.0034431200000000217,0.0028540800000058653,0.014474559999982262,0.0029134400000074834,0.00027720000000641676,0.0035754399999916586,0.0002678399999922476,0.006503840000007699,0.0002973600000046872,0.0031108000000017455,0.000323680000008153,0.00026736000000937565,0.0003158399999847461,0.0031774399999875413,0.0002915200000046525,0.0881693600000375,0.006031039999982113,0.0005144000000143478,0.005224239999989777,0.00793208000003176,0.002727519999979222,0.0002536000000077365,0.011589439999966089,0.0003167200000007142,0.00028927999998984433
Trondheim/audio/02,0.04789591999992382,0.03919783999998572,0.00028879999999986694,0.006198879999992357,0.067735600000006,0.006054480000010187,0.0032112000000097396,0.014287439999968399,0.0002954400000021451,0.01306863999997887,0.0033519999999782613,0.0002734399999866355,0.10939904000001377,0.00025863999999842235,0.003179840000001377,0.00024943999999038624,0.0002956000000011727,0.00028784000001280674,0.00025216000000227723,0.00031567999999992935,0.00026047999999434523,0.007966239999973368,0.0005586399999799596,0.006696640000001253,0.005390879999964682,0.0002912799999847948,0.0003121600000071112,0.01019463999996617,0.0002726400000057083,0.00031432000001530014
Trondheim/audio/03,0.04805400000000759,0.029971519999982377,0.027800959999950692,0.005481439999996951,0.07309176000007511,0.004014800000071261,0.002669920000002435,0.013256399999981738,0.003326319999992222,0.0003033600000037495,0.004133680000165896,0.0004558400002849794,0.005069040000023506,0.00044024000027320653,0.0028482400000200414,0.00025575999998750376,0.00030016000000898657,0.0002646400000116955,0.027702960000013377,0.0003956799996984728,0.09456080000001066,0.00923704000001635,0.0007787199997153493,0.007206799999664781,0.005172959999995896,0.0030767200000241246,0.0003773599997174415,0.03222991999999181,0.00032647999998403066,0.0004160799997094955
Trondheim/audio/04,0.0486011199999723,0.034667520000013496,0.0342809600000038,0.08686271999999917,0.00030655999999851247,0.006121920000012437,0.0032471999999899026,0.002791360000003351,0.003813120000003778,0.0002820800000051804,0.0031679999999880692,0.00041176000027576265,0.006299999999981765,0.00039512000029162664,0.002851199999980736,0.0002736000000140848,0.0002488000000084867,0.00028272000000129083,0.0002710400000012214,0.0003935199997044947,0.07354031999997801,0.006172319999961928,0.0006993599997144884,0.014035199999938186,0.0155284800000004,0.0032243200000152683,0.0003658399997163997,0.006068160000012313,0.0002988800000025549,0.0004015999997051267
Trondheim/audio/05,0.050835839999891164,0.018461119999955145,0.0027790399999929605,0.006007679999981974,0.10046296000004418,0.0032374400000634296,0.006209520000076907,0.0027983999999889875,0.0037459199999716475,0.0003140800000096533,0.00431000000016013,0.0004409600002759362,0.006427679999973179,0.00041360000027168553,0.013008479999939482,0.00025919999998791354,0.00026704000001132044,0.0002750399999911224,0.0031310399999995298,0.0003602399996935901,0.08052351999995722,0.009488479999959054,0.0006138399997297483,0.029233600000026172,0.12400128000001587,0.002699839999991127,0.0003991199997130934,0.00028144000000907,0.0002774399999907473,0.0004267999997011884
Trondheim/audio/06,0.03317247999996198,0.11597175999994391,0.006541919999989432,0.006575359999999364,0.05835983999999428,0.005560799999983601,0.03596576000006735,0.015202079999937723,0.003352800000016032,0.00028800000001183435,0.00030544000000531923,0.000252319999987094,0.005328960000014149,0.0003144000000077085,0.002761440000000448,0.0002959999999916363,0.00030223999999634543,0.0002846399999896221,0.002896959999986848,0.00029616000000487475,0.08326863999997158,0.009900160000000824,0.0008145600000375453,0.005298720000013191,0.12185231999998791,0.0077574400000059995,0.0002710400000012214,0.0029356800000073235,0.00031919999997853665,0.0002732799999876079
Trondheim/audio/07,0.012305839999974921,0.04020127999997669,0.012821760000036875,0.005154240000010191,0.06353632000001141,0.005325599999991937,0.011538239999936195,0.0157487999999546,0.0029585599999961687,0.011342240000061565,0.0034003199999972367,0.0003083199999878161,0.005937120000027107,0.00029215999998655207,0.0031468800000027386,0.0002430399999866495,0.00028688000000443026,0.0002590400000030968,0.011087439999975857,0.0002782400000000962,0.07488879999999654,0.009756320000008145,0.0076086400000008325,0.006749119999994946,0.0063671999999712625,0.002757919999993419,0.00024639999998044004,0.0032401599999616337,0.0002611200000046665,0.0002852800000141542
Trondheim/audio/08,0.027200640000017984,0.037255680000001234,0.016258880000037834,0.0061152000000106455,0.06424912000005634,0.006199199999997518,0.0029779200000064066,0.013398720000026287,0.00024751999998784413,0.010810880000008183,0.003054719999994404,0.0003187199999956647,0.003350399999987985,0.000259360000001152,0.0029831999999885284,0.00029040000001145927,0.0002782400000000962,0.00031071999998744104,0.0026822399999844038,0.00026944000001094537,0.08201647999996453,0.008278240000009873,0.0003123200000061388,0.007464800000008154,0.00595391999999606,0.003356320000023061,0.0002689600000280734,0.028360799999973096,0.00026384000000234664,0.00028975999998692714
Trondheim/audio/09,0.03319359999990468,0.0294297599999922,0.03541343999992819,0.0063504000000307315,0.05899191999999687,0.0063504000000307315,0.00025744000001282075,0.01966031999998563,0.0032735999999999876,0.00026352000000429143,0.0029673600000137412,0.00027983999999037223,0.005456640000033985,0.00029903999998737163,0.00846672000000126,0.000298079999993206,0.00027407999999695676,0.0002433600000131264,0.0002473600000030274,0.00026271999999494255,0.09251535999996463,0.006494879999991099,0.0006124799999724928,0.0002988800000025549,0.005681760000015856,0.0032630399999789006,0.00026991999999381733,0.0029356800000073235,0.0003083199999878161,0.0003193599999917751
