,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.04788999999994559,0.012532799999988242,0.003374800000010225,0.003120799999990709,0.00032232000000931293,0.06475968000000165,0.0031439199999994116,0.002764559999995697,0.002909600000002399,0.0035042400000051543,0.016006720000007135,0.0003243999999966718,0.03795007999997324,0.029541280000003667,0.0028423199999991766,0.0002683199999893304,0.0002529600000116261,0.03043463999999574,0.00025135999999292835,0.0034336800000005496,0.0002626399999883233,0.0031653599999970083,0.0030981600000075105,0.011507759999972222,0.009419839999964097,0.0031866399999813666,0.0003171199999911778,0.0002999199999891289,0.0002906399999886844,0.03084400000001608
Trondheim/audio/01,0.02144047999993859,0.016782720000001916,0.002956160000003649,0.00026064000000047827,0.009037600000006307,0.03538887999998508,0.002934160000009456,0.0029784799999958977,0.009376880000012022,0.003356959999997855,0.01824880000000917,0.00028488000000947977,0.04383912000004386,0.029494720000002417,0.0002700800000070558,0.00028559999999799857,0.02346559999993758,0.04084920000001091,0.0002557600000017146,0.0002811199999968039,0.003082959999986201,0.00027831999999250456,0.005254399999998327,0.00032447999998908017,0.010403999999979874,0.005529039999970564,0.000286239999994109,0.00029359999999201136,0.035154399999996144,0.08308287999997788
Trondheim/audio/02,0.08731512000004926,0.012767279999977177,0.00024503999999581083,0.00027367999999938775,0.00025048000000538195,0.06752592000001556,0.00030576000000337444,0.0034464000000085093,0.002707680000000323,0.0003223999999946159,0.01603328000003046,0.00030055999999945016,0.03467840000003264,0.025056639999988306,0.0066298399999880075,0.00031368000000497887,0.00030608000000142965,0.0003123999999985472,0.0002728799999971443,0.0003185599999966371,0.0003226399999931573,0.003446719999999459,0.0002570400000081463,0.0002728000000047359,0.008571280000026604,0.003141839999983631,0.0002451999999806276,0.00026847999998835803,0.11014952000006417,0.026117360000000645
Trondheim/audio/03,0.03380440000002238,0.010463520000001836,0.00031471999999155287,0.00027184000000346487,0.011343679999974654,0.04519559999997114,0.0002978399999946646,0.0026492800000070815,0.0038228799999942,0.002725120000008019,0.04008303999998475,0.0003608000002799372,0.043771680000006086,0.03649784000027978,0.0026943199999891476,0.00026463999999748467,0.023671200000052295,0.038425119999971,0.0004532799997036818,0.0027447999999878903,0.005710080000000062,0.0030473600000249235,0.003338800000008746,0.00030879999998489893,0.008987040000022262,0.0051001600000262215,0.0003521599997213798,0.00045735999972862373,0.01530703999993932,0.042223119999690084
Trondheim/audio/04,0.0116271999999924,0.015438720000020112,0.015399680000015792,0.00025327999999547046,0.021319200000050387,0.049637440000012134,0.003200880000051143,0.0031046400000036556,0.003546239999991485,0.0031662399999845547,0.0054734399999745165,0.0003793600003092479,0.008952800000031402,0.039750240000259396,0.003505920000009155,0.0003198400000030688,0.013064160000027414,0.035611039999992045,0.0004499199997241021,0.0002863999999931366,0.00030000000000995897,0.003164480000009462,0.00029968000001190376,0.00028191999999194195,0.008759359999970684,0.00026031999999531763,0.00036999999970532826,0.0003966399997210601,0.0002721600000086255,0.06348384000003193
Trondheim/audio/05,0.01614591999999959,0.006111840000002644,0.0033592000000197686,0.00025648000000444426,0.005678399999993644,0.017480160000047817,0.0034232000000002927,0.00024143999999637344,0.018173120000000154,0.0029814400000134356,0.03438143999994736,0.003455280000281391,0.04211952000002839,0.036952720000286376,0.0002433600000131264,0.00024672000000691696,0.00606143999999631,0.031851359999990336,0.00040615999972715144,0.002893439999979819,0.002830079999995405,0.0030096000000128242,0.015136800000050243,0.0002920000000017353,0.006064800000018522,0.009781120000013743,0.0004183199997100928,0.0004385599997362988,0.00588335999998435,0.0447641599997155
Trondheim/audio/06,0.011928000000011707,0.013852799999980903,0.011066719999973884,0.00024399999999502597,0.0057019199999928105,0.03753696000001128,0.0034355200000106834,0.0030782399999793597,0.024482399999897098,0.03695823999998993,0.043157279999945786,0.000316160000011223,0.008843680000012455,0.02508032000000071,0.012444000000044753,0.0002692799999977069,0.025839839999974856,0.02580752000000075,0.00026127999998948326,0.0003038399999866215,0.0003041600000130984,0.0002835200000106397,0.00031776000000149907,0.025064159999999447,0.00646127999999635,0.005160960000040404,0.00024927999999135864,0.00024464000000534725,0.0034619200000065575,0.028926399999988917
Trondheim/audio/07,0.010207679999979291,0.013403519999968694,0.1170716799999667,0.00025248000000033244,0.02115231999998457,0.005452479999974003,0.00028480000000286054,0.003268319999989444,0.005675200000069935,0.003490559999988818,0.012305280000020957,0.002791360000003351,0.03544815999995876,0.028021440000003395,0.0029515200000105324,0.0002505600000120012,0.026030080000055023,0.029314239999990832,0.00028047999998648265,0.0032507200000111425,0.00027520000000436085,0.0032806400000140457,0.02111823999999274,0.008724640000025374,0.008923039999956472,0.0028107199999851673,0.026030080000055023,0.0003137599999831764,0.0027086400000371214,0.06188208000003215
Trondheim/audio/08,0.02076704000005236,0.029601439999993318,0.11986143999997978,0.0002718400000105703,0.006098400000013271,0.017975040000010267,0.002854719999987765,0.00294271999999296,0.033124959999980774,0.0031152000000247426,0.01911008000001857,0.00024111999999831824,0.0002689599999996517,0.00031104000001391796,0.000288960000006,0.00024528000000145767,0.005984159999968597,0.03206144000000677,0.00028144000000907,0.002729760000022452,0.0033281599999952505,0.003180319999984249,0.014002560000022868,0.00030287999999245585,0.00813935999997284,0.005090400000028694,0.00030048000002125264,0.0002971200000274621,0.0026575999999636224,0.03052623999997195
Trondheim/audio/09,0.03198719999993216,0.013039679999963028,0.0137659199999689,0.006540160000042761,0.013528319999977612,0.00793599999997241,0.0032771200000070166,0.0035129599999947914,0.029037599999981012,0.0030166399999984606,0.03617696000003434,0.00029535999999552587,0.03440272000000277,0.02475711999997543,0.00031391999999641484,0.00026063999999337284,0.002976160000002892,0.03965631999997754,0.00028367999999545646,0.003440799999992805,0.0003190399999937199,0.00029856000000449967,0.012958079999947358,0.00025391999997737,0.00926032000000987,0.0029567999999358108,0.0002788799999962066,0.0002747199999930672,0.00025663999997505016,0.027859839999962333
