,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29
Trondheim/audio,0.010918000000003758,0.0002948799999913376,0.009660239999995213,0.0027743200000145407,0.015736479999979736,0.09462623999999664,0.006241119999998546,0.031841839999998456,0.01126279999998303,0.0034555199999957154,0.09325056000003684,0.003044560000034835,0.0002451199999882192,0.006023280000022169,0.029239760000024262,0.030844799999997008,0.010803679999980886,0.012180719999989265,0.00028303999999934604,0.00032255999998653806,0.0002772799999917197,0.00031047999999600506,0.003264000000001488,0.0005889600000017481,0.008239040000006526,0.009426400000009494,0.0002703199999842809,0.0002551999999838017,0.00031896000000131153,0.000277920000002041
Trondheim/audio/01,0.011934320000044352,0.0003180800000066597,0.12224648000001537,0.0033406400000046688,0.01344704000000263,0.0002678399999922476,0.005169840000007753,0.025747839999986866,0.002935520000008296,0.010443520000009698,0.08330575999998047,0.00029927999999301846,0.00031488000000479133,0.005481200000019726,0.033226400000003764,0.032089679999984355,0.010082000000068092,0.0026862400000027264,0.00030608000000142965,0.00032287999998459327,0.00030479999999499796,0.002719280000022195,0.0002592000000021244,0.041778240000056144,0.0003202400000077432,0.009562639999970202,0.00029687999999339354,0.0002966400000161684,0.00026576000000488875,0.00029247999999881813
Trondheim/audio/02,0.0557277600000603,0.006541599999998482,0.004071760000016411,0.006325040000000115,0.04152800000002088,0.08368984000001234,0.01624640000003552,0.00028191999999194195,0.00578624000000616,0.00030384000000793776,0.07380175999998073,0.00024567999999192125,0.0003082399999811969,0.005632240000011279,0.030321840000027578,0.0003019200000125011,0.013073840000046744,0.0029320799999936753,0.0002914400000122441,0.00025527999999042095,0.0003178400000081183,0.003369760000012434,0.0003140000000030341,0.00026855999999497726,0.005825360000017099,0.06386520000000928,0.007560160000011251,0.0002500800000007075,0.002907759999999371,0.0002635999999966998
Trondheim/audio/03,0.019594639999944263,0.013711679999985904,0.0008991200000210142,0.008930879999986985,0.018818079999967097,0.08895512000005112,0.006220240000004651,0.0925793600000091,0.014539200000022845,0.0032029599999887637,0.08164112000000046,0.00033496000025934336,0.0002948800000126539,0.056331200000300896,0.00027928000000088105,0.02923695999999154,0.011263519999999971,0.003390240000001654,0.0003263999999916223,0.00042135999973424987,0.0002761599999843156,0.005297920000003842,0.0002494400000045971,0.00032120000000190885,0.0002684000000101605,0.0002569599999873162,0.03231575999973302,0.0003125599999833639,0.0003742399996866652,0.00027455999999403957
Trondheim/audio/04,0.009762720000011882,0.00031712000000538865,0.01393919999998161,0.003406079999990652,0.035354879999999866,0.08447264000000132,0.006578880000006393,0.009468639999994366,0.01860480000000564,0.002657600000020466,0.0739804799999888,0.0003548800002590724,0.00026479999999651227,0.0058340800003122695,0.027599040000012565,0.0002756799999872328,0.012372159999983978,0.006131999999979598,0.000316160000011223,0.00041719999970268873,0.0002873599999873022,0.0034038400000042657,0.0002728000000047359,0.0002800000000036107,0.06904127999999332,0.0002707200000031662,0.0004079999997372852,0.00027023999999187254,0.005930719999696521,0.0002462399999956233
Trondheim/audio/05,0.0702265599999663,0.011276159999994206,0.003689919999985136,0.00028367999999545646,0.06706720000001098,0.08880704000000605,0.009795999999980154,0.02551664000000642,0.015267359999995733,0.003072959999997238,0.07963135999995075,0.00038328000024989706,0.0006140799999911906,0.004893840000264049,0.03595151999996915,0.02666399999998248,0.012129440000052227,0.003060640000001058,0.00031247999999095555,0.00044887999972331727,0.00026768000000743086,0.0058867199999781405,0.00027520000000436085,0.0002811200000110148,0.0003048000000092088,0.00030863999998587133,0.002879039999726274,0.0002988800000025549,0.0033015199996953015,0.0003097599999932754
Trondheim/audio/06,0.008733120000002259,0.000290559999996276,0.013223360000012008,0.0029894400000074484,0.021215039999958663,0.09554944000001342,0.013545600000014701,0.008919040000023415,0.013211040000015828,0.003518240000005335,0.09644671999998877,0.00028592000001026463,0.0003140800000096533,0.0065284800000142695,0.03819727999999145,0.026599359999977423,0.01120447999994667,0.003190880000005336,0.0002654399999926227,0.00029440000000136024,0.0003140800000096533,0.0028599999999983083,0.00029584000000681954,0.0002596799999992072,0.00026447999999845706,0.00027055999998992775,0.0031768000000056418,0.00028303999999934604,0.00029680000000098516,0.00030176000001347347
Trondheim/audio/07,0.008388480000022014,0.0002920000000017353,0.006811680000026854,0.0031768000000056418,0.01483487999999511,0.08273888000002216,0.009794559999960484,0.07563519999996515,0.005515839999986838,0.002895200000011755,0.09316703999999731,0.007233599999949547,0.0005856000000221684,0.005107199999997647,0.03277647999996702,0.03206144000000677,0.012680479999971794,0.0032630399999789006,0.0002796800000055555,0.00024271999998859428,0.0002948800000126539,0.00031631999999603977,0.0034460800000033487,0.0030711999999937234,0.008451839999992217,0.008595680000013317,0.0026804799999808893,0.0002713599999992766,0.00029935999998542684,0.00029968000001190376
Trondheim/audio/08,0.021507840000055012,0.00030560000000434684,0.011200640000026851,0.003444479999984651,0.021427199999948243,0.07228815999997096,0.04410480000001371,0.005520480000001271,0.005681760000015856,0.0035076800000126696,0.0774086400000158,0.00030495999999402557,0.0006345599999804108,0.00584304000000202,0.029291680000000042,0.003248960000007628,0.012785440000016024,0.0031732799999986128,0.0002800000000036107,0.00024783999998589934,0.0002867199999911918,0.002666399999981195,0.00027584000000047126,0.0003020800000115287,0.0002956799999935811,0.00024064000001544628,0.0034108800000467454,0.00027552000000241605,0.00025343999999449807,0.0002744000000234337
Trondheim/audio/09,0.009208319999970627,0.00026239999999688735,0.0072000000000116415,0.003567360000033659,0.041564159999950334,0.08086063999996895,0.009052159999981768,0.029928319999982023,0.020902400000096577,0.003407359999982873,0.07286655999999425,0.009428959999979725,0.00653184000000806,0.006387359999990849,0.033686399999993455,0.00030176000001347347,0.009885280000020202,0.0031768000000056418,0.00030287999999245585,0.0002555199999960678,0.0002971199999990404,0.0002732799999876079,0.0035519999999849006,0.0029444799999964744,0.007454880000068442,0.06286111999997956,0.0032911999999782893,0.0002902400000266425,0.005779199999949469,0.0002486399999952482
