,C0,C8,C11,C15
Trondheim/audio,0.004453120000000865,0.005566400000002858,0.010306320000001534,0.006391040000007564
Trondheim/audio/01,0.006998960000000665,0.0007987200000059147,0.00980559999999997,0.008180399999989874
Trondheim/audio/02,0.007529119999997391,0.001070079999998086,0.01162063999999674,0.008658479999990476
Trondheim/audio/03,0.008927919999997869,0.0012114399999987313,0.013019439999997218,0.01001287999999434
Trondheim/audio/04,0.005459999999999354,0.0007819199999801185,0.008189999999999031,0.005849999999995248
Trondheim/audio/05,0.006199199999983307,0.0007752000000209591,0.00929879999997496,0.006641999999978054
Trondheim/audio/06,0.005466719999986935,0.0007257599999803688,0.008200079999980403,0.005857199999979912
Trondheim/audio/07,0.005705280000000812,0.0008616000000074564,0.008557920000001218,0.00611279999999681
Trondheim/audio/08,0.005980800000003228,0.0007468799999799103,0.008971200000004842,0.006408000000007519
Trondheim/audio/09,0.00573552000000177,0.0009547199999957456,0.008433359999997947,0.006145200000005957
Trondheim/audio/10,0.0024847199999982195,0.0008769599999993716,0.00785736000001691,0.004988800000027993
Trondheim/video,0.0038393599999970718,0.004799199999997228,0.009236159999993276,0.005601919999993044
Trondheim/video/01,0.006412799999994334,0.0007987199999952566,0.008848959999994577,0.006812159999991962
Trondheim/video/02,0.008022079999994602,0.0010835199999998935,0.011617439999996648,0.008497279999994944
Trondheim/video/03,0.009514559999994177,0.0012335999999990577,0.013109919999996222,0.00996479999999167
Trondheim/video/04,0.005259279999997091,0.000921119999997444,0.008136559999995185,0.005632239999995292
Trondheim/video/05,0.005782560000000103,0.0009187200000013718,0.008673840000000155,0.006195600000005186
Trondheim/video/06,0.005738879999995561,0.000934079999993287,0.008251039999993992,0.006148799999998289
Trondheim/video/07,0.005614560000005042,0.0008683200000092484,0.008421840000007563,0.0060156000000084475
Trondheim/video/08,0.005392800000009856,0.0009244800000089981,0.008628480000012928,0.005855040000014355
Trondheim/video/09,0.005420799999996007,0.0009292800000011425,0.0086732799999929,0.005885439999996578
Trondheim/video/10,0.005042799999994685,0.0008644799999899533,0.008068479999995049,0.0054750399999896615
