,C0,C2,C7,C9,C12
Trondheim/audio,0.004430720000009103,0.007799520000002502,0.006013120000009309,0.002848320000008897,0.0068776000000063675
Trondheim/audio/01,0.003949679999998068,0.006266079999992513,0.00445535999999791,0.0010713599999974122,0.005295519999993559
Trondheim/audio/02,0.005333839999998702,0.0074943999999916855,0.005673599999997947,0.0011951999999979535,0.0065036799999944606
Trondheim/audio/03,0.0065681599999969364,0.008934319999990947,0.007131839999996004,0.001395039999994907,0.010640239999990087
Trondheim/audio/04,0.0040294400000036035,0.0040294400000036035,0.0035257600000164757,0.001007360000016888,0.0035257600000164757
Trondheim/audio/05,0.003934720000003722,0.003934720000003722,0.003442879999994375,0.0009836799999902723,0.003442879999994375
Trondheim/audio/06,0.0039423999999996795,0.0039423999999996795,0.003449599999981956,0.0009855999999786036,0.003449599999981956
Trondheim/audio/07,0.004546560000001421,0.004546560000001421,0.0039782400000234475,0.0011366400000270005,0.0039782400000234475
Trondheim/audio/08,0.003391520000008086,0.00511488000000071,0.004475520000013944,0.0012787200000161647,0.004475520000013944
Trondheim/audio/09,0.004344319999994184,0.004344319999994184,0.00380127999999047,0.001086079999993217,0.00380127999999047
Trondheim/audio/10,0.004421120000003498,0.004421120000003498,0.003868479999994179,0.0011052799999902163,0.003868479999994179
Trondheim/video,0.0035011200000027998,0.005713440000000958,0.004751520000002785,0.002250720000002815,0.005858800000002162
Trondheim/video/01,0.004320400000001001,0.006209199999998916,0.004307999999998202,0.001185919999997509,0.005160079999997791
Trondheim/video/02,0.0057001600000017305,0.007541119999999069,0.005626239999998006,0.0013204799999968486,0.006464639999997246
Trondheim/video/03,0.007202560000001412,0.003549039999999337,0.006906560000000894,0.0014495999999972753,0.010376320000002437
Trondheim/video/04,0.0028582399999983465,0.0048947199999975766,0.004282879999994549,0.0012236799999953973,0.004282879999994549
Trondheim/video/05,0.003296479999995938,0.004510719999995416,0.003946879999993769,0.0011276799999961895,0.003946879999993769
Trondheim/video/06,0.0034091200000005983,0.005032960000004749,0.004403840000001935,0.0012582399999985228,0.004403840000001935
Trondheim/video/07,0.002661119999999073,0.004843519999997881,0.004238080000000366,0.0012108800000021347,0.004238080000000366
Trondheim/video/08,0.003988479999996741,0.003988479999996741,0.0034899199999927077,0.0009971199999938563,0.0034899199999927077
Trondheim/video/09,0.0034478399999997578,0.0049536000000003355,0.0043344000000047345,0.001238400000005413,0.0043344000000047345
Trondheim/video/10,0.0029198399999970093,0.004592640000002035,0.004018560000012883,0.0011481600000138314,0.004018560000012883
