,C0,C2,C18,C22,C27
Trondheim/audio,0.0032409599999994043,0.0018905599999996525,0.009209600000001927,,0.0018905599999996525
Trondheim/audio/01,0.003923359999998155,0.0005480000000019913,0.01012368000000663,,0.0005222399999951222
Trondheim/audio/02,0.005543199999998194,0.0007022400000060713,0.010352480000008768,0.06233312000000524,0.0007904799999955969
Trondheim/audio/03,0.007122959999996681,0.0009704800000065461,0.013005279999994457,,0.001046879999993422
Trondheim/audio/04,0.006818559999977936,0.0004870399999958863,0.006940319999976907,0.03311871999996896,0.0004870399999958863
Trondheim/audio/05,0.007051520000011635,0.000503680000008444,0.007177440000013746,0.034250239999998655,0.000503680000008444
Trondheim/audio/06,0.007392000000002952,0.0005280000000027485,0.007524000000003639,0.03590399999999505,0.0005280000000027485
Trondheim/audio/07,0.007477119999990123,0.0005340799999942192,0.007610639999988678,0.0363174399999906,0.0005340799999942192
Trondheim/audio/08,0.00710528000001176,0.0005075200000135283,0.007232160000015142,0.03451135999998911,0.0005075200000135283
Trondheim/audio/09,0.007530879999990248,0.0005379199999993034,0.0076653599999900734,0.03657855999998105,0.0005379199999993034
Trondheim/audio/10,0.003402080000000751,0.0005862399999898571,0.008353919999997572,0.04051568000001282,0.0005862399999898571
Trondheim/video,0.0032486399999989146,0.0018950399999990708,0.00949175999999774,,0.0018950399999990708
Trondheim/video/01,0.004115119999999806,0.0006953599999981463,0.010278959999997284,0.06121176000000261,0.0005756799999971918
Trondheim/video/02,0.005363040000000652,0.0009636799999981349,0.010119279999997843,0.07335328000000274,0.0007000799999978824
Trondheim/video/03,0.00656632000000279,0.0012272799999983874,0.011306000000004701,0.08527016000000387,0.0008392799999974443
Trondheim/video/04,0.0031416000000028532,0.0005801599999983864,0.00826727999999477,0.037413600000004266,0.0005801599999983864
Trondheim/video/05,0.0035076799999984587,0.0006147200000015118,0.00875976000000378,0.04177327999999392,0.0006147200000015118
Trondheim/video/06,0.007194880000007231,0.0005139200000030542,0.007323360000007995,0.03494656000000873,0.0005139200000030542
Trondheim/video/07,0.0034091200000005983,0.0005734399999965945,0.008171519999986998,0.040599520000000666,0.0005734399999965945
Trondheim/video/08,0.007047039999999782,0.000503359999996178,0.007172879999998827,0.034228480000006556,0.000503359999996178
Trondheim/video/09,0.007365120000002889,0.0005260800000002064,0.007496640000002941,0.03577344000000693,0.0005260800000002064
Trondheim/video/10,0.007051519999990319,0.0005036799999942332,0.007177439999988877,0.034250239999998655,0.0005036799999942332
