,C0,C1,C5,C7,C14,C16,C17,C28
Trondheim/audio,0.007440000000009661,0.007291200000008047,,0.0071424000000064325,0.008183999999999969,0.00669600000000159,0.005654400000008053,0.009671999999998349
Trondheim/audio/01,0.00793368000000072,0.006362559999995909,0.009383359999993957,0.0062040799999962815,0.005541920000005973,0.0053114400000069395,0.004120479999997428,0.008733679999988198
Trondheim/audio/02,0.009465680000001697,0.007889759999997636,0.010915359999994934,0.0077360799999972585,0.006853520000007052,0.006880160000008573,0.005647679999999156,0.010265679999989175
Trondheim/audio/03,0.01088720000000265,0.009300799999998333,0.012336879999995887,0.009157599999998212,0.008189600000005015,0.009408880000002284,0.007058719999999852,0.011687199999990128
Trondheim/audio/04,,0.004460719999990204,0.006751359999988438,0.0043401599999910445,0.005184079999992264,0.0030372000000014054,0.003134559999992348,0.0065102399999901195
Trondheim/audio/05,0.006876000000012539,0.005653600000016468,0.00855680000001513,0.005500800000014294,0.0039214400000133764,0.0037394400000110295,0.003972800000013876,0.008251200000010783
Trondheim/audio/06,,0.004700480000025209,0.00711424000002836,0.004573440000022799,0.0034478399999926523,0.0034807200000130933,0.003303040000020019,0.006860160000023541
Trondheim/audio/07,,0.005094160000020054,0.007710080000023822,0.0049564800000183595,0.003514719999998306,0.00335224000001233,0.003579680000015628,0.007434720000020434
Trondheim/audio/08,,0.00487808000001877,0.007383040000021879,0.00474624000001711,0.0030068000000227357,0.0034675200000151563,0.0034278400000147258,0.00711936000001856
Trondheim/audio/09,0.006771600000007538,0.005567760000012356,0.008426880000008907,0.005417280000010294,0.003455280000011385,0.004017520000012098,0.003912480000010987,0.008125920000004783
Trondheim/audio/10,0.0071747999999942635,0.005899279999987073,0.008928639999993493,0.0057398399999897265,0.004109680000013327,0.003997280000007208,0.004145439999987843,0.0086097599999988
Trondheim/video,0.007951999999995962,0.007792959999996185,,0.007633919999996408,0.008747199999996624,0.007156799999997077,0.00604351999999686,0.010337599999996172
Trondheim/video/01,0.007388719999998017,0.005901119999997206,0.008534479999998013,0.00577063999999794,0.0052531199999972245,0.0049389599999987155,0.003392479999995146,0.008474319999997704
Trondheim/video/02,0.009017359999997865,0.007559199999997546,0.010598559999996482,0.007399279999997788,0.00644543999999847,0.0064504000000003,0.005403839999996052,0.010102959999997552
Trondheim/video/03,0.010287439999999037,0.008799359999999368,0.011868639999997654,0.00866935999999896,0.007933199999998308,0.007962880000000894,0.006643999999997874,0.011373039999998724
Trondheim/video/04,,0.005745359999998811,0.00869568000000065,0.005590079999999276,0.0034493600000029545,0.0038305600000008155,0.004037279999998589,0.008385120000001578
Trondheim/video/05,,0.005162240000011309,0.00781312000001222,0.005022720000010139,0.0034566400000031194,0.0033368800000062038,0.003627520000009099,0.0075340800000098795
Trondheim/video/06,,0.005475999999998038,0.008288000000000295,0.005327999999998667,0.003404080000002807,0.0036290399999998613,0.003847999999997853,0.007992000000001553
Trondheim/video/07,,0.004771520000009133,0.0072217600000072935,0.004642560000007734,0.0028776000000050317,0.0033157600000066623,0.003352960000007954,0.006963840000004495
Trondheim/video/08,,0.0047803999999977975,0.0072351999999966665,0.004651199999997857,0.002678719999998691,0.003074639999997686,0.0033591999999984523,0.006976799999996786
Trondheim/video/09,,0.005597360000006546,0.008471680000006643,0.005446080000005793,0.003377280000005811,0.003973120000001273,0.003933280000005368,0.008169120000005137
Trondheim/video/10,,0.005845999999994689,0.008847999999996858,0.0056879999999956965,0.0036797600000042507,0.0039528799999999364,0.0041079999999951156,0.008531999999998874
