,C0,C1,C5,C6,C10,C11,C18,C23,C26,C29
Trondheim/audio,0.006959999999992306,0.010749919999994972,0.041694399999997245,0.005150399999994448,0.059086399999994654,0.008615679999994796,0.008337279999995673,0.006959999999992306,0.006959999999992306,0.008464639999996137
Trondheim/audio/01,0.007177760000001143,0.00855504000000451,0.049268160000004,0.0030566400000040517,,0.007536160000004344,0.007281440000003414,0.007177760000001143,0.005587680000001427,0.007408800000003879
Trondheim/audio/02,0.008443440000000635,0.009820720000004002,0.06193144000000572,0.004322320000003543,,0.008800400000005482,0.008547120000002906,0.008443440000000635,0.006851920000002565,0.00867448000000337
Trondheim/audio/03,0.010039840000001021,0.011484480000003572,0.09023344000000577,0.0062700800000037304,,0.010456800000003597,0.00991808000000205,0.010039840000001021,0.00850832000000068,0.009761440000001897
Trondheim/audio/04,0.006416959999995697,0.008167039999996462,0.03135560000000481,0.0035001600000015287,,0.006854480000001217,0.006708639999999377,0.006416959999995697,0.005396080000004133,0.006708639999999377
Trondheim/audio/05,,0.006863359999996987,,0.002941440000000739,,0.005760320000000263,0.005637759999999048,,0.0045347200000023236,0.005637759999999048
Trondheim/audio/06,,0.007056000000019935,,0.003024000000010574,,0.005922000000019523,0.005796000000017898,,0.0046620000000174855,0.005796000000017898
Trondheim/audio/07,,0.0075801600000175995,,0.0032486400000095728,,0.006361920000017562,0.006226560000015979,,0.005008320000015942,0.006226560000015979
Trondheim/audio/08,0.006117759999995087,0.007786239999994393,0.02989359999999408,0.003336959999998612,,0.00653487999999669,0.006395839999996156,0.006117759999995087,0.0051444799999984525,0.006395839999996156
Trondheim/audio/09,,0.007235200000017983,,0.0031008000000127822,,0.006072400000022071,0.005943200000018578,,0.0047804000000226665,0.005943200000018578
Trondheim/audio/10,,0.007262079999996729,,0.003112319999999613,,0.00609495999999865,0.005965279999998074,,0.004798159999999996,0.005965279999998074
Trondheim/video,0.006776000000009219,0.009820800000010621,0.039647040000001965,0.005014240000006609,0.061771840000005795,0.008735360000011738,0.008487840000009683,0.006776000000009219,0.006776000000009219,0.008638560000010287
Trondheim/video/01,0.007647360000003545,0.009335680000004842,0.049719999999995323,0.0036172800000038308,,0.008129920000005342,0.007828480000004134,0.007647360000003545,0.006212160000004019,0.007979200000004738
Trondheim/video/02,0.009026080000003489,0.010714400000004787,0.06361231999999539,0.004996000000003775,,0.009485280000005147,0.009207200000004079,0.009026080000003489,0.0075675200000038245,0.009357920000004682
Trondheim/video/03,0.010499200000001707,0.012187520000003005,0.1076758399999953,0.006469120000001993,,0.010973440000000778,0.010374719999999726,0.010499200000001707,0.009055679999999455,0.010228160000000486
Trondheim/video/04,0.006279679999998677,0.007992319999997832,0.030684799999997736,0.0034252799999983097,,0.006707839999997134,0.006565119999997648,0.006279679999998677,0.00528063999999695,0.006565119999997648
Trondheim/video/05,,0.007571199999997447,,0.003244799999997383,,0.0063543999999957634,0.006219199999996761,,0.0050023999999950775,0.006219199999996761
Trondheim/video/06,0.006286719999991419,0.008001279999987787,0.030719199999992952,0.0034291199999927358,,0.006715359999986958,0.006572479999988445,0.006286719999991419,0.005286559999987617,0.006572479999988445
Trondheim/video/07,0.006001599999990503,0.0076383999999869445,0.029325999999990415,0.003273599999992882,,0.006410799999986949,0.006274399999988134,0.006001599999990503,0.0050467999999881386,0.006274399999988134
Trondheim/video/08,0.006181119999993712,0.007866879999991028,0.03020319999999188,0.003371519999994632,,0.006602559999990376,0.006462079999991488,0.006181119999993712,0.005197759999990836,0.006462079999991488
Trondheim/video/09,0.006339519999997378,0.008068479999995049,0.03097719999999171,0.0034579199999953403,,0.006771759999992355,0.0066276799999940295,0.006339519999997378,0.005330959999991336,0.0066276799999940295
Trondheim/video/10,,0.006854399999994598,,0.002937599999995655,,0.005752799999992675,0.00563039999999404,,0.004528799999992117,0.00563039999999404
