,C0,C5,C6,C12,C16,C19,C27
Trondheim/audio,0.0035289600000041332,0.006960160000001991,0.006960160000001991,0.004852320000001242,0.006960160000001991,0.0036760000000057858,0.004852320000001242
Trondheim/audio/01,0.003020159999998384,0.007681199999996835,0.007681199999996835,0.006471040000000983,0.007681199999996835,0.0031459999999974286,0.006471040000000983
Trondheim/audio/02,0.004830559999994932,0.00920359999999576,0.00920359999999576,0.004541360000001049,0.00920359999999576,0.004956399999993977,0.004541360000001049
Trondheim/audio/03,0.006485360000002771,0.01028304000000091,0.01028304000000091,0.005810080000003381,0.01028304000000091,0.006611200000001816,0.005810080000003381
Trondheim/audio/04,0.003421439999996778,0.006272639999991725,0.006415199999992183,0.0031716800000083367,0.006415199999992183,0.003563999999997236,0.0031716800000083367
Trondheim/audio/05,0.003240960000013615,0.005941760000013119,0.006076800000016647,0.0031505600000159006,0.006076800000016647,0.003376000000017143,0.0031505600000159006
Trondheim/audio/06,0.0033500000000117325,0.006164000000012493,0.006164000000012493,0.0030720800000096915,0.006164000000012493,0.0032160000000089894,0.0030720800000096915
Trondheim/audio/07,0.0034425600000105305,0.0063113600000122005,0.006454800000014416,0.0032904800000110868,0.006454800000014416,0.0035860000000127457,0.0032904800000110868
Trondheim/audio/08,0.003310080000005655,0.006068480000010368,0.0062064000000106034,0.003074880000013991,0.0062064000000106034,0.003448000000005891,0.003074880000013991
Trondheim/audio/09,0.0031039999999933343,0.005711359999992283,0.005711359999992283,0.0028003200000057404,0.005711359999992283,0.002979839999994738,0.0028003200000057404
Trondheim/audio/10,0.0030799999999899796,0.0056671999999906575,0.0056671999999906575,0.002743200000011825,0.0056671999999906575,0.002956799999992654,0.002743200000011825
Trondheim/video,0.0032966400000020712,0.006504960000006221,0.006504960000006221,0.004532880000002848,0.006504960000006221,0.0034340000000021575,0.004532880000002848
Trondheim/video/01,0.0030000000000054428,0.006725280000003053,0.006738400000005029,0.006882959999998661,0.006738400000005029,0.0028800000000046566,0.006882959999998661
Trondheim/video/02,0.004267199999999249,0.007864079999999163,0.00798687999999892,0.004282079999999411,0.00798687999999892,0.004144399999999493,0.004282079999999411
Trondheim/video/03,0.005564320000001288,0.00915256000000042,0.009278240000000437,0.005546799999999408,0.009278240000000437,0.005438640000001271,0.005546799999999408
Trondheim/video/04,0.0033830399999992267,0.006202240000000359,0.006343199999999882,0.0033335999999994925,0.006343199999999882,0.0035239999999987504,0.0033335999999994925
Trondheim/video/05,0.0033446399999945697,0.0061318399999947815,0.006271199999993371,0.003298000000004464,0.006271199999993371,0.0032851200000010294,0.003298000000004464
Trondheim/video/06,0.003087360000002093,0.005660160000005021,0.005788800000004812,0.0031979200000051833,0.005788800000004812,0.003216000000001884,0.0031979200000051833
Trondheim/video/07,0.0037631999999945265,0.006899199999992334,0.0070559999999915135,0.003513039999997858,0.0070559999999915135,0.0037420800000020904,0.003513039999997858
Trondheim/video/08,0.0034900000000028797,0.006421600000003025,0.006421600000003025,0.003184399999998533,0.006421600000003025,0.003350400000002196,0.003184399999998533
Trondheim/video/09,0.0033959999999950696,0.006248639999995476,0.006248639999995476,0.0030878399999991757,0.006248639999995476,0.0032601599999964037,0.0030878399999991757
Trondheim/video/10,0.0032064000000033843,0.005878400000000283,0.006012000000001905,0.003132079999996762,0.006012000000001905,0.0033400000000050056,0.003132079999996762
