,C0,C1,C3,C8,C9,C13,C21,C25,C29
Trondheim/audio,0.013277439999995977,0.009807199999997351,0.011768639999996111,0.010410719999995877,,,0.013277439999995977,0.011466879999996848,0.009958079999996983
Trondheim/audio/01,0.04102376000000163,0.0036624000000102797,0.03971575999999999,0.007169600000008103,0.009942160000008471,0.009942160000008471,0.04102376000000163,0.007569200000006049,0.005908000000008684
Trondheim/audio/02,0.08395888000000085,0.00538840000000107,0.08248367999999928,0.008845440000005311,0.01179584000000844,0.01179584000000844,0.08395888000000085,0.009061120000005474,0.007399920000008109
Trondheim/audio/03,0.09651351999999846,0.006627520000002107,0.09521991999999813,0.010102720000006116,0.013071280000009011,0.013071280000009011,0.09651351999999846,0.010336560000006045,0.00867536000000868
Trondheim/audio/04,,0.003999840000020072,0.03476784000001487,0.0073843200000283105,0.010307280000027674,0.010307280000027674,,0.005845920000027149,0.004461360000028947
Trondheim/audio/05,,0.0033051200000073777,0.02872912000000838,0.0061017600000070615,0.008517040000000975,0.008517040000000975,,0.005847520000003215,0.004576320000005296
Trondheim/audio/06,,0.00350479999998754,0.030464799999990078,0.006470399999983556,0.009031599999985929,0.009031599999985929,,0.007953199999981564,0.004852799999987667
Trondheim/audio/07,,0.0037107200000008334,0.032254719999997405,0.006850560000003725,0.00956224000000816,0.00956224000000816,,0.0054233600000017645,0.00413887999999929
Trondheim/audio/08,,0.003598399999987123,0.031278399999990825,0.006643199999984972,0.009272799999990866,0.009272799999990866,,0.005259199999983366,0.004013599999979078
Trondheim/audio/09,,0.0035318399999937355,0.030699839999996925,0.006520319999992807,0.009101279999995882,0.009101279999995882,,0.005161919999991937,0.003939359999989733
Trondheim/audio/10,,0.003363360000008697,0.029235360000015476,0.006209280000007311,0.008667119999998363,0.008667119999998363,,0.00595056000000227,0.004656960000005483
Trondheim/video,0.01087680000000546,0.008034000000003871,0.009640800000005001,0.008528400000004766,,,0.01087680000000546,0.009393600000004554,0.008157600000004095
Trondheim/video/01,0.05112151999999881,0.003861760000003045,0.04974231999999823,0.006863040000002485,0.009825920000002597,0.009825920000002597,0.05112151999999881,0.007377280000001818,0.005998080000001238
Trondheim/video/02,0.0629097599999966,0.0050256800000010315,0.06169615999999678,0.008043520000001081,0.011022960000001802,0.011022960000001802,0.0629097599999966,0.008574320000001023,0.007195120000000443
Trondheim/video/03,0.07820143999999551,0.006692559999995851,0.0767270399999962,0.009665279999998333,0.0127138399999982,0.0127138399999982,0.07820143999999551,0.01016999999999868,0.00869559999999936
Trondheim/video/04,0.03481472000000174,0.0038355200000026457,0.033339520000001954,0.007080960000003245,0.009883840000002309,0.009883840000002309,0.03481472000000174,0.005605760000003457,0.004278080000004181
Trondheim/video/05,0.03487136000001101,0.003841760000007355,0.03339376000000982,0.007092480000011392,0.00989992000001294,0.00989992000001294,0.03487136000001101,0.005614880000010203,0.004285040000009843
Trondheim/video/06,0.03011359999999641,0.0033175999999954797,0.02883759999999569,0.006124799999994934,0.00854919999999737,0.00854919999999737,0.03011359999999641,0.005869599999996922,0.004593599999996201
Trondheim/video/07,0.033058880000005786,0.003642080000005876,0.031658080000006805,0.006723840000006476,0.009385360000003118,0.009385360000003118,0.033058880000005786,0.005323040000007495,0.004062320000009834
Trondheim/video/08,,0.0033820800000086138,0.0293980800000071,0.006243840000010437,0.008715360000007166,0.008715360000007166,,0.005983680000007041,0.0046828800000078274
Trondheim/video/09,0.03211488000000884,0.00353808000000555,0.030754080000008344,0.00653184000000806,0.00911736000000829,0.00911736000000829,0.03211488000000884,0.005171040000007565,0.00394632000000783
Trondheim/video/10,,0.0036899200000064525,0.03207392000000908,0.006812160000009726,0.009508640000010615,0.009508640000010615,,0.005392960000008884,0.004115680000008837
