,C0,C1,C3,C14,C19,C27,C29
Trondheim/audio,0.0033695999999991955,0.0061776000000008935,0.006318000000000268,0.003650399999997944,0.0061776000000008935,0.008377999999996888,0.009781999999997737
Trondheim/audio/01,0.0033254399999975703,0.004663599999997103,0.007357759999990776,0.0005123199999985673,0.005122879999994723,0.009292159999997551,0.0106961599999984
Trondheim/audio/02,0.005064319999995348,0.009041599999996208,0.007219199999990877,0.0006383999999997059,0.006530479999995009,0.010846719999996424,0.012476319999997543
Trondheim/audio/03,0.006329839999995812,0.007402319999997076,0.008136399999997934,0.0008237600000065015,0.007928799999994851,0.008702960000000814,0.010870879999998806
Trondheim/audio/04,0.0035001600000015287,0.003512960000009002,0.005734480000008091,0.0005334399999981088,0.003271839999996473,0.007201440000009995,
Trondheim/audio/05,0.003630719999989651,0.0038703199999901017,0.006807599999987701,0.0006297600000095827,0.003540319999984831,0.008471679999985327,0.009833199999988551
Trondheim/audio/06,0.0031852800000109482,0.005839680000008229,0.005972400000011646,0.0006156800000098883,0.0035200000000088494,0.0074323200000137035,0.008626800000008927
Trondheim/audio/07,0.0032198400000140737,0.0029867199999955574,0.005328560000002369,0.0004956800000002204,0.005204640000002314,0.006691680000002975,
Trondheim/audio/08,0.00316800000000228,0.005808000000001812,0.005940000000002499,0.00053535999998644,0.005808000000001812,0.007392000000002952,0.00858000000000203
Trondheim/audio/09,0.003457919999988235,0.0034822399999825393,0.006483599999981493,0.0006089599999938855,0.0063395199999831675,0.008068479999977285,0.009365199999976426
Trondheim/audio/10,0.0031027200000153243,0.005688320000018621,0.005817600000021628,0.0005289599999969141,0.0034478399999926523,0.007239680000026283,0.008403200000024924
Trondheim/video,0.003260160000003509,0.005976960000005249,0.0061128000000056915,0.0035318400000043937,0.005976960000005249,0.008118400000002524,0.009580640000002916
Trondheim/video/01,0.0032294399999983625,0.004776559999996266,0.006966880000000231,0.0004896000000016443,0.0047835999999978895,0.00891135999999726,0.01026975999999813
Trondheim/video/02,0.004759039999999715,0.006215919999997155,0.006754880000000796,0.0007396800000005754,0.006260799999997957,0.010645759999999171,0.011770559999996877
Trondheim/video/03,0.006082559999999404,0.0074575999999968445,0.007948479999999591,0.0009112800000021792,0.0076127999999968665,0.008229599999998172,0.010186879999993792
Trondheim/video/04,0.0031564800000012383,0.002827760000000623,0.005431760000000452,0.0005052799999987201,0.00279167999999963,0.006821280000000485,0.007958160000001158
Trondheim/video/05,0.0032044799999937368,0.0030190399999945328,0.006008399999991809,0.0006387199999977611,0.005874879999993254,0.007477119999990123,0.008678799999991327
Trondheim/video/06,0.0035846400000068,0.002804159999993061,0.005601599999994988,0.0004979200000008177,0.005477119999994784,0.007097199999996917,0.008341999999995409
Trondheim/video/07,0.0033888000000033003,0.005347599999996788,0.005347599999996788,0.0004825599999946917,0.005066880000001106,0.006674639999996401,
Trondheim/video/08,0.0033868799999936527,0.003523279999992468,0.006350399999991652,0.0006339199999985112,0.0033947999999917045,0.007902719999989927,0.0091727999999911
Trondheim/video/09,0.0034924799999984657,0.0031750400000021273,0.005630159999995499,0.0005174399999958723,0.003036399999999162,0.007053119999994806,
Trondheim/video/10,0.0030681600000050935,0.005624960000005785,0.005752800000006886,0.0005561600000021372,0.002865040000003205,0.007159040000008332,0.008309600000007578
