,C0,C13,C28,C29
Trondheim/audio,0.0038863999999847465,0.006338159999980775,0.0027759999999830143,0.006476959999979215
Trondheim/audio/01,0.004371840000001015,0.0050500000000077705,0.0017577600000180382,0.005196480000009274
Trondheim/audio/02,0.005542479999999017,0.006358800000000997,0.001892240000017864,0.006493280000000823
Trondheim/audio/03,0.006807119999997724,0.010247839999994568,0.0020204000000170197,0.010375999999993724
Trondheim/audio/04,0.0032436799999970845,0.004554159999976548,0.0017274399999749335,0.004711199999974269
Trondheim/audio/05,0.0031468799999885277,0.004435840000006408,0.0016825600000132113,0.004588800000007609
Trondheim/audio/06,0.0032753599999892913,0.004391760000025613,0.0016658400000366669,0.004543200000028946
Trondheim/audio/07,0.0030447999999978492,0.003992720000020711,0.0015144800000186365,0.004130400000022405
Trondheim/audio/08,0.003160960000002433,0.004217759999974646,0.0015998399999688218,0.004363199999971812
Trondheim/audio/09,0.003287679999999682,0.004581999999984987,0.001737999999988915,0.004739999999983979
Trondheim/audio/10,0.003310560000002738,0.004062320000009834,0.0015408800000145106,0.004202400000011153
Trondheim/video,0.0036960000000050286,0.00593120000000269,0.002640000000006637,0.006063200000003377
Trondheim/video/01,0.002841520000000486,0.004599759999996067,0.0014423200000077685,0.004730879999996773
Trondheim/video/02,0.005620399999999748,0.006113759999994528,0.0018917600000012413,0.006260479999994573
Trondheim/video/03,0.007338239999999274,0.010502479999995984,0.0020379200000011366,0.01064863999999588
Trondheim/video/04,0.0029673599999995304,0.004438160000006519,0.001683440000007863,0.004591200000007234
Trondheim/video/05,0.0028107200000064836,0.0038535199999891745,0.0014616799999878083,0.003986399999988066
Trondheim/video/06,0.003414399999996931,0.004491519999998417,0.0017036800000020946,0.004646399999998607
Trondheim/video/07,0.0030571200000011345,0.003851199999996169,0.0014607999999931565,0.003983999999995547
Trondheim/video/08,0.0032788800000034257,0.004092479999986409,0.0015523199999840642,0.0042335999999849605
Trondheim/video/09,0.0033439999999984593,0.004565759999987762,0.0017318399999872724,0.004723199999986605
Trondheim/video/10,0.0028195199999956344,0.004073919999989073,0.0015452799999877698,0.004214399999987961
