,C0,C1,C2,C5,C8,C12,C18,C19,C20,C21,C22,C23,C29
Trondheim/audio,0.0008942400000009343,,,0.008807680000007423,0.010596160000009291,0.004024080000004204,0.0044712000000046714,0.0007452000000007786,0.006366800000005668,0.005067360000005294,0.0046471200000048896,,0.006217760000005512
Trondheim/audio/01,0.006664640000007438,,,0.009254560000009349,0.011043040000011217,0.006908480000010542,0.00678656000000899,0.0004876800000062076,0.006813680000007594,0.00551424000000722,0.005094000000006815,,0.008035120000009499
Trondheim/audio/02,0.008248640000005025,,,0.01109184000000596,0.012484880000009468,0.008390800000004361,0.008248640000005025,0.0006905599999988965,0.008255520000005845,0.006956080000005471,0.0065358400000050665,,0.009670240000005492
Trondheim/audio/03,0.00964144000000644,,,0.012487040000007,0.013880080000010508,0.009781200000006152,0.00964144000000644,0.0008303199999986077,0.012287600000007615,0.006838880000003655,0.010750240000007238,,0.011063040000006907
Trondheim/audio/04,0.004599359999993169,,,0.007154559999996479,0.008176640000002067,0.004727119999991203,0.004599359999993169,0.0005110399999921356,0.004599359999993169,0.004216079999999067,0.00319399999999348,,0.005876959999994824
Trondheim/audio/05,0.004469759999992107,,,0.0069529599999924585,0.007946239999995441,0.004593919999990703,0.004469759999992107,0.000496639999994386,0.004469759999992107,0.004097279999996317,0.0031039999999933343,,0.005711359999992283
Trondheim/audio/06,0.0044553600000156734,,,0.0069305600000220124,0.007920640000023127,0.004579120000016701,0.0044553600000156734,0.00049504000000411,0.0044553600000156734,0.004084080000012591,0.0030940000000114765,,0.005692960000018843
Trondheim/audio/07,0.0007528000000078805,,,0.008431360000017207,0.007828480000000582,0.006775200000014081,0.005420160000014107,0.0006022400000063044,0.005420160000014107,0.004968480000009379,0.003764000000010981,,0.006925760000015657
Trondheim/audio/08,0.0007895999999973924,,,0.008843520000006322,0.00885759999999891,0.007106400000004953,0.0056851200000025415,0.0006316799999979139,0.0056851200000025415,0.005211360000004106,0.003948000000001173,,0.007264320000004432
Trondheim/audio/09,0.0007640000000108671,,,0.00855680000001513,0.009779200000011201,0.006876000000012539,0.005500800000014294,0.0006112000000086937,0.005500800000014294,0.005042400000007774,0.003820000000011703,,0.007028800000014712
Trondheim/audio/10,0.004944959999981791,,,0.007692159999983517,0.008791039999991312,0.005082319999978324,0.004944959999981791,0.0005494399999861344,0.004944959999981791,0.00453287999999219,0.003433999999984394,,0.006318559999982654
Trondheim/video,0.0009590400000014654,,,0.009361920000003465,0.011120160000004375,0.0043156800000030415,0.004795200000003774,0.0007992000000012212,0.00820640000000239,0.005434560000002975,0.005057120000001802,,0.006542560000003306
Trondheim/video/01,0.008744479999998944,0.0610852799999968,0.0880983999999998,0.01150607999999842,0.013060800000001649,0.008882559999998207,0.008744479999998944,0.000552319999997053,0.008766239999999925,0.00599440000000051,0.005616959999999338,0.011680000000001911,0.010125279999998682
Trondheim/video/02,0.0008564800000030459,,,0.01306608000000331,,0.011485600000002094,0.01019248000000239,0.0007128000000022894,0.010208640000001878,0.006622319999999959,0.007059360000001291,,0.01162928000000285
Trondheim/video/03,0.000995760000003898,,,0.014454480000003045,,0.012874000000001828,0.01157648000000222,0.0008520800000031414,0.012809440000001615,0.009607360000002174,0.011277360000001124,,0.01301328000000268
Trondheim/video/04,0.004789439999999701,,,0.0074502400000007185,0.008514560000001836,0.004922479999999396,0.004789439999999701,0.0005321599999987825,0.004789439999999701,0.004390320000000614,0.003325999999999496,,0.0061198400000002096
Trondheim/video/05,0.005025600000003294,,,0.007817600000002756,0.00893440000000112,0.005165200000003978,0.005025600000003294,0.0005584000000027345,0.005025600000003294,0.004606800000001243,0.0034900000000028797,,0.006421600000003025
Trondheim/video/06,0.0007583999999916102,,,0.008494079999994852,0.00801280000000304,0.006825599999995546,0.005460479999992884,0.0006067199999932882,0.005460479999992884,0.005005439999997918,0.0037919999999935783,,0.006977279999993868
Trondheim/video/07,0.004823999999992168,,,0.007503999999990185,0.008575999999990813,0.004957999999991358,0.004823999999992168,0.0005359999999967613,0.004823999999992168,0.004421999999994597,0.003349999999993969,,0.0061639999999911765
Trondheim/video/08,0.004786559999985229,,,0.00744575999998176,0.008509439999983215,0.004919519999983635,0.004786559999985229,0.0005318399999936219,0.004786559999985229,0.004387679999990013,0.0033239999999885583,,0.006116159999983495
Trondheim/video/09,0.0007959999999940237,,,0.008915199999986356,0.010188799999987452,0.007163999999988846,0.005731199999988945,0.000636799999995219,0.005731199999988945,0.005253599999992531,0.003979999999991435,,0.007323199999987651
Trondheim/video/10,0.0045907199999923876,,,0.007141119999989343,0.008161279999988835,0.00471823999999188,0.0045907199999923876,0.0005100799999979699,0.0045907199999923876,0.00420815999999391,0.0031879999999944175,,0.005865919999990865
