,C0,C1,C6,C13,C16,C17,C26,C29
Trondheim/audio,0.010472000000000037,,,0.0055352000000006285,0.04901679999999686,0.009643999999997988,0.009494399999997682,0.006881599999999821
Trondheim/audio/01,,,,0.0005663999999967473,0.05763359999999551,0.00681439999999256,0.006672799999993373,0.0005311999999975114
Trondheim/audio/02,,,,0.000698559999996462,0.07084015999999593,0.00953903999999639,0.009406879999996676,0.0007539200000046264
Trondheim/audio/03,,,,0.0008500799999922037,0.08526007999999408,0.011027519999991853,0.010883439999993527,0.0009046400000052301
Trondheim/audio/04,,0.007264400000011051,0.007264400000011051,0.0005283200000008037,0.028397200000000566,0.005019040000007635,0.004886960000007434,0.0005276800000046933
Trondheim/audio/05,,0.007704400000001499,0.007704400000001499,0.0005603200000052766,0.0301171999999994,0.005323040000007495,0.005182960000006176,0.0005084800000076939
Trondheim/audio/06,,0.007915599999996914,0.007915599999996914,0.0005756799999971918,0.03094279999999827,0.005468959999994638,0.00532503999999534,0.0005376000000012482
Trondheim/audio/07,,0.007937599999969791,0.007937599999969791,0.0005772799999874678,0.031028799999980095,0.005484159999966209,0.0053398399999693424,0.0004982400000130838
Trondheim/audio/08,,0.006811199999994244,0.006811199999994244,0.0004953600000021652,0.026625599999995586,0.004705919999999253,0.004582079999998712,0.0005264000000124724
Trondheim/audio/09,,0.008513999999983923,0.008513999999983923,0.0006191999999884956,0.033281999999978495,0.0058823999999759735,0.00572759999997885,0.0005772799999874678
Trondheim/audio/10,,0.008566799999982777,0.008566799999982777,0.0006230399999935798,0.03348839999999598,0.005918879999981641,0.005763119999983246,0.0005807999999944968
Trondheim/video,0.009570400000008306,,,0.005058640000004999,0.04475176000000225,0.00880920000000529,0.008672480000004867,0.006289120000005255
Trondheim/video/01,,,,0.0005158399999984908,0.052581359999996025,0.006386719999996515,0.0062577599999968925,0.000590400000000102
Trondheim/video/02,,,,0.0006799999999973494,0.06636615999999584,0.009264319999996218,0.009126559999996786,0.0007338400000005407
Trondheim/video/03,,,,0.0008526399999979617,0.1094468799999948,0.01076399999999822,0.010617519999998493,0.0008604800000000523
Trondheim/video/04,,0.008698799999997675,0.008698799999997675,0.000632639999999185,0.03400439999999705,0.006010079999997586,0.00585191999999779,0.0005232000000034986
Trondheim/video/05,,0.007119199999987558,0.007119199999987558,0.0005177599999939275,0.02782959999999335,0.004918719999984944,0.004789279999986462,0.000587839999994344
Trondheim/video/06,,0.007092800000005894,0.007092800000005894,0.0005158400000055963,0.027726400000009477,0.004900480000010532,0.004771520000009133,0.0005984000000012202
Trondheim/video/07,,0.008773600000004933,0.008773600000004933,0.0006380800000016507,0.034296799999999905,0.006061760000005023,0.0059022400000046105,0.0005260800000002064
Trondheim/video/08,,0.007717599999992331,0.007717599999992331,0.0005612799999994422,0.03016879999999844,0.005332159999994701,0.005191839999994841,0.0006140800000054014
Trondheim/video/09,,0.00825439999999844,0.00825439999999844,0.0006003200000037623,0.032267200000006824,0.005703040000003767,0.005552960000002827,0.000624959999996122
Trondheim/video/10,,0.008113600000001497,0.008113600000001497,0.0005900799999949413,0.0317167999999981,0.005605759999994575,0.00545823999999584,0.0005190400000003592
