,C0,C2,C15,C18,C22,C27
Trondheim/audio,0.007332000000008776,0.005772000000007438,0.007176000000008287,0.007488000000009265,0.008580000000009136,0.04835600000000184
Trondheim/audio/01,0.006180880000002276,0.004084560000006121,0.0054663200000000245,0.006327440000003293,0.00755696000000583,0.057707279999995365
Trondheim/audio/02,0.007789600000002395,0.0058153600000068195,0.006770480000000134,0.007953600000004002,0.004597680000003379,0.0737159999999939
Trondheim/audio/03,0.009294560000000729,0.007303040000003591,0.008350319999998135,0.009441280000000773,0.006009360000003738,0.11997935999998788
Trondheim/audio/04,0.005816399999986288,0.004244399999983273,0.003824639999990609,0.005973599999983037,0.007073999999995806,0.03348359999999673
Trondheim/audio/05,,0.0033069600000175114,0.0030659199999973907,0.004654240000022014,0.005511600000019712,0.02608824000000709
Trondheim/audio/06,,0.003535919999997361,0.003126079999994147,0.004976479999996286,0.005893199999995602,0.027894479999993393
Trondheim/audio/07,,0.004110479999987149,0.003530159999989735,0.005785119999984545,0.006850799999988055,0.03242712000000125
Trondheim/audio/08,0.005774959999975238,0.004214159999975209,0.0038569599999860316,0.005931039999971688,0.007023599999982366,0.033245039999989956
Trondheim/audio/09,,0.003784320000008279,0.003575280000006842,0.005326080000010336,0.006307200000009061,0.029854079999999783
Trondheim/audio/10,,0.0036417599999865047,0.003089519999996071,0.00512543999998627,0.006069599999996456,0.02872943999999933
Trondheim/video,0.007283120000000309,0.005733519999999714,0.007128160000000605,0.007438080000000014,0.008522800000001496,0.04697448000000115
Trondheim/video/01,0.005591920000002304,0.0037713600000017777,0.0048288000000002995,0.0057163200000029946,0.008244400000004148,0.05519368000000213
Trondheim/video/02,0.00684264000000212,0.004995519999999587,0.006103520000001694,0.006940480000000804,0.009495120000003965,0.06782040000000045
Trondheim/video/03,0.00827032000000294,0.006472159999999505,0.007545760000001067,0.008397920000001946,0.007884960000000163,0.08196328000000008
Trondheim/video/04,,0.003983040000003157,0.003579679999999641,0.005605760000003457,0.00663840000000171,0.03142176000000063
Trondheim/video/05,,0.003654720000014322,0.0032058400000067877,0.005143680000017525,0.006091200000014396,0.028831680000003246
Trondheim/video/06,,0.004075919999991129,0.003534719999993996,0.0057364799999888305,0.006793199999989952,0.032154479999995544
Trondheim/video/07,0.005674319999986466,0.004140719999988107,0.0035203999999922075,0.005827679999985236,0.006901199999987284,0.032665679999997366
Trondheim/video/08,,0.00376055999999636,0.003292479999998932,0.005292639999996851,0.006267600000001039,0.029666639999998523
Trondheim/video/09,,0.0034581599999974344,0.003396799999997313,0.004867039999997047,0.0057635999999980925,0.027281039999998313
Trondheim/video/10,,0.0037475999999863063,0.003138879999994515,0.005274399999983359,0.006245999999986651,0.029564399999994606
