,C0,C6,C10,C13,C28
Trondheim/audio,0.009804959999989649,0.009804959999989649,0.005199599999993865,0.009804959999989649,0.008170799999991374
Trondheim/audio/01,0.015210239999994712,0.015210239999994712,0.0006383999999997059,0.010581839999996845,0.008826239999997654
Trondheim/audio/02,0.016457759999994437,0.016457759999994437,0.0007663200000003201,0.01182935999999657,0.010073759999997378
Trondheim/audio/03,0.01771847999999565,0.01771847999999565,0.0008925600000004863,0.013090079999997783,0.011334479999998592
Trondheim/audio/04,0.013491200000032677,0.013491200000032677,0.0006348800000068877,0.00857088000002193,0.007142400000020643
Trondheim/audio/05,,,0.0005763199999933022,0.007780319999980634,0.03515551999998934
Trondheim/audio/06,,,0.000513600000004999,0.0069335999999964315,0.0313295999999923
Trondheim/audio/07,,,0.00048512000000755506,0.006549119999995412,0.0295923199999919
Trondheim/audio/08,,,0.0005100799999979699,0.006886080000008121,0.031114880000004064
Trondheim/audio/09,,,0.000530239999989135,0.0071582399999954305,0.03234463999999093
Trondheim/audio/10,,,0.0004905600000029153,0.00662256000000383,0.029924160000007305
Trondheim/video,0.010369920000009358,0.010369920000009358,0.005499200000006255,0.010369920000009358,0.008641600000007799
Trondheim/video/01,0.0156776000000054,0.0156776000000054,0.000628480000003151,0.010879520000004916,0.009151200000003357
Trondheim/video/02,0.017113280000003783,0.017113280000003783,0.0007732800000024298,0.012315200000003301,0.010586880000001742
Trondheim/video/03,0.018034080000003172,0.018034080000003172,0.0009151200000019344,0.013730640000003902,0.012002320000002342
Trondheim/video/04,,,0.0004800000000031446,0.006480000000006925,0.029280000000007078
Trondheim/video/05,,,0.0006092800000061516,0.008225280000011992,0.03716608000001287
Trondheim/video/06,,,0.0005599999999930105,0.00755999999999446,0.03415999999999286
Trondheim/video/07,,,0.0005529599999931634,0.007464959999996523,0.03373055999999508
Trondheim/video/08,,,0.0005625600000058739,0.007594560000008244,0.03431616000001014
Trondheim/video/09,,,0.0005952000000064572,0.008035199999998355,0.03630720000000309
Trondheim/video/10,,,0.0005072000000012622,0.006847199999999276,0.030939199999998834
