,hits
30,6.733333333333333
30,6.166666666666667
30,11.366666666666667
30,5.866666666666666
30,6.733333333333333
30,7.333333333333333
30,6.066666666666666
30,8.366666666666667
30,7.5
30,5.8
30,6.566666666666666
30,6.666666666666667
30,4.833333333333333
30,6.2
30,2.8
30,7.3
30,6.066666666666666
30,11.733333333333333
30,6.6
30,8.066666666666666
30,12.833333333333334
30,7.133333333333334
30,8.466666666666667
30,1.4666666666666666
30,9.066666666666666
30,8.033333333333333
30,9.533333333333333
30,8.333333333333334
30,9.3
30,1.4666666666666666
30,4.4
30,8.133333333333333
30,5.233333333333333
30,12.166666666666666
30,7.2
30,6.333333333333333
30,5.866666666666666
30,8.633333333333333
30,8.066666666666666
30,10.233333333333333
30,5.0
30,10.266666666666667
30,2.933333333333333
30,7.733333333333333
30,6.033333333333333
30,6.5
30,7.133333333333334
30,6.466666666666667
30,7.533333333333333
30,8.633333333333333
30,7.3
30,8.066666666666666
30,2.6666666666666665
30,7.333333333333333
30,9.533333333333333
30,8.666666666666666
30,5.4
30,4.9
30,9.066666666666666
30,8.4
30,11.733333333333333
30,5.866666666666666
30,5.8
30,2.933333333333333
30,6.366666666666666
30,5.866666666666666
30,7.333333333333333
30,8.566666666666666
30,4.766666666666667
30,10.133333333333333
30,6.7
30,8.366666666666667
30,3.533333333333333
30,5.133333333333334
30,4.533333333333333
30,5.866666666666666
30,9.466666666666667
30,8.066666666666666
30,7.333333333333333
30,7.366666666666666
30,6.6
30,6.6
30,6.433333333333334
30,4.533333333333333
30,4.866666666666666
30,5.866666666666666
30,5.9
30,9.233333333333333
30,7.233333333333333
30,6.933333333333334
30,4.333333333333333
30,7.766666666666667
30,6.6
30,6.533333333333333
30,6.633333333333334
30,5.866666666666666
30,9.7
30,8.8
30,9.533333333333333
30,7.766666666666667
30,3.8666666666666667
30,7.333333333333333
30,4.7
30,5.433333333333334
30,5.866666666666666
30,7.166666666666667
30,6.233333333333333
30,4.433333333333334
30,8.066666666666666
30,6.6
30,5.733333333333333
30,7.066666666666666
30,9.0
30,5.866666666666666
30,6.666666666666667
30,7.433333333333334
30,10.066666666666666
30,6.6
30,5.133333333333334
30,4.033333333333333
30,8.2
30,4.533333333333333
30,4.6
30,6.266666666666667
30,6.666666666666667
30,7.333333333333333
30,6.133333333333334
30,5.866666666666666
30,5.133333333333334
30,4.5
30,6.366666666666666
30,7.4
30,4.666666666666667
30,6.2
30,5.133333333333334
30,8.8
30,6.9
30,9.666666666666666
30,3.2
30,3.6666666666666665
30,5.2
30,6.6
30,10.266666666666667
30,8.966666666666667
30,6.6
30,5.1
30,9.066666666666666
30,2.933333333333333
30,7.433333333333334
30,8.066666666666666
30,3.6666666666666665
30,6.6
30,7.333333333333333
30,7.4
30,7.6
30,8.5
30,2.8
30,6.566666666666666
30,5.0
30,8.066666666666666
30,8.666666666666666
30,6.3
30,7.466666666666667
30,8.666666666666666
30,7.366666666666666
30,9.333333333333334
30,9.666666666666666
30,5.3
30,7.833333333333333
30,9.166666666666666
30,6.6
30,7.966666666666667
30,7.433333333333334
30,7.4
30,8.566666666666666
30,5.033333333333333
30,5.466666666666667
30,9.166666666666666
30,6.666666666666667
30,6.0
30,5.233333333333333
30,4.4
30,6.333333333333333
30,6.4
30,3.7
30,7.2
30,5.7
30,9.6
30,7.766666666666667
30,4.533333333333333
30,4.7
30,5.633333333333334
30,6.6
30,7.766666666666667
30,4.833333333333333
30,8.633333333333333
30,6.6
30,8.566666666666666
30,3.6666666666666665
30,5.966666666666667
