,C0,C1,C3,C6,C7,C9,C10,C13,C14,C17,C19,C21,C24,C26,C27,C29
Trondheim/audio,0.03390656000000547,0.02146504000000604,0.05350543999999857,0.024062720000006976,0.019687680000004093,0.022695520000006297,0.024525040000003884,0.02132832000000562,0.020097840000005363,0.02132832000000562,0.022695520000006297,0.02242208000000545,0.02242208000000545,0.019687680000004093,0.021191600000005195,0.02242208000000545
Trondheim/audio/01,,0.004852159999998662,,0.00843263999999877,0.0012121599999943555,0.006922240000001523,0.010596959999997324,0.004498240000000209,0.001087520000002229,0.008973040000000765,0.009015440000002428,0.008742000000001582,0.008742000000001582,0.0015151999999929444,0.004549120000000073,
Trondheim/audio/02,,0.00803712000000445,,0.009987920000000372,0.0014174400000079856,0.008461520000000888,0.0063313599999972325,0.006037519999999574,0.0013904800000048567,0.0046020799999979545,0.004073040000005079,0.00407639999999887,0.00407639999999887,0.0017339200000101584,0.007720640000002277,
Trondheim/audio/03,,0.010736400000002533,,0.011188719999999819,0.001555440000007735,0.009662320000000335,0.009382159999997697,0.007238319999999021,0.0015284800000046062,0.005786959999998231,0.0052594400000067765,0.0057760000000008915,0.0057760000000008915,0.0018719200000099079,0.010460400000003034,
Trondheim/audio/04,,0.004191039999994928,,0.007933039999990399,0.0011974399999985508,0.00643623999999221,0.00778335999999058,0.004939439999994022,0.001047759999998732,0.004789759999994203,0.006286559999992392,0.006286559999992392,0.006286559999992392,0.0014967999999981885,0.00389167999999529,
Trondheim/audio/05,,0.0033600000000149066,,,0.0009600000000205,,0.0062399999999911415,0.003959999999999297,0.0008400000000179375,0.003839999999996735,0.005039999999993938,0.005039999999993938,0.005039999999993938,0.0031200000000097816,0.0031200000000097816,
Trondheim/audio/06,,0.00380127999999047,,,0.001086079999993217,,0.007059519999991437,0.004480079999993336,0.0009503199999940648,0.004344319999994184,0.0057019199999928105,0.0057019199999928105,0.0057019199999928105,0.003161199999993869,0.003529759999992166,
Trondheim/audio/07,,0.0044800000000151385,,0.006249600000003852,0.0012800000000083855,0.00476160000000192,0.008320000000018979,0.0032735999999999876,0.0011200000000073373,0.005120000000012226,0.006720000000015602,0.006720000000015602,0.006720000000015602,0.001600000000010482,0.004160000000013042,
Trondheim/audio/08,,0.0038998399999883304,,,0.0011142399999926056,,0.0072425599999874635,0.004596239999990814,0.0009749599999935299,0.004456959999991739,0.005849759999989601,0.005849759999989601,0.005849759999989601,0.001392799999990757,0.003621279999990179,
Trondheim/audio/09,,0.0036803199999724256,,,0.0010515199999758806,,0.006834879999985333,0.004337519999985773,0.0009200799999788956,0.004206079999988788,0.00552047999998706,0.00552047999998706,0.00552047999998706,0.0013143999999698508,0.0034174399999784555,
Trondheim/audio/10,,0.004291839999993385,,0.0050175999999950704,0.0012262399999940499,0.003449599999996167,0.007970559999996851,0.0030817600000005996,0.0010729599999947936,0.004904959999997516,0.0064377599999971835,0.0064377599999971835,0.0064377599999971835,0.0015327999999925623,0.003985279999994873,
Trondheim/video,0.03698175999999975,0.02341183999999963,0.059058240000000595,0.026269760000001696,0.021473280000000372,0.024753920000000207,0.026198880000000813,0.02326271999999996,0.02192063999999938,0.02330528000000065,0.026058640000000466,0.024455680000000868,0.024455680000000868,0.021473280000000372,0.02311360000000029,0.024455680000000868
Trondheim/video/01,,0.004716720000001118,,0.01295975999999932,0.001121920000002774,0.011442960000000113,0.010544720000003949,0.0071437599999999435,0.001097280000003309,0.004585360000000094,0.007281280000000834,0.008336720000000852,0.008336720000000852,0.004567600000001448,0.004436240000000424,
Trondheim/video/02,,0.007291520000002549,,0.007035359999999713,0.0012521600000034994,0.005518560000000505,0.011837120000004475,0.003964560000001782,0.001367760000004381,0.004061440000000971,0.00857368000000136,0.009629120000001379,0.009629120000001379,0.005840000000002732,0.007031040000001099,
Trondheim/video/03,,0.009789600000001286,,0.008261759999999896,0.0013777600000040024,0.006744960000000688,0.00617560000000239,0.005489120000000014,0.0016236000000056094,0.008262239999998755,0.012337040000000243,0.004616400000001519,0.004616400000001519,0.007082080000001767,0.00953840000000028,
Trondheim/video/04,,0.0035593600000005665,,,0.001016960000001177,,0.006610239999998768,0.004194959999999526,0.0008898400000010298,0.004067839999999379,0.005339039999999073,0.005339039999999073,0.005339039999999073,0.003012640000001454,0.0033051200000002723,
Trondheim/video/05,,0.0041014400000136675,,,0.0011718400000120255,,0.007616960000007111,0.0048338400000069726,0.0010253600000105223,0.004687360000005469,0.00615216000000629,0.00615216000000629,0.00615216000000629,0.0014648000000150319,0.003808480000010661,
Trondheim/video/06,,0.0037161599999961936,,,0.0010617599999989125,,0.006901439999992931,0.004379759999995514,0.0009290399999990484,0.00424703999999565,0.00557423999999429,0.00557423999999429,0.00557423999999429,0.003240159999997161,0.0034507199999964655,
Trondheim/video/07,,0.0033779199999912635,,,0.0009651199999893834,,0.006273280000002046,0.003981119999998839,0.0008444799999907104,0.003860480000000166,0.005066880000001106,0.005066880000001106,0.005066880000001106,0.002904000000000906,0.0031366399999939176,
Trondheim/video/08,,0.0034697600000015427,,,0.0009913600000004408,,0.006443840000002865,0.004089360000001818,0.0008674400000003857,0.003965440000001763,0.005204640000002314,0.005204640000002314,0.005204640000002314,0.0032219200000014325,0.0032219200000014325,
Trondheim/video/09,,0.004285120000005804,,,0.0012243200000057186,,0.007958080000001644,0.005050320000002273,0.0010712800000050038,0.004897280000001558,0.006427680000001601,0.006427680000001601,0.006427680000001601,0.0015304000000071483,0.003979040000004375,
Trondheim/video/10,,0.004417280000005519,,0.008361280000006133,0.001262080000003607,0.006783680000005177,0.008203520000005682,0.005206080000004221,0.0011043200000031561,0.00504832000000377,0.006625920000004726,0.006625920000004726,0.006625920000004726,0.0036319999999996355,0.004101760000004617,
