,C0,C1,C2,C3,C4,C5,C8,C9,C10,C12,C13,C16,C21,C22,C23,C26,C27,C28,C29
Trondheim/audio,0.007236000000020226,0.00549936000001594,0.006512400000012519,0.007091280000018685,0.00767016000002485,0.009406800000014925,0.00549936000001594,0.008538480000019888,0.007091280000018685,0.01105160000001959,0.007091280000018685,0.003907440000013196,0.009406800000014925,0.003907440000013196,0.0069465600000171435,,,0.005354640000014399,0.008538480000019888
Trondheim/audio/01,0.006806880000002735,0.003933279999998263,0.000569279999993455,0.006662160000001194,0.007178160000005818,0.007877679999996445,0.003933279999998263,0.008109360000002397,0.005286079999997639,0.009545680000002221,0.006662160000001194,0.0005126399999966225,0.00792647999999474,0.0005475199999978031,0.006517439999999652,,,0.0005785599999938995,0.008293360000003247
Trondheim/audio/02,0.009200719999991946,0.005372479999991242,0.0006979199999932462,0.009341279999990348,0.009622399999987152,0.009279119999991536,0.005372479999991242,0.010746879999988579,0.007935679999992118,0.010795119999990277,0.009341279999990348,0.0007105599999981393,0.009516879999988959,0.0008212799999967046,0.006614079999994971,0.01103111999999129,0.06546791999999613,0.0007708800000010285,0.010746879999988579
Trondheim/audio/03,0.010391599999994838,0.006543839999995527,0.0008356799999944542,0.01053215999999324,0.010754719999994222,0.010562799999991768,0.006543839999995527,0.010317439999997902,0.009107039999996402,0.012078799999990508,0.01053215999999324,0.0008405599999967706,0.01070775999999185,0.0010968799999950818,0.007897759999995202,0.012314799999991521,0.0775523999999983,0.0009182400000007362,0.010196399999998107
Trondheim/audio/04,,,0.0004969599999924412,,,,,,,,,0.0005663999999967473,,0.0005663999999967473,,,,0.001982399999995721,
Trondheim/audio/05,,0.008865120000017157,0.0005193599999984144,0.011536800000023106,0.011779680000024939,0.007650720000015099,0.008865120000017157,0.012751200000025165,0.010322400000021048,0.008865120000017157,0.011536800000023106,0.0004857600000036655,,0.0004857600000036655,0.007650720000015099,,,0.00031520000000284654,0.012751200000025165
Trondheim/audio/06,,,0.0004975999999885516,,,,,,,,,0.0005347199999903296,,0.0005347199999903296,,,,0.0018715199999874699,
Trondheim/audio/07,,0.008911839999981908,0.0005462400000055823,0.01159759999997334,0.011841759999967394,0.007691039999983218,0.008911839999981908,0.01281839999997203,0.01037679999997465,0.008911839999981908,0.01159759999997334,0.0004883199999881072,,0.0004883199999881072,0.007691039999983218,,,0.0017091199999867968,0.01281839999997203
Trondheim/audio/08,,,0.0004921599999931914,,,,,,,,,0.0006150400000137779,,0.0006150400000137779,,,,0.0006191999999884956,
Trondheim/audio/09,,0.009256400000012377,0.000553919999987329,0.012046000000012214,0.01229960000000574,0.007988400000009221,0.009256400000012377,0.013314000000015369,0.010778000000009058,0.009256400000012377,0.012046000000012214,0.0005071999999870513,,0.0005071999999870513,0.007988400000009221,,,0.0017751999999902068,0.013314000000015369
Trondheim/audio/10,,0.009186319999990644,0.0005427199999985532,0.01195479999999094,0.012206479999996134,0.007927919999993094,0.009186319999990644,0.01321319999998849,0.010696399999993389,0.009186319999990644,0.01195479999999094,0.0005033600000103888,,0.0005033600000103888,0.007927919999993094,,,0.0017617600000079392,0.01321319999998849
Trondheim/video,0.006751999999998759,0.005131519999999057,0.006076799999998883,0.006616959999998784,0.0071571199999986845,0.008777599999998387,0.005131519999999057,0.007967359999998536,0.006616959999998784,0.010989439999997686,0.006616959999998784,0.00364607999999933,0.008777599999998387,0.00364607999999933,0.006481919999998809,,,0.004996479999999082,0.007967359999998536
Trondheim/video/01,0.009520159999999223,0.004023999999999361,0.0005916799999994282,0.01003823999999831,0.009930079999996622,0.00656415999999993,0.004023999999999361,0.010964399999998875,0.008290399999998144,0.008563999999998018,0.01003823999999831,0.0006083199999977751,0.00787247999999785,0.0007036799999990961,0.00559647999999946,,,0.0005251199999989353,0.011486239999998205
Trondheim/video/02,0.011224240000000663,0.0069217600000026636,0.0007316799999994572,0.011581520000000012,0.011682400000003312,0.009691520000000509,0.0069217600000026636,0.011376960000001546,0.009849760000001595,0.011232320000001295,0.011581520000000012,0.0007409599999981253,0.008448960000002614,0.0008363199999994464,0.008490480000000744,,,0.0007104799999968492,0.011224240000000663
Trondheim/video/03,0.00812295999999968,0.005356800000001272,0.0008660799999997693,0.007194559999998518,0.008524480000000167,0.011263120000000626,0.005356800000001272,0.009595199999999693,0.006918399999999991,0.012831919999999997,0.007194559999998518,0.0008737599999975032,0.00920807999999873,0.0009691199999988243,0.007413839999999894,0.013025519999999347,0.05244936000000067,0.0009077599999969266,0.008642559999998412
Trondheim/video/04,,,0.0005433600000017691,,,,,,,,,0.0005830400000021996,,0.0005830400000021996,,,,0.000579520000002276,
Trondheim/video/05,,,0.0006198399999988169,,,,,,,,,0.0005561600000021372,,0.0005561600000021372,,,,0.0005238399999996091,
Trondheim/video/06,,0.0076384000000118135,0.0006316799999979139,0.010348800000016922,0.010595200000018679,0.006406400000010137,0.0076384000000118135,0.011580800000018598,0.009116800000015246,0.0076384000000118135,0.010348800000016922,0.0006038399999965804,,0.0006038399999965804,0.006406400000010137,,,0.0005603200000052766,0.011580800000018598
Trondheim/video/07,,0.008999440000003744,0.0005526399999951082,0.011711600000005262,0.011958160000006046,0.0077666400000033775,0.008999440000003744,0.01294440000000563,0.010478800000004895,0.008999440000003744,0.011711600000005262,0.0004931200000015679,,0.0004931200000015679,0.0077666400000033775,,,0.0017259200000019348,0.01294440000000563
Trondheim/video/08,,0.008865119999992288,0.0006111999999944828,0.011536799999991132,0.011779679999992965,0.0076507199999937825,0.008865119999992288,0.012751199999989637,0.010322399999992626,0.008865119999992288,0.011536799999991132,0.0004857600000036655,,0.0004857600000036655,0.0076507199999937825,,,0.001700160000002171,0.012751199999989637
Trondheim/video/09,,,0.0005420800000024428,,,,,,,,,0.000518720000002304,,0.000518720000002304,,,,0.0018155200000009586,
Trondheim/video/10,,,0.000579520000002276,,,,,,,,,0.0005139200000030542,,0.0005139200000030542,,,,0.0017987200000035841,
