,C0,C1,C2,C3,C6,C7,C8,C9,C11,C13,C14,C16,C17,C24,C26,C27,C28
Trondheim/audio,0.012456080000006864,0.013688000000009026,0.009444720000004736,0.009444720000004736,0.007939040000003672,0.00961943999999093,0.007939040000003672,0.009992240000002539,,0.009718480000003638,,,,0.012319200000007413,0.008897200000006933,0.009718480000003638,0.008212800000002574
Trondheim/audio/01,,,0.009274079999997298,0.009274079999997298,0.003190719999999203,0.0067291999999987695,0.003190719999999203,0.007097359999999497,0.01054415999999847,0.007819519999998192,0.011955359999998194,,,,0.004657759999993516,0.007819519999998192,0.005083360000000425
Trondheim/audio/02,,,0.009141759999998555,0.009141759999998555,0.006059519999993768,0.009376399999997176,0.006059519999993768,0.009746959999993976,,0.01069407999999683,,,,,0.0061885599999946805,0.01069407999999683,0.007730559999998832
Trondheim/audio/03,,,0.007924159999998182,0.007924159999998182,0.004859519999993012,0.008158799999996802,0.004859519999993012,0.008582159999992456,0.009335359999997905,0.009476479999996457,0.010746559999997629,,,,0.008206399999995284,0.009476479999996457,0.006512959999998458
Trondheim/audio/04,,,0.005623200000009376,0.005623200000009376,0.003248960000007628,0.005623200000009376,0.003248960000007628,0.005998080000011896,0.00687280000001067,,0.008122400000011964,,,,0.0031408800000036763,,0.004373600000008082
Trondheim/audio/05,,,0.005777999999999395,0.005777999999999395,0.0033384000000040714,0.005777999999999395,0.0033384000000040714,0.006163200000003144,0.007061999999997681,,0.008345999999995968,,,,0.0034567999999950416,,0.004494000000001108
Trondheim/audio/06,,,0.005752799999974911,0.005752799999974911,0.0033238399999788726,0.005752799999974911,0.0033238399999788726,0.006136319999967554,0.0070311999999717045,,0.008309599999968498,,,,0.0032086399999826654,,0.004474399999978118
Trondheim/audio/07,,,0.005493599999979892,0.005493599999979892,0.00317407999997954,0.005493599999979892,0.00317407999997954,0.005859839999970973,0.006714399999978582,,0.007935199999977272,,,,0.003437439999991909,,0.004272799999981203
Trondheim/audio/08,,,0.00661680000001752,0.00661680000001752,0.0038230400000145437,0.00661680000001752,0.0038230400000145437,0.007057920000022477,,,,,,,0.003600240000004362,,0.0051464000000152055
Trondheim/audio/09,,,0.006533999999994933,0.006533999999994933,0.003775199999992651,0.006533999999994933,0.003775199999992651,0.006969599999990805,0.007985999999995386,,0.009437999999995839,,,,0.003919679999995651,,0.00508199999999448
Trondheim/audio/10,,,0.006163199999981828,0.006163199999981828,0.00356095999998729,0.006163199999981828,0.00356095999998729,0.006574079999978721,0.007532799999978579,,0.00890239999997533,,,,0.003455919999986179,,0.0047935999999850765
Trondheim/video,0.012499760000007853,0.01373600000000863,0.009477840000005955,0.009477840000005955,0.007966880000005006,0.009768160000007242,0.007966880000005006,0.0100272800000063,,0.009752560000006127,,,,0.012362400000007767,0.00892840000000561,0.009752560000006127,0.008241600000005178
Trondheim/video/01,0.01197519999999841,,0.007307839999999288,0.007307839999999288,0.003914559999998346,0.007555119999999249,0.003914559999998346,0.008006799999998648,,0.008963999999998862,,,,,0.00559775999999701,0.008963999999998862,0.0058022399999995145
Trondheim/video/02,,,0.008889039999997905,0.008889039999997905,0.005506559999995275,0.009100319999998163,0.005506559999995275,0.009562799999995875,0.010430639999997382,0.01058479999999662,0.011972239999996859,,,,0.006920879999997354,0.01058479999999662,0.0073474399999984286
Trondheim/video/03,,,0.010197439999998892,0.010197439999998892,0.0067937599999972065,0.01040871999999915,0.0067937599999972065,0.010807599999999695,,0.011893199999997606,,0.07171312000000007,0.013050079999997521,,0.008130559999996123,0.011893199999997606,0.008655839999999415
Trondheim/video/04,,,0.005749199999998567,0.005749199999998567,0.003321759999998619,0.005749199999998567,0.003321759999998619,0.006132479999997997,0.007026799999998445,,0.008304399999998324,,,,0.0032589599999983676,,0.004471599999998688
Trondheim/video/05,,,0.006170400000012677,0.006170400000012677,0.0035651200000117456,0.006170400000012677,0.0035651200000117456,0.0065817600000173115,0.007541600000013915,,0.008912800000015153,,,,0.0035132800000070574,,0.004799200000011439
Trondheim/video/06,,,0.005536799999994457,0.005536799999994457,0.003199039999991271,0.005536799999994457,0.003199039999991271,0.005905919999989351,0.006767199999995199,,0.007997599999995941,,,,0.0033566399999998,,0.004306399999993715
Trondheim/video/07,,,0.005399999999998073,0.005399999999998073,0.0031199999999955708,0.005399999999998073,0.0031199999999955708,0.005759999999995102,0.006599999999998829,,0.007799999999999585,,,,0.0032756799999980046,,0.004199999999997317
Trondheim/video/08,,,0.005471999999997479,0.005471999999997479,0.0031615999999985434,0.005471999999997479,0.0031615999999985434,0.005836799999997311,0.006687999999996919,,0.007903999999996358,,,,0.003078559999998731,,0.004255999999998039
Trondheim/video/09,,,0.00619199999999509,0.00619199999999509,0.003577599999992742,0.00619199999999509,0.003577599999992742,0.0066047999999909734,,0.007705599999994206,,,,,0.0037763999999960163,0.007705599999994206,0.004815999999994602
Trondheim/video/10,,,0.005979599999992757,0.005979599999992757,0.0034548799999924995,0.005979599999992757,0.0034548799999924995,0.006378239999989432,0.007308399999992332,,0.008637199999991907,,,,0.0036672799999948325,,0.004650799999993183
