,C0,C6,C7,C10,C11,C18,C20,C21,C22,C24,C29
Trondheim/audio,0.00852319999999196,0.00960687999999621,0.008151839999996469,0.006940319999994671,0.007549120000000187,0.0046268799999928945,0.047138399999997915,0.04957359999999866,0.04957359999999866,0.04957359999999866,0.008030079999997497
Trondheim/audio/01,,0.009379120000001961,0.006508080000003247,0.0005948799999941912,,0.0009460800000056224,0.05867464000000666,0.06182824000000409,0.06182824000000409,0.06182824000000409,0.007691120000004048
Trondheim/audio/02,,0.010728879999998497,0.007857839999999783,0.0007199999999940587,,0.0010831200000041008,0.07215160000000509,0.07489240000000308,0.07489240000000308,0.07489240000000308,0.009040880000000584
Trondheim/audio/03,,0.012027119999999059,0.005618799999997037,0.0008584799999944437,,0.0012136000000033675,0.08147816000000319,0.08406536000000386,0.08406536000000386,0.08406536000000386,0.00934271999999936
Trondheim/audio/04,,0.006732000000013727,0.0052360000000106766,0.0005334399999981088,,0.0008976000000018303,0.03620320000001698,0.03919520000002308,0.03919520000002308,0.03919520000002308,0.0052360000000106766
Trondheim/audio/05,,0.00715320000001185,0.005563600000009217,0.000625280000008388,,0.00095376000000158,0.038468320000006884,0.04164752000001215,0.04164752000001215,0.04164752000001215,0.005563600000009217
Trondheim/audio/06,,0.005806799999994894,0.0045163999999928706,0.0005862399999898571,,0.0007742399999841609,0.03143944000000687,0.034020240000010915,0.034020240000010915,0.034020240000010915,0.0045163999999928706
Trondheim/audio/07,,0.006393600000009769,0.004972800000011546,0.0006380799999874398,,0.0008524800000202504,0.034383360000006746,0.03722496000000319,0.03722496000000319,0.03722496000000319,0.004972800000011546
Trondheim/audio/08,,0.006548399999992682,0.005093199999990361,0.0005235200000015539,,0.0008731199999800765,0.03521584000000644,0.03812624000001108,0.03812624000001108,0.03812624000001108,0.005093199999990361
Trondheim/audio/09,,0.006379200000004914,0.004961600000001454,0.0005119999999863012,,0.0008505599999892866,0.03430592000000843,0.03714112000001535,0.03714112000001535,0.03714112000001535,0.004961600000001454
Trondheim/audio/10,,0.0063755999999983715,0.004958799999997154,0.0006044799999926909,,0.0008500799999922037,0.03428655999999819,0.037120160000000624,0.037120160000000624,0.037120160000000624,0.004958799999997154
Trondheim/video,0.0096096000000081,0.011796640000005354,0.008754720000004212,0.007824960000005987,0.009852960000003463,0.005216640000005768,0.0643712000000054,0.0671168000000062,0.0671168000000062,0.0671168000000062,0.010254560000005242
Trondheim/video/01,,0.00791847999999895,0.004876559999997809,0.0005830400000021996,,0.0008049599999999657,0.045392239999998196,0.04807543999999808,0.04807543999999808,0.04807543999999808,0.006328879999998094
Trondheim/video/02,,0.01082408000000079,0.00946888000000179,0.0007073600000016,,0.0010879200000015743,0.07528903999999947,0.07846824000000119,0.07846824000000119,0.07846824000000119,0.009234479999999934
Trondheim/video/03,,0.012085440000001668,0.009309920000001526,0.0008352000000009241,,0.001217040000002001,0.11176183999999978,0.11474263999999934,0.11474263999999934,0.11474263999999934,0.010495840000000811
Trondheim/video/04,,0.007164000000004833,0.005572000000004351,0.0005878400000014494,,0.0009552000000034866,0.03852640000000207,0.041710400000003034,0.041710400000003034,0.041710400000003034,0.005572000000004351
Trondheim/video/05,,0.00608759999999009,0.004734799999990713,0.0005500799999964556,,0.0008116799999910995,0.032737759999996285,0.03544335999999504,0.03544335999999504,0.03544335999999504,0.004734799999990713
Trondheim/video/06,,0.006710399999999339,0.005219199999999091,0.0005260800000002064,,0.0008947199999980171,0.03608703999999818,0.03906943999999868,0.03906943999999868,0.03906943999999868,0.005219199999999091
Trondheim/video/07,,0.007016400000001255,0.00545720000000216,0.000521919999997067,,0.0009355200000058517,0.03773264000000154,0.04085103999999973,0.04085103999999973,0.04085103999999973,0.00545720000000216
Trondheim/video/08,,0.006174000000005009,0.00480200000000508,0.0006204799999949273,,0.0008232000000063522,0.03350464000000031,0.036248640000000165,0.036248640000000165,0.036248640000000165,0.00480200000000508
Trondheim/video/09,,0.005972399999993883,0.004645199999995242,0.0005107199999940804,,0.0007963199999991843,0.032118239999995524,0.034772639999992805,0.034772639999992805,0.034772639999992805,0.004645199999995242
Trondheim/video/10,,0.006746399999997266,0.0052471999999959,0.0006137599999931354,,0.0008995199999901615,0.036280640000001085,0.03927904000000382,0.03927904000000382,0.03927904000000382,0.0052471999999959
