,C0,C5,C10,C16,C19,C22,C25,C27,C28
Trondheim/audio,0.0059865599999966435,0.005861839999997898,,0.006111279999995389,0.004614639999996228,0.006111279999995389,0.04515168000000003,0.047646080000003366,0.00790015999999838
Trondheim/audio/01,0.007108800000001025,0.0030259200000060105,,0.007233519999999771,0.0038272000000034723,0.006915360000004256,0.05550432000000427,0.05844832000000366,0.007550400000003066
Trondheim/audio/02,0.008289520000001716,0.00499144000000129,0.010510480000004208,0.008414240000000461,0.004981440000005222,0.008096080000004946,0.06728504000000513,0.06969944000000439,0.008731120000003756
Trondheim/audio/03,0.01135839999999888,0.006307840000001619,,0.011202080000000336,0.0067252799999941715,0.011202080000000336,0.0953806400000019,0.09850704000000121,0.011483119999997626
Trondheim/audio/04,0.007069279999967648,0.003206399999996279,,0.006915599999970823,0.0039956799999743,0.006915599999970823,0.037190559999984885,0.04026415999997823,0.007222959999964473
Trondheim/audio/05,0.007242240000024935,0.0034924799999913603,,0.00708480000002254,0.004093440000019655,0.00708480000002254,0.038100480000011316,0.0412492800000166,0.007399680000027331
Trondheim/audio/06,0.006296480000003157,0.004927680000001544,0.008897200000006933,0.0061596000000037066,0.003558879999999931,0.0061596000000037066,0.033124960000009196,0.03586256000001242,0.006433360000002608
Trondheim/audio/07,0.00689264000000378,0.0035808000000088214,,0.006742800000004934,0.0038958399999984294,0.006742800000004934,0.03626128000000506,0.03925808000001041,0.007042480000002627
Trondheim/audio/08,0.006156639999986169,0.0048182399999845416,0.008699599999992813,0.006022799999989559,0.0034798399999829144,0.006022799999989559,0.03238928000000385,0.035066080000007105,0.006290479999982779
Trondheim/audio/09,0.006594560000010574,0.003123839999986444,,0.006451200000007873,0.003727360000013391,0.006451200000007873,0.03469312000000002,0.037560319999997205,0.0067379200000132755
Trondheim/audio/10,0.0068447999999960984,0.0033388800000011543,,0.006695999999998037,0.003868799999992234,0.006695999999998037,0.036009599999999864,0.03898560000000373,0.00699359999999416
Trondheim/video,0.006681599999993182,0.00654239999999362,,0.006820799999992744,0.005150399999994448,0.006820799999992744,0.046684799999995974,0.04946879999999432,0.008335199999992327
Trondheim/video/01,0.006625599999999565,0.004324799999999129,0.011464800000002384,0.006764799999999127,0.0033071999999982893,0.008901600000001508,0.05412240000000246,0.05666640000000278,0.007007199999998548
Trondheim/video/02,0.007908159999999498,0.00588383999999742,0.010193760000001717,0.00804735999999906,0.004602239999996982,0.007630560000000841,0.06694896000000305,0.06951216000000393,0.00828975999999848
Trondheim/video/03,0.009188879999999955,0.00638232000000194,0.012746480000002336,0.009328079999999517,0.005882879999997925,0.009039440000000454,0.10538008000000332,0.10794168000000326,0.009305839999999677
Trondheim/video/04,0.006208159999999907,0.0045886399999997,0.008907359999998476,0.006073199999999446,0.0035089600000013377,0.006208159999999907,0.03266031999999797,0.035359519999996536,0.0063431200000003685
Trondheim/video/05,0.006388480000012464,0.0032294399999983625,,0.0062496000000109575,0.003610880000010752,0.0062496000000109575,0.03360896000000935,0.03638656000001106,0.006527360000013971
Trondheim/video/06,0.00709872000000189,0.003181440000005864,,0.006944400000001849,0.004012320000001068,0.006944400000001849,0.03734544000000284,0.04043184000000366,0.007253040000001931
Trondheim/video/07,0.005821760000010556,0.00430304000000703,0.008352960000010512,0.005695200000008782,0.0032905600000106006,0.005821760000010556,0.030627520000003017,0.03315872000000297,0.00594832000001233
Trondheim/video/08,0.006219199999996761,0.004596799999998069,0.008923199999998133,0.006083999999997758,0.0035151999999953887,0.006219199999996761,0.03271840000000026,0.03542240000000163,0.0063543999999957634
Trondheim/video/09,0.0070067200000139,0.0038323200000007773,,0.006854400000012362,0.0039603200000115635,0.006854400000012362,0.03686144000000979,0.03990784000001213,0.0071590400000154375
Trondheim/video/10,0.00717232000000223,0.003083520000004114,,0.007016400000001255,0.004053920000004041,0.007016400000001255,0.03773264000000154,0.04085103999999973,0.0073282400000032055
