,C0,C7,C22,C27
Trondheim/audio,0.005891679999997734,0.006147839999997018,0.008472639999993703,0.004738959999997405
Trondheim/audio/01,0.00696591999999896,0.006820879999999363,0.0077512799999972515,0.003771039999996617
Trondheim/audio/02,0.008250879999998517,0.00810583999999892,0.009036239999996809,0.005040959999995209
Trondheim/audio/03,0.009500720000001905,0.009355680000002309,0.009161679999998285,0.006286240000001442
Trondheim/audio/04,0.00709872000000189,0.006944400000001849,0.00709872000000189,0.004012320000001068
Trondheim/audio/05,0.0059027200000230096,0.005774400000021274,0.0059027200000230096,0.0033363200000167126
Trondheim/audio/06,0.006425279999987765,0.0062855999999911205,0.006425279999987765,0.0036316799999838167
Trondheim/audio/07,0.005876959999994824,0.00574919999999679,0.005876959999994824,0.0033217599999915137
Trondheim/audio/08,0.00677488000000892,0.0066276000000087265,0.00677488000000892,0.003829280000005042
Trondheim/audio/09,0.0067417599999970435,0.006595199999999579,0.0067417599999970435,0.0038105599999909145
Trondheim/audio/10,0.006465759999983334,0.006325199999984932,0.006465759999983334,0.0036545599999868728
Trondheim/video,0.006359040000003091,0.0066355200000032255,0.008720640000005275,0.005114880000002486
Trondheim/video/01,0.0069810400000029915,0.006686640000003408,0.00803944000000456,0.0033883200000026648
Trondheim/video/02,0.008642880000003572,0.008488800000003849,0.009604000000004831,0.0052617600000015585
Trondheim/video/03,0.010308640000005198,0.010148880000004468,0.0116082400000046,0.006938880000005199
Trondheim/video/04,0.005641440000005105,0.005518800000004376,0.005641440000005105,0.003188640000004739
Trondheim/video/05,0.006863199999990854,0.006713999999991671,0.006863199999990854,0.003879199999992977
Trondheim/video/06,0.006723359999995182,0.006577199999995287,0.006723359999995182,0.003800159999997277
Trondheim/video/07,0.006241279999997573,0.006105599999997935,0.006241279999997573,0.0035276799999977015
Trondheim/video/08,0.006646080000002996,0.006501600000003549,0.006646080000002996,0.00375647999999984
Trondheim/video/09,0.0056267199999879836,0.005504399999988863,0.0056267199999879836,0.0031803199999913545
Trondheim/video/10,0.006811679999991327,0.006663599999992442,0.006811679999991327,0.0038500799999923174
