,C0,C1,C4,C7,C8,C11,C13,C15,C17,C18,C20,C25,C28
Trondheim/audio,0.008062560000006158,,0.011954400000004028,0.00933768000000157,0.010432800000003795,0.005741520000004385,0.006776639999998224,0.010432800000003795,0.006909839999998724,0.010781279999999782,0.00891120000000356,0.010584960000002752,0.00891120000000356
Trondheim/audio/01,0.008669999999998623,0.014756399999999559,,0.00803135999999327,0.010191599999998857,0.004260479999992128,0.0053255999999954895,,0.005477759999994447,0.009552959999993504,0.011713199999999091,0.010069439999998764,0.008425679999998437
Trondheim/audio/02,0.01007279999999966,,0.012547679999997285,0.009423359999995995,0.011134079999997937,0.005641679999996541,0.006717599999998214,0.011134079999997937,0.006858959999998859,0.010955759999994541,0.009720479999998588,0.0114722399999998,0.009828479999999473
Trondheim/audio/03,0.011515439999996602,,0.012955439999995377,0.010868639999991103,0.012629519999993732,0.007089599999989815,0.008162879999993322,0.012629519999993732,0.008306879999992134,0.012398399999991483,0.011189519999994957,0.012914879999996742,0.008569679999997248
Trondheim/audio/04,0.007305680000015968,0.013523280000029558,,0.007305680000015968,0.008860080000019366,0.004352320000009513,0.005440400000011891,,0.005595840000012231,0.008860080000019366,0.010414480000022763,0.008860080000019366,0.0071502400000156285
Trondheim/audio/05,0.0067905600000273125,0.012569760000033625,,0.0067905600000273125,0.00823536000002889,0.004045440000027156,0.005056800000019734,,0.005201280000022734,0.00823536000002889,0.009680160000030469,0.00823536000002889,0.0066460800000243125
Trondheim/audio/06,0.0063468800000237025,0.01174848000002271,,0.0063468800000237025,0.007697280000023454,0.0037811200000277267,0.004726400000016895,,0.004861440000020423,0.007697280000023454,0.009047680000023206,0.007697280000023454,0.0062118400000201746
Trondheim/audio/07,0.007501200000021413,0.013885200000018472,,0.007501200000021413,0.009097200000020678,0.004468800000026363,0.00558600000001519,,0.005745600000018669,0.009097200000020678,0.010693200000019942,0.009097200000020678,0.007341600000017934
Trondheim/audio/08,0.007162799999996139,0.013258800000009785,,0.007162799999996139,0.00868679999999955,0.004267199999986815,0.0053339999999977294,,0.005486399999995228,0.00868679999999955,0.010210800000002962,0.00868679999999955,0.00701039999999864
Trondheim/audio/09,0.006655199999990202,0.012319199999986097,,0.006655199999990202,0.008071199999989176,0.003964799999991442,0.004955999999992855,,0.005097599999992042,0.008071199999989176,0.00948719999998815,0.008071199999989176,0.0065135999999910155
Trondheim/audio/10,0.007095119999988242,0.013133519999982468,,0.007095119999988242,0.008604719999986798,0.004226879999990274,0.005283599999991395,,0.00543455999999054,0.008604719999986798,0.010114319999985355,0.008604719999986798,0.006944159999989097
Trondheim/video,0.008917919999998247,,0.01278799999999336,0.010138159999993235,0.011240799999994167,0.0063506399999972984,0.007414079999993106,0.011240799999994167,0.007568239999992343,0.013057759999993479,0.009693599999994973,0.011395519999993553,0.009693599999994973
Trondheim/video/01,0.008912399999998044,0.015101199999994819,,0.008273919999995272,0.010459599999997238,0.004332159999993479,0.005415199999994513,,0.0055699199999939,0.009821119999994465,0.012006799999996431,0.010324479999997749,0.008642159999999066
Trondheim/video/02,0.010193839999999454,0.012293200000002003,0.012293200000002003,0.009531199999997853,0.010987600000001763,0.00556527999999723,0.006672479999997094,0.010987600000001763,0.006803039999997651,0.011102559999995876,0.009682000000001523,0.011605919999999159,0.009923600000000476
Trondheim/video/03,0.01186431999999904,,0.013458719999999147,0.011543519999992924,0.013188480000000169,0.007302959999993419,0.009630239999994572,0.013188480000000169,0.009789679999993695,0.01313791999999303,0.011594080000000062,0.013323599999999658,0.008897359999993526
Trondheim/video/04,0.006418319999996314,0.011880719999995293,,0.006418319999996314,0.0077839199999960584,0.0038236799999964433,0.00477959999999733,,0.00491615999999695,0.0077839199999960584,0.009149519999995803,0.0077839199999960584,0.006281759999996694
Trondheim/video/05,0.007456079999993648,0.013801679999996708,,0.007456079999993648,0.009042479999994413,0.004441919999990773,0.005552399999995572,,0.005711039999994227,0.009042479999994413,0.010628879999995178,0.009042479999994413,0.007297439999994992
Trondheim/video/06,,,,0.005850559999995397,,0.0034854399999986185,0.004356799999996497,,0.004481279999996701,0.007095359999993889,,0.007095359999993889,0.005726079999995193
Trondheim/video/07,0.0063694400000002815,0.011790239999996288,,0.0063694400000002815,0.007724639999999283,0.003794560000002889,0.0047432000000000585,,0.004878720000000669,0.007724639999999283,0.009079839999998285,0.007724639999999283,0.006233919999999671
Trondheim/video/08,0.007290639999997239,0.013495440000003356,,0.007290639999997239,0.008841839999998768,0.004343359999992913,0.0054291999999982465,,0.005584319999996978,0.008841839999998768,0.010393040000000298,0.008841839999998768,0.0071355199999985075
Trondheim/video/09,0.006091200000007291,0.011275200000007146,,0.006091200000007291,0.007387200000007255,0.0036288000000084253,0.0045360000000052025,,0.004665600000006265,0.007387200000007255,0.008683200000007218,0.007387200000007255,0.005961600000006229
Trondheim/video/10,,,,0.005639999999996093,,0.0033599999999935903,0.004199999999997317,,0.004319999999996327,0.006839999999996849,,0.006839999999996849,0.005519999999997083
