,C0,C2,C3,C6,C8,C9,C10,C13,C14,C15,C20,C21,C26,C29
Trondheim/audio,0.0073382399999957215,0.0073382399999957215,,0.03639168000000126,0.011231999999999687,0.005690879999995957,,0.03639168000000126,0.007038719999997056,0.007038719999997056,0.0072300000000034,,0.00584063999999529,0.00918023999999562
Trondheim/audio/01,0.005750000000002586,0.005399840000002598,0.007781360000006288,0.04295384000000624,0.009415920000009237,0.003192800000000773,0.010419760000008438,0.04295384000000624,0.004606320000000608,0.004606320000000608,0.005277040000002842,0.010419760000008438,0.003561200000000042,0.007543999999999329
Trondheim/audio/02,0.007112640000002557,0.008406560000004504,0.010683680000006746,0.05647008000000753,0.012581440000008826,0.004714560000000034,0.013848480000007157,0.05647008000000753,0.005901119999997206,0.005901119999997206,0.008248320000003417,0.013848480000007157,0.005107439999999741,0.0089066399999993
Trondheim/audio/03,0.008631120000000436,0.009642400000000606,0.011948400000004966,0.10053336000000712,0.013846160000007046,0.006431679999995055,0.015113200000005378,0.10053336000000712,0.00724983999999651,0.00724983999999651,0.009513040000001638,0.015113200000005378,0.006855119999993775,0.009834800000000143
Trondheim/audio/04,0.006579999999999586,0.00546000000000646,,0.03122000000000469,0.007862400000000491,0.0036400000000043065,,0.03122000000000469,0.005180000000002849,0.005180000000002849,0.005320000000004654,,0.0040600000000097225,0.006579999999999586
Trondheim/audio/05,0.006410800000026029,0.005319600000028402,,0.031917600000021196,0.009002400000028388,0.0035464000000189344,,0.031917600000021196,0.005046800000023666,0.005046800000023666,0.005183200000026034,,0.003955600000026038,0.006410800000026029
Trondheim/audio/06,0.005154239999988874,0.005154239999988874,,0.03092543999999009,0.008722559999981172,0.003436159999992583,,0.03092543999999009,0.004889919999989445,0.004889919999989445,0.00502207999998916,,0.003832639999991727,0.006211519999986592
Trondheim/audio/07,0.005868720000016481,0.005868720000016481,,0.035212320000006514,0.009931680000008214,0.003912480000010987,,0.035212320000006514,0.005567760000012356,0.005567760000012356,0.0057182400000144185,,0.004363920000017174,0.007072560000011663
Trondheim/audio/08,0.00607992000000479,0.005045040000013046,,0.029181840000006787,0.007862400000000491,0.003363360000008697,,0.029181840000006787,0.004786320000008004,0.004786320000008004,0.004915680000010525,,0.0037514400000162595,0.00607992000000479
Trondheim/audio/09,0.00700487999998245,0.0058125599999740984,,0.033235919999995645,0.007878000000026475,0.0038750399999827323,,0.033235919999995645,0.0055144799999808924,0.0055144799999808924,0.0056635199999774954,,0.004322159999972541,0.00700487999998245
Trondheim/audio/10,0.005790399999987983,0.004804799999980958,,0.028828799999999433,0.00813119999999401,0.003203199999987305,,0.028828799999999433,0.004558399999986307,0.004558399999986307,0.004681599999983632,,0.0035727999999792814,0.005790399999987983
Trondheim/video,0.006914880000001844,0.006914880000001844,,0.03429216000000146,0.010583999999999705,0.0053625600000017926,,0.03429216000000146,0.006632640000001189,0.006632640000001189,0.006842320000004065,,0.00550368000000212,0.008992160000001803
Trondheim/video/01,0.00581663999999904,0.005671359999999126,0.007928799999996627,0.04218511999999919,0.009501759999995585,0.003448640000002001,0.010811999999996047,0.04218511999999919,0.004167519999999314,0.004167519999999314,0.005538719999998776,0.010811999999996047,0.003846560000003052,0.0077670400000009465
Trondheim/video/02,0.007315519999997022,0.007070719999997976,0.011012719999996534,0.05703279999999822,0.012648879999995088,0.005151359999995719,0.014022319999995148,0.05703279999999822,0.007104559999998372,0.007104559999998372,0.0069202399999976905,0.014022319999995148,0.0055806399999944745,0.009265919999998928
Trondheim/video/03,0.008733599999997566,0.010081119999997057,0.012592319999995993,0.08568287999999846,0.01429647999999517,0.006563519999996714,0.015737919999995853,0.08568287999999846,0.009544159999997248,0.009544159999997248,0.009923839999997242,0.015737919999995853,0.006980959999996372,0.009875359999997002
Trondheim/video/04,0.005132399999993709,0.005132399999993709,,0.030794399999994226,0.008685599999992633,0.0034215999999958058,,0.030794399999994226,0.004869199999994578,0.004869199999994578,0.005000799999994143,,0.003816399999994502,0.0061851999999937846
Trondheim/video/05,0.0047517599999835625,0.0047517599999835625,,0.028510559999993745,0.0080414399999853,0.0031678399999890416,,0.028510559999993745,0.004508079999986592,0.004508079999986592,0.004629919999985077,,0.003533359999984498,0.005726479999985656
Trondheim/video/06,0.005182319999988749,0.005182319999988749,,0.03109391999999289,0.008770079999990799,0.0034548799999924995,,0.03109391999999289,0.004916559999990966,0.004916559999990966,0.005049439999989858,,0.0038535199999891745,0.006245359999990541
Trondheim/video/07,0.004714320000008598,0.004714320000008598,,0.028285920000001852,0.007978080000007992,0.003142880000005732,,0.028285920000001852,0.004472560000007064,0.004472560000007064,0.004593440000007831,,0.0035055200000080333,0.005681360000007629
Trondheim/video/08,0.005447519999997041,0.005447519999997041,,0.032685119999992907,0.009218879999991714,0.0036316799999980276,,0.032685119999992907,0.0051681599999966465,0.0051681599999966465,0.005307839999996844,,0.00405071999999862,0.006564959999995068
Trondheim/video/09,0.004942080000009952,0.004942080000009952,,0.029652480000002868,0.008363520000010283,0.0032947200000066346,,0.029652480000002868,0.004688640000008348,0.004688640000008348,0.00481536000000915,,0.00367488000000904,0.00595584000000926
Trondheim/video/10,0.006205679999993663,0.006205679999993663,,0.035959439999999177,0.009723999999998512,0.004137119999995775,,0.035959439999999177,0.005887439999995081,0.005887439999995081,0.006046559999994372,,0.004614479999993648,0.007478639999995096
