,C0,C1,C12,C14,C15,C18,C20,C21
Trondheim/audio,0.009857760000009819,0.008364160000009946,0.010007120000011582,0.011923840000008568,0.006721200000008309,0.014618800000008036,0.014911040000008313,0.011351360000009691
Trondheim/audio/01,,0.003952159999993654,0.005955919999994563,0.007881759999996518,0.003041280000005031,0.009356159999995839,0.010849759999995712,0.010584159999993403
Trondheim/audio/02,,0.005298879999994455,0.007302639999995364,0.009239119999996603,0.004250400000003651,0.010713519999995924,0.012207119999995797,0.011888240000001105
Trondheim/audio/03,,0.006803199999993126,0.008806959999994035,0.010436719999994182,0.005506160000003035,0.012213679999998561,0.013707279999998434,0.010436719999994182
Trondheim/audio/04,,0.007763439999997956,0.009374719999996728,0.010839519999997549,0.003515519999993444,0.01245079999999632,0.013769119999999191,0.0109859999999955
Trondheim/audio/05,,0.006610160000015242,0.00798208000001921,0.009229280000020879,0.0029932800000125326,0.010601200000024846,0.011723680000024217,0.009354000000023177
Trondheim/audio/06,,0.007140159999984519,0.00862207999998077,0.009969279999978653,0.003233279999989236,0.011451199999974904,0.01266367999997442,0.01010399999997702
Trondheim/audio/07,,0.006232799999992267,0.00786519999999058,0.0093491999999884,0.0036038399999824833,0.010981599999986713,0.012317199999984041,0.009497599999988893
Trondheim/audio/08,,0.006487200000009352,0.007833600000012098,0.009057600000012656,0.0029376000000098657,0.010404000000015401,0.011505600000013771,0.009180000000014843
Trondheim/audio/09,,0.005566559999998333,0.006935839999997029,0.008180639999999073,0.0035577600000067378,0.009549919999997769,,0.007966719999998872
Trondheim/audio/10,,0.005500719999993464,0.006852399999992542,0.00808119999999235,0.003532800000002112,0.009432879999991428,,0.007864319999995928
Trondheim/video,0.00999503999999618,0.008480639999996598,0.010146479999995961,0.01195295999999324,0.006814799999997234,0.014523599999993309,0.0162463199999916,0.011509439999995763
Trondheim/video/01,,0.004142239999998409,0.00574007999999715,0.007649439999996233,0.0033830399999992267,0.00903903999999578,0.01049799999999479,0.010206719999999336
Trondheim/video/02,,0.005448320000001061,0.0070461599999998015,0.008962479999997441,0.00474687999999901,0.010352079999996988,0.011811039999995998,0.011519760000000545
Trondheim/video/03,,0.006960319999999243,0.010038159999998797,0.011518159999999611,0.005999599999999106,0.012846720000000644,0.014178720000002087,0.011667759999999916
Trondheim/video/04,,0.00608719999999785,0.007606079999996851,0.008986879999996589,0.003757440000001111,0.01050575999999559,,0.00883711999999548
Trondheim/video/05,,0.007309759999994725,0.008826879999993764,0.010206079999992568,0.0033100799999985497,0.011723199999991607,0.012964479999990175,0.010343999999992803
Trondheim/video/06,,0.0066568000000089,0.008038400000010881,0.00929440000001236,0.0030144000000049687,0.01067600000001434,0.011806400000015316,0.009420000000012863
Trondheim/video/07,,0.007432720000000614,0.008975360000000876,0.01037776000000079,0.0033657600000012167,0.011920400000001052,0.01318256000000062,0.010518000000001138
Trondheim/video/08,,0.00642359999999087,0.007756799999988573,0.008968799999987453,0.0029087999999930503,0.010301999999985156,0.011392799999985215,0.009089999999986276
Trondheim/video/09,,0.0065520000000063305,0.008268000000008158,0.009828000000009496,0.0037440000000046325,0.011544000000011323,0.012948000000012172,0.009984000000009985
Trondheim/video/10,,0.006915439999996664,0.008350719999995704,0.009655519999995477,0.0031315199999966126,0.011090799999994516,0.012265119999995022,0.009785999999994743
