,C0,C1,C5,C6,C7,C8,C9,C12,C14,C15,C17,C18,C19,C22,C23
Trondheim/audio,0.007234560000000556,0.013667439999998976,0.013516719999998372,0.01200951999999944,0.013516719999998372,0.007083839999999952,0.04732863999999992,0.011858799999998837,0.01200951999999944,0.009796799999996608,0.0039187200000014855,0.016531119999996235,0.008289599999997677,0.00960687999999621,0.005576640000001021
Trondheim/audio/01,0.007175279999998452,0.012509680000007961,0.012350880000006725,0.010762880000005026,0.012350880000006725,0.005666159999996978,0.054577359999999686,0.01060408000000379,0.010762880000005026,0.007428080000000392,0.0005871999999982336,0.015526880000010124,0.005308400000004099,0.009016080000002091,0.003997119999997523
Trondheim/audio/02,0.008838080000000303,0.012198399999999054,0.012041439999997294,0.010471839999997457,0.012041439999997294,0.005476959999999309,0.07056464000000062,0.010314879999995696,0.010471839999997457,0.008956239999996285,0.0007136799999969412,0.01518063999999697,0.0068365599999999915,0.008745279999995859,0.005619680000002347
Trondheim/audio/03,0.01017535999999808,0.013493439999990642,0.01337871999999507,0.011787999999992138,0.013357599999991976,0.008352800000000826,0.11080431999999973,0.011652159999993472,0.011787999999992138,0.010126399999997204,0.0008655999999938047,0.016517919999994746,0.008006720000000911,0.010082559999993634,0.006935839999997029
Trondheim/audio/04,,0.01294279999999759,0.01280655999999425,0.011444159999996373,0.01280655999999425,0.010218000000001837,,0.011307919999993032,0.011444159999996373,0.00858311999999728,0.0005449600000133614,0.015531359999990002,0.007220719999999403,0.009945519999995156,0.0089918400000073
Trondheim/audio/05,,0.011559600000012438,0.01143792000001298,0.010221120000011297,0.01143792000001298,0.009126000000009071,,0.010099440000011839,0.010221120000011297,0.0076658400000084725,0.0004867199999978311,0.013871520000016346,0.006449040000006789,0.008882640000010156,0.008030880000006846
Trondheim/audio/06,,0.009347200000028977,0.009212080000025935,0.00786088000002394,0.009212080000025935,0.011994000000015603,,0.007725760000020898,0.00786088000002394,0.005023360000016908,0.0006396800000061376,0.011914480000029926,0.0036721600000149124,0.006374560000018903,0.008795600000013337
Trondheim/audio/07,,0.009318480000025886,0.009177280000024268,0.007765280000022301,0.009177280000024268,0.01135200000000225,,0.007624080000020683,0.007765280000022301,0.004800080000016749,0.0006054399999868565,0.012001280000028203,0.0033880800000147815,0.006212080000018716,0.008324799999996912
Trondheim/audio/08,,0.012471599999997807,0.01234031999999985,0.011027519999998958,0.01234031999999985,0.009845999999996025,,0.010896240000001,0.011027519999998958,0.008270639999999219,0.0005251199999918299,0.014965920000001631,0.006957839999998328,0.00958344000000011,0.008664479999993091
Trondheim/audio/09,0.011574000000003082,0.010020719999985772,0.009868559999986815,0.008346959999990133,0.009868559999986815,0.010030800000002671,0.03643327999999002,0.008194799999991176,0.008346959999990133,0.0051515999999978135,0.0006172800000001644,0.012911759999980177,0.0036300000000011323,0.006673199999994495,0.00848760000000226
Trondheim/audio/10,,0.012448800000008475,0.01231776000000906,0.011007360000007793,0.01231776000000906,0.009828000000005943,,0.010876320000008377,0.011007360000007793,0.008255520000005845,0.0005241599999976643,0.014938560000011591,0.006945120000004579,0.009565920000007111,0.008648640000004093
Trondheim/video,0.006739199999998391,0.012241119999996997,0.012119599999998343,0.010509439999998094,0.012100719999997622,0.0065987999999990166,0.04434879999999808,0.01036903999999872,0.010509439999998094,0.009126000000001966,0.003650399999997944,0.01495711999999827,0.007722000000001117,0.008821600000000984,0.0051947999999981676
Trondheim/video/01,0.007779360000000679,0.011820319999998219,0.011675199999997332,0.010223999999997346,0.011675199999997332,0.006167680000000786,0.055289679999999564,0.01007887999999646,0.010223999999997346,0.007176479999996488,0.0004959999999982756,0.014577599999997304,0.005725279999996502,0.008627679999996474,0.004388959999999997
Trondheim/video/02,0.009335200000000654,0.016723760000003196,0.016567840000003997,0.015008640000003126,0.016567840000003997,0.007723520000000761,0.0708447200000002,0.014852720000003927,0.015008640000003126,0.008529519999994406,0.0007313599999960729,0.01968624000000574,0.006940639999994502,0.013293520000003056,0.005941439999999076
Trondheim/video/03,0.01075448000000101,0.012651439999997294,0.012508239999997173,0.011076239999997739,0.012508239999997173,0.009142800000001117,0.11220079999999832,0.010933039999997618,0.011076239999997739,0.010933039999997618,0.0008934399999969145,0.01537223999999604,0.008339359999995466,0.009501039999998184,0.007348000000000354
Trondheim/video/04,,0.010163439999995916,0.010009839999995052,0.008473839999995292,0.010009839999995052,0.011147999999998603,,0.008320239999994428,0.008473839999995292,0.005248239999994908,0.0005945600000032414,0.013081839999994571,0.0037122399999951483,0.006784239999994668,0.00817520000000016
Trondheim/video/05,0.011399999999994748,0.009173359999998354,0.009041039999999612,0.007717839999997977,0.009041039999999612,0.009879999999995448,0.03552383999999975,0.007585519999999235,0.007717839999997977,0.004939119999995967,0.0006079999999997199,0.01168744000000288,0.0036159199999943326,0.006262319999997601,0.008359999999996148
Trondheim/video/06,,0.009929760000005672,0.009782240000006936,0.008307040000005372,0.009782240000006936,0.011310000000008813,,0.008159520000006637,0.008307040000005372,0.005209120000003509,0.00060320000000047,0.012732640000010065,0.0037339200000019446,0.006684320000005073,0.008294000000006463
Trondheim/video/07,0.011933999999996558,0.010928080000006446,0.010768160000004912,0.009168960000003779,0.010768160000004912,0.010342799999996544,0.03351936000000677,0.009009040000002244,0.009168960000003779,0.005810639999999978,0.0006364799999971638,0.013966560000007178,0.004211439999998845,0.007409840000001111,0.008751599999996529
Trondheim/video/08,,0.012205600000008587,0.012077120000007824,0.010792320000007294,0.012077120000007824,0.009636000000007527,,0.01066384000000653,0.010792320000007294,0.00809424000000547,0.0005139200000030542,0.014646720000008884,0.00680944000000494,0.009379040000006,0.008479680000007761
Trondheim/video/09,,0.011666000000008836,0.01154320000000908,0.010315200000007962,0.01154320000000908,0.009210000000006602,,0.010192400000008206,0.010315200000007962,0.007736400000005972,0.0004911999999990257,0.013999200000011314,0.006508400000004855,0.008964400000007089,0.008104800000005241
Trondheim/video/10,,0.009323519999995256,0.009177839999995996,0.007721039999996293,0.009177839999995996,0.010127999999998138,,0.007575359999997033,0.007721039999996293,0.004661759999997628,0.0005401599999999007,0.012091439999995401,0.003204959999997925,0.006118559999997331,0.008912639999998362
