,C0,C3,C4,C5,C6,C13,C23
Trondheim/audio,0.009092160000015781,0.009367680000018197,0.0048216000000103065,0.009229920000016989,0.009092160000015781,0.007852320000015567,0.009229920000016989
Trondheim/audio/01,,0.012022000000008859,0.0005840000000034706,0.01191744000000483,0.011730000000007124,0.009114640000007057,0.01191744000000483
Trondheim/audio/02,,0.007535599999997089,0.0007255200000031437,0.0059537599999970325,0.007240719999998646,0.0044876799999933326,0.0059537599999970325
Trondheim/audio/03,0.012025760000000218,0.01061040000000446,0.0008594400000028202,0.007546959999999103,0.010293920000002288,0.006242160000002883,0.007546959999999103
Trondheim/audio/04,,0.007697280000023454,0.0005401600000141116,0.007562240000019926,0.0074272000000163985,0.0062118400000201746,0.007562240000019926
Trondheim/audio/05,,0.008481599999996092,0.0005951999999922464,0.00833279999999803,0.008183999999999969,0.0068447999999960984,0.00833279999999803
Trondheim/audio/06,,0.008919359999993048,0.0006259200000044984,0.008762879999991924,0.0086063999999908,0.007198079999994889,0.008762879999991924
Trondheim/audio/07,,0.006862800000007496,0.00048160000000052605,0.006742400000007365,0.006622000000007233,0.00553840000000605,0.006742400000007365
Trondheim/audio/08,,0.007337039999995909,0.0005148799999972198,0.007208319999996604,0.007079599999997299,0.005921119999996449,0.007208319999996604
Trondheim/audio/09,,0.007788480000016307,0.0005465600000036375,0.0076518400000153974,0.007515200000014488,0.006285440000013409,0.0076518400000153974
Trondheim/audio/10,,0.007970880000016223,0.000559360000011111,0.007831040000013445,0.007691200000010667,0.006432640000014089,0.007831040000013445
Trondheim/video,0.009514559999995953,0.010857119999998943,0.005045599999997208,0.01064487999999919,0.010568799999999712,0.008217119999995859,0.01064487999999919
Trondheim/video/01,,0.008427840000006626,0.0004800000000031446,0.009679040000005301,0.008187840000005053,0.007012000000003127,0.009679040000005301
Trondheim/video/02,,0.006831760000004294,0.0006230399999989089,0.009266800000006015,0.006534000000005591,0.004367920000001746,0.009321200000005803
Trondheim/video/03,,0.008323680000005496,0.0008265600000019191,0.00382872000000134,0.008025440000006157,0.0045170400000014155,0.003942959999999829
Trondheim/video/04,,0.007195680000000593,0.0005049600000006649,0.0070694400000004265,0.00694320000000026,0.005807040000000541,0.0070694400000004265
Trondheim/video/05,,0.008796240000002342,0.0006172800000001644,0.008641920000002301,0.00848760000000226,0.00709872000000189,0.008641920000002301
Trondheim/video/06,,0.008964960000007238,0.0006291199999992614,0.008807680000007423,0.008650400000007608,0.007234880000005717,0.008807680000007423
Trondheim/video/07,,0.0084542400000025,0.0005932800000039151,0.008305920000001521,0.008157600000000542,0.006822720000002391,0.008305920000001521
Trondheim/video/08,,0.008659440000005958,0.0006076800000016647,0.008507520000005542,0.008355600000005126,0.006988320000004933,0.008507520000005542
Trondheim/video/09,,0.006985920000015966,0.0004902400000048601,0.006863360000014751,0.006740800000013536,0.005637760000013259,0.006863360000014751
Trondheim/video/10,,0.007911599999982144,0.0005551999999937607,0.007772799999983704,0.007633999999985264,0.006384799999985091,0.007772799999983704
