,C0,C4,C12,C13,C17,C20,C22,C26,C28
Trondheim/audio,0.008837519999996601,,0.007044399999998063,0.04268903999999907,0.008581359999997318,0.007044399999998063,0.009093679999995885,0.010886799999997976,0.0057635999999980925
Trondheim/audio/01,0.009398880000020426,0.013250880000015286,0.004272400000001397,0.049029360000005795,0.008782560000014428,0.004272400000001397,0.007395840000015141,0.008782560000014428,0.0006137599999931354
Trondheim/audio/02,0.011108400000008345,0.015037359999997335,0.005739519999998777,0.06473632000000507,0.010483200000003023,0.005739519999998777,0.009069840000005769,0.01048024000000325,0.0007572799999948643
Trondheim/audio/03,0.012276640000006722,0.016205599999995712,0.007143120000002057,0.09245176000000299,0.0116514400000014,0.007143120000002057,0.010164960000000889,0.011648480000001626,0.0009145599999982323
Trondheim/audio/04,0.009594080000027816,0.013526080000005436,0.002858239999994794,0.03365792000001733,0.008964960000014344,0.002858239999994794,0.007549440000019558,0.008964960000014344,0.0005641600000103608
Trondheim/audio/05,0.008003199999976118,0.011414399999978286,0.003433759999992958,0.028076799999993796,0.007478399999982344,0.003433759999992958,0.00629759999998214,0.008659199999982548,0.000623359999991635
Trondheim/audio/06,0.008242320000043435,0.011755440000037254,0.003092319999993265,0.028915680000011434,0.007701840000031268,0.003092319999993265,0.0064857600000323146,0.008917920000030222,0.0005737600000088605
Trondheim/audio/07,0.009691680000010194,0.013663680000007616,0.0032542400000039606,0.034000319999996975,0.009056160000007196,0.0032542400000039606,0.007626240000007556,0.009056160000007196,0.0006025600000043596
Trondheim/audio/08,0.009345199999984288,0.013175199999977849,0.010111199999983,0.032784800000001724,0.008732399999985319,0.010111199999983,0.007353599999987637,0.008732399999985319,0.0004911999999990257
Trondheim/audio/09,0.007544480000021281,0.010760160000018004,0.0030747200000007524,0.02646752000001129,0.007049760000015226,0.0030747200000007524,0.005936640000015814,0.008162880000014638,0.0005692800000076659
Trondheim/audio/10,0.00753472000004507,0.010622720000043273,0.002823040000009769,0.026433280000013326,0.0070406400000351255,0.002823040000009769,0.005928960000034067,0.008152320000036184,0.0005209599999886905
Trondheim/video,0.00841247999999517,,0.0067055999999965366,0.04023296000000087,0.00816863999999562,0.0067055999999965366,0.008656319999994722,0.010363199999995132,0.005486399999997005
Trondheim/video/01,0.008701039999998272,,0.004154079999999283,0.04586136000000707,0.007800400000000707,0.004154079999999283,0.006516640000000962,0.007800400000000707,0.000572800000000484
Trondheim/video/02,0.010122159999998104,0.013811119999999732,0.0055531999999978154,0.06007688000000577,0.009546319999998332,0.0055531999999978154,0.008266879999997201,0.009551599999998217,0.0006935200000004471
Trondheim/video/03,0.011311439999998285,,0.006882959999998661,0.08637576000000635,0.010735599999998513,0.006882959999998661,0.0094139199999983,0.010740879999998398,0.0008270400000007783
Trondheim/video/04,0.009096319999997604,0.01282432,0.002717440000001403,0.03191168000000033,0.008499839999998926,0.002717440000001403,0.007157759999998348,0.008499839999998926,0.0006092799999990461
Trondheim/video/05,0.009276880000001597,0.013078880000009008,0.0027508800000006772,0.03254512000000176,0.008668560000003822,0.0027508800000006772,0.007299840000001723,0.008668560000003822,0.0005667199999948025
Trondheim/video/06,0.00899871999999391,0.01283424000000366,0.003245440000000599,0.03156927999999937,0.008408639999998968,0.003245440000000599,0.007080959999996139,0.008408639999998968,0.0004972800000047073
Trondheim/video/07,0.007847040000005023,0.01106304000001046,0.0027174399999978505,0.02752896000000149,0.007332480000005859,0.0027174399999978505,0.006174720000004186,0.008490240000007532,0.0005171199999978171
Trondheim/video/08,0.009755120000022544,0.01375312000001827,0.002925119999993342,0.034222880000008615,0.009115440000016406,0.002925119999993342,0.007676160000016807,0.009115440000016406,0.0005615999999974974
Trondheim/video/09,0.00963799999999182,0.013745999999997593,0.003317600000002585,0.03381199999999396,0.00900599999999585,0.003317600000002585,0.007583999999994262,0.00900599999999585,0.0005091200000038043
Trondheim/video/10,0.008940160000008746,0.012750720000003213,0.003227840000000981,0.03136384000000092,0.008353920000004678,0.003227840000000981,0.007034880000006183,0.008353920000004678,0.0004998400000033598
