,C0,C1,C10,C20,C21,C24,C26
Trondheim/audio,0.004383680000003665,0.006717439999999186,0.008019279999999185,0.008019279999999185,0.006717439999999186,0.007045200000000307,0.0026615200000037476
Trondheim/audio/01,0.005952239999999165,0.0068744799999969075,0.0067350399999952515,0.0067350399999952515,0.0068744799999969075,0.005760959999996373,0.0008366400000099361
Trondheim/audio/02,0.008751439999997501,0.009680079999991875,0.009534239999993588,0.009534239999993588,0.009680079999991875,0.007225759999993642,0.00101447999999138
Trondheim/audio/03,0.010073439999999323,0.01098967999999445,0.01085623999999541,0.01085623999999541,0.01098967999999445,0.0056174399999946445,0.001147919999990421
Trondheim/audio/04,0.0054040000000057375,0.0054040000000057375,0.0054040000000057375,0.0054040000000057375,0.0054040000000057375,0.005249600000006183,0.0009263999999973294
Trondheim/audio/05,,0.004367999999999483,0.004367999999999483,0.004367999999999483,0.004367999999999483,0.004243199999997671,0.0007488000000108741
Trondheim/audio/06,,0.004295200000008492,0.004295200000008492,0.004295200000008492,0.004295200000008492,0.00417248000000825,0.0007363200000014558
Trondheim/audio/07,,0.0053144000000102665,0.0053144000000102665,0.0053144000000102665,0.0053144000000102665,0.005162560000009364,0.0009110400000054142
Trondheim/audio/08,,0.0045444000000074425,0.0045444000000074425,0.0045444000000074425,0.0045444000000074425,0.004414560000007839,0.0007790399999976216
Trondheim/audio/09,,0.0051184000000006336,0.0051184000000006336,0.0051184000000006336,0.0051184000000006336,0.0049721600000012245,0.0008774399999964544
Trondheim/audio/10,,0.004460399999999254,0.004460399999999254,0.004460399999999254,0.004460399999999254,0.004332959999999275,0.0007646399999998721
Trondheim/video,0.00419103999999848,0.0064811199999983415,0.006331439999998523,0.006331439999998523,0.0064811199999983415,0.0067355999999989535,0.0025445599999986968
Trondheim/video/01,0.005801599999998075,0.0066891999999985075,0.0065499999999989456,0.0065499999999989456,0.0066891999999985075,0.0055725599999991715,0.0008351999999973714
Trondheim/video/02,0.008474159999998676,0.0093607200000001,0.009222559999999547,0.009222559999999547,0.0093607200000001,0.006953120000000368,0.0009733599999979248
Trondheim/video/03,0.009757199999997468,0.010634799999998279,0.009402879999997893,0.009402879999997893,0.010634799999998279,0.005632479999999163,0.0011025599999978652
Trondheim/video/04,0.005359200000002673,0.005359200000002673,0.005359200000002673,0.005359200000002673,0.005359200000002673,0.005206080000002444,0.0009187200000013718
Trondheim/video/05,,0.0048216000000103065,0.0048216000000103065,0.0048216000000103065,0.0048216000000103065,0.0046838400000090985,0.0008265600000072482
Trondheim/video/06,,0.004300799999995775,0.004300799999995775,0.004300799999995775,0.004300799999995775,0.004177919999996504,0.0007372799999956214
Trondheim/video/07,,0.004726399999999131,0.004726399999999131,0.004726399999999131,0.004726399999999131,0.004591359999999156,0.0008102399999998511
Trondheim/video/08,,0.00423080000000553,0.00423080000000553,0.00423080000000553,0.00423080000000553,0.004109920000004763,0.0007252800000046022
Trondheim/video/09,,0.00516039999999407,0.00516039999999407,0.00516039999999407,0.00516039999999407,0.005012959999994848,0.0008846399999953292
Trondheim/video/10,0.005266799999990468,0.005266799999990468,0.005266799999990468,0.005266799999990468,0.005266799999990468,0.005116319999991958,0.0009028799999910575
