,C0,C9,C14,C16,C17,C22,C28
Trondheim/audio,0.006517279999997072,0.008659279999996272,0.006517279999997072,0.0063755999999983715,0.004958799999997154,0.006233919999999671,0.009422639999996818
Trondheim/audio/01,0.0067250400000027355,0.007583520000007837,0.005265200000003745,0.005142560000003016,0.002943360000003281,0.006614240000004656,0.007092960000004922
Trondheim/audio/02,0.008023600000001352,0.008901760000004089,0.006570320000001573,0.006441120000001632,0.004320639999999543,0.007991520000000918,0.00839808000000275
Trondheim/audio/03,0.009625759999998706,0.010402079999998648,0.008040879999999362,0.007896800000001036,0.005954879999997331,0.009625759999998706,0.00986864000000054
Trondheim/audio/04,0.0065467200000028924,0.006689040000004809,0.004981200000003128,0.004838880000001211,0.0034156800000033627,0.003357439999994938,0.006689040000004809
Trondheim/audio/05,0.006535680000013144,0.006677760000016519,0.004972800000011546,0.004830720000008171,0.003409920000009947,0.0031834400000008145,0.006677760000016519
Trondheim/audio/06,0.008074239999999122,0.005929520000002242,0.004415600000001518,0.004289440000000866,0.003027840000001447,0.0033193600000060997,0.005929520000002242
Trondheim/audio/07,0.008959999999987645,0.006579999999999586,0.004899999999999238,0.004759999999997433,0.0033600000000006958,0.0032444799999922225,0.006579999999999586
Trondheim/audio/08,0.008422400000029029,0.006185200000032864,0.004606000000023869,0.004474400000020751,0.0031584000000179913,0.0029334400000067262,0.006185200000032864
Trondheim/audio/09,0.007072960000016337,0.007226720000019782,0.005381600000013975,0.005227840000010531,0.003690240000011613,0.0035325600000035706,0.007226720000019782
Trondheim/audio/10,0.007782399999996414,0.005715199999997367,0.004255999999998039,0.004134399999998095,0.0029183999999986554,0.0027508800000077827,0.005715199999997367
Trondheim/video,0.0070435200000034115,0.009182880000007998,0.0070435200000034115,0.006890400000003183,0.005359200000002673,0.006737280000002954,0.01000304000000618
Trondheim/video/01,0.00682240000000256,0.007662400000008063,0.0053844800000035775,0.005264480000002791,0.0028800000000046566,0.008382400000005674,0.007182400000004918
Trondheim/video/02,0.008287199999999828,0.009095360000001662,0.006784160000000483,0.00664752000000135,0.004462719999999365,0.00570631999999982,0.008582080000001824
Trondheim/video/03,0.00974192000000329,0.010515520000007328,0.008196640000003086,0.008056160000002421,0.005917440000002827,0.0071758400000003775,0.009994560000004427
Trondheim/video/04,0.009410560000002732,0.006910880000001285,0.005146400000000995,0.0049993600000011185,0.0035289600000005805,0.003281440000000302,0.006910880000001285
Trondheim/video/05,0.00836095999999742,0.006140079999990888,0.004572399999993593,0.004441759999995298,0.0031353599999945914,0.0033193599999989942,0.006140079999990888
Trondheim/video/06,0.008089599999991037,0.005940799999990531,0.0044239999999931,0.004297599999993906,0.0030335999999948626,0.0041711999999947125,0.005940799999990531
Trondheim/video/07,0.009113600000006272,0.006692800000010379,0.004984000000007427,0.004841600000005997,0.003417600000005905,0.003125919999998672,0.006692800000010379
Trondheim/video/08,0.008924159999999404,0.0065536800000067785,0.00488040000000467,0.004740960000003014,0.0033465600000042173,0.0030558399999982555,0.0065536800000067785
Trondheim/video/09,0.00940032000000457,0.006903359999999026,0.005140799999999501,0.004993920000000429,0.003525119999999049,0.003095040000001603,0.006903359999999026
Trondheim/video/10,0.00918528000000407,0.0067454400000102055,0.005023200000007222,0.004879680000005493,0.003444480000005967,0.003119519999998488,0.0067454400000102055
