,C0,C2,C6,C12,C13,C16,C17,C25
Trondheim/audio,0.03412479999999363,0.019951999999996417,0.021190399999998277,0.0456832000000027,0.021190399999998277,0.021190399999998277,0.01981439999999779,0.059094399999999325
Trondheim/audio/01,,0.0015963199999902145,0.0072369600000072865,,0.0072369600000072865,0.0072369600000072865,0.0017414399999893249,0.05379952000000188
Trondheim/audio/02,,0.0015791199999917183,0.004530159999998062,,0.004530159999998062,0.004530159999998062,0.0017242399999908287,0.06567720000000321
Trondheim/audio/03,,0.0017061599999905752,0.005970159999996838,,0.005970159999996838,0.005970159999996838,0.0018512799999896856,0.07838784000000132
Trondheim/audio/04,,0.0012679999999676284,0.0030870399999969322,,0.0030870399999969322,0.0030870399999969322,0.0013947999999643912,0.02738879999999
Trondheim/audio/05,,0.0013615999999672113,0.003083520000004114,,0.003083520000004114,0.003083520000004114,0.0014977599999639324,0.02941055999998099
Trondheim/audio/06,,0.0012728000000095108,0.002787839999996322,,0.002787839999996322,0.002787839999996322,0.0014000800000104618,0.027492480000013586
Trondheim/audio/07,,0.0012543999999792277,0.0026751999999987675,,0.0026751999999987675,0.0026751999999987675,0.0013798399999771505,0.02709503999998475
Trondheim/audio/08,,0.0014383999999978414,0.003034240000005184,,0.003034240000005184,0.003034240000005184,0.0015822399999976255,0.031069439999996007
Trondheim/audio/09,,0.00149039999996603,0.0026452799999958643,,0.0026452799999958643,0.0026452799999958643,0.001639439999962633,0.032192639999983896
Trondheim/audio/10,,0.001242399999981103,0.002669920000002435,,0.002669920000002435,0.002669920000002435,0.0013666399999792134,0.026835839999996836
Trondheim/video,0.03716032000000169,0.021726799999999713,0.023075359999998213,0.04981944000000382,0.023075359999998213,0.023075359999998213,0.02157695999999909,0.06217216000000114
Trondheim/video/01,,0.001498639999997664,0.004504239999999271,,0.004504239999999271,0.004504239999999271,0.0016348799999974517,0.0542056000000013
Trondheim/video/02,,0.0014712799999969661,0.0070946399999982646,,0.0070946399999982646,0.0070946399999982646,0.0016075199999967538,0.09604999999999997
Trondheim/video/03,,0.0019247199999981035,0.005729359999998351,,0.005729359999998351,0.005729359999998351,0.0020735199999979415,0.06909816000000113
Trondheim/video/04,,0.0016456000000033555,0.00299376000000251,,0.00299376000000251,0.00299376000000251,0.0017952000000036605,0.032463200000002246
Trondheim/video/05,,0.0012359999999844717,0.0027191999999942595,,0.0027191999999942595,0.0027191999999942595,0.001359599999982919,0.02669759999999144
Trondheim/video/06,,0.0012047999999964532,0.0027104000000051087,,0.0027104000000051087,0.0027104000000051087,0.0013252799999960985,0.026023679999997995
Trondheim/video/07,,0.0014151999999967302,0.003018400000001975,,0.003018400000001975,0.003018400000001975,0.0015567199999964032,0.030568319999996874
Trondheim/video/08,,0.0015197599999865474,0.0027895999999998367,,0.0027895999999998367,0.0027895999999998367,0.0016579199999853245,0.02998071999998686
Trondheim/video/09,,0.0014247200000170324,0.0027913599999962457,,0.0027913599999962457,0.0027913599999962457,0.0015542400000185808,0.028105840000009152
Trondheim/video/10,,0.0016579200000066407,0.002895199999997544,,0.002895199999997544,0.002895199999997544,0.0018086400000072445,0.032706240000003106
