,C0,C1,C3,C4,C8,C11,C12,C23,C24,C25,C29
Trondheim/audio,0.014083200000008844,0.008736800000004763,0.012909600000007515,0.007302400000003928,0.01147520000000668,0.008867200000004516,0.03559920000000716,0.009684159999999054,0.010171200000005598,0.010075359999998312,0.008736800000004763
Trondheim/audio/01,,0.003190719999999203,,0.0005020800000039571,0.008169920000003827,0.004663359999998562,0.03912672000000228,0.004049759999997349,0.006609120000000246,0.004417919999998077,0.003190719999999203
Trondheim/audio/02,,0.006151679999994997,,0.0007242400000002647,0.012974239999994808,0.010187039999994596,0.09203936000000112,0.009522399999998044,0.011580639999994702,0.009908319999997417,0.006151679999994997
Trondheim/audio/03,,0.004675199999997659,,0.000856160000001438,0.010065279999995624,0.007396479999993488,0.0524814400000011,0.006729279999998283,0.008730879999994556,0.007129599999995406,0.004675199999997659
Trondheim/audio/04,,0.0028819200000071987,,0.0006275199999947745,,0.004563040000014951,0.02785856000000564,0.003962640000004569,,0.004322880000010798,0.0028819200000071987
Trondheim/audio/05,,0.00523879999999366,,0.0005987199999992754,,0.007034959999991486,0.034875440000000424,0.006286559999992392,,0.006735599999991848,0.00523879999999366
Trondheim/audio/06,,0.005193999999995924,,0.0005936000000019703,,0.005342399999996417,0.03542304000001906,0.006232799999992267,,0.006826399999994237,0.005193999999995924
Trondheim/audio/07,,0.005244400000002258,,0.0005993599999953858,,0.008091360000008763,0.03491272000000123,0.006293280000008394,,0.009589760000011438,0.005244400000002258
Trondheim/audio/08,,0.006912399999983165,,0.0005027199999858567,,0.006786719999986701,0.030414559999996982,0.005278559999993604,,0.0070380799999796295,0.006912399999983165
Trondheim/audio/09,,0.004704000000010922,,0.0005376000000012482,0.009945600000023092,0.007257600000016851,0.03252480000001867,0.005644800000013106,0.008601600000019971,0.008601600000019971,0.004704000000010922
Trondheim/audio/10,,0.005339599999985012,,0.0006102399999861063,,0.0054921599999815385,0.03554647999999361,0.006407519999996225,,0.006865199999985805,0.005339599999985012
Trondheim/video,0.013029119999995231,0.008082879999998127,0.011943359999996517,0.006755839999998514,0.010616319999996904,0.008203519999998576,0.03293471999999653,0.00898303999999861,0.00940991999999774,0.009344959999999958,0.008082879999998127
Trondheim/video/01,,0.003209439999995567,,0.0005552000000008661,0.007578639999996639,0.004690719999993931,0.03719863999999795,0.004073519999996833,0.006344239999997114,0.004443839999995092,0.003209439999995567
Trondheim/video/02,,0.004411199999996285,,0.0006906400000001867,0.009503199999995715,0.0070887999999964535,0.049267919999998355,0.006485199999996638,0.008295999999996084,0.006847359999996527,0.004411199999996285
Trondheim/video/03,,0.005900639999998347,,0.0008508799999979999,0.012387279999996892,0.00971047999999719,0.08708103999999928,0.00917511999999654,0.011048879999997041,0.009442799999996865,0.005900639999998347
Trondheim/video/04,,0.003148800000001728,,0.0006153599999976223,0.005904000000002796,0.003280000000001948,0.030438400000003085,0.004329600000001932,0.004592000000002372,0.004592000000002372,0.003148800000001728
Trondheim/video/05,,0.004239199999997112,,0.0004844799999972338,,0.006540479999998183,0.02931103999999607,0.0050870399999993765,,0.007751679999998373,0.004239199999997112
Trondheim/video/06,,0.004334399999997629,,0.0004953600000021652,,0.00445823999999817,0.02996927999999599,0.005201279999994313,,0.005696639999996478,0.004334399999997629
Trondheim/video/07,,0.003373439999990069,,0.0006175999999982196,0.006325199999984932,0.003513999999988471,0.03260991999999163,0.004638479999989897,0.004919599999986701,0.004919599999986701,0.003373439999990069
Trondheim/video/08,,0.004790800000002093,,0.0005475199999978031,0.0076652800000047705,0.004927680000001544,0.03312496000000209,0.005748960000005354,0.006296480000003157,0.006296480000003157,0.004790800000002093
Trondheim/video/09,,0.004603200000001806,,0.0005260800000002064,0.007365120000002889,0.0047347200000018574,0.03182784000000538,0.005523840000002167,0.006049920000002373,0.006049920000002373,0.004603200000001806
Trondheim/video/10,,0.003039360000002489,,0.0006179199999962748,0.0073451200000036465,0.004812320000006309,0.029380480000000375,0.00417911999999987,0.006078720000004978,0.0045590400000037334,0.003039360000002489
