,C0,C18
Trondheim/audio,0.007138559999987137,0.007138559999987137
Trondheim/audio/01,0.0068313599999925145,0.007199040000003265
Trondheim/audio/02,0.008265840000007074,0.008624880000006385
Trondheim/audio/03,0.009461760000007757,0.009820800000007068
Trondheim/audio/04,0.006643199999984972,0.006643199999984972
Trondheim/audio/05,0.006608640000024479,0.006608640000024479
Trondheim/audio/06,0.005832959999992227,0.005832959999992227
Trondheim/audio/07,0.006332159999999476,0.006332159999999476
Trondheim/audio/08,0.0058444799999790575,0.0058444799999790575
Trondheim/audio/09,0.007461120000016308,0.007461120000016308
Trondheim/audio/10,0.006385920000013812,0.006385920000013812
Trondheim/video,0.006232319999995184,0.006232319999995184
Trondheim/video/01,0.0066969599999922025,0.00763423999999624
Trondheim/video/02,0.008212479999997413,0.009057599999996668
Trondheim/video/03,0.010343919999998619,0.01064471999999661
Trondheim/video/04,0.0070924800000042865,0.0070924800000042865
Trondheim/video/05,0.0064089599999874736,0.0064089599999874736
Trondheim/video/06,0.006355199999987349,0.006355199999987349
Trondheim/video/07,0.006005759999993643,0.006005759999993643
Trondheim/video/08,0.007173120000004474,0.007173120000004474
Trondheim/video/09,0.0060595200000079785,0.0060595200000079785
Trondheim/video/10,0.006090239999991809,0.006090239999991809
