,C0,C2,C3,C4,C5,C6,C7,C8,C11,C15,C16,C17,C19,C20,C22,C24,C29
Trondheim/audio,0.033231040000003986,0.020144480000006126,0.022791200000000345,0.020144480000006126,,0.024261599999999106,0.020144480000006126,0.021467840000003235,0.020144480000006126,0.020144480000006126,,0.02029152000000778,0.02455568000000241,0.05703616000000267,0.021467840000003235,,
Trondheim/audio/01,0.03912408000000056,0.003700799999997173,0.0071212799999997856,0.003700799999997173,,0.009417439999989341,0.003700799999997173,0.003951440000001583,0.0039475199999969846,0.005588639999995593,,0.0035774399999972673,0.009493119999994803,0.04920399999999603,0.0062476799999942045,,
Trondheim/audio/02,0.05275735999999753,0.004971839999988958,0.010015920000000733,0.004971839999988958,,0.011443920000001384,0.004971839999988958,0.005844959999997457,0.005221439999985478,0.006840959999991014,,0.004847039999990699,0.011134959999996141,0.06168543999999443,0.007497119999992918,,
Trondheim/audio/03,0.06563783999999728,0.006198559999997855,0.011465040000004478,0.006198559999997855,,0.012912240000005681,0.006198559999997855,0.008548959999998829,0.006445119999998639,0.008069199999997778,,0.006075279999997463,0.012603280000000439,0.07401191999999668,0.008728399999995418,,
Trondheim/audio/04,0.026098400000009292,0.004497599999979229,0.008143200000006345,0.004497599999979229,,0.00965120000000752,0.004497599999979229,0.005996799999977043,0.00479743999997595,0.00479743999997595,0.032629360000001384,0.004347679999980869,0.00884527999997431,0.02971775999999693,0.006146719999975403,0.03409256000000482,
Trondheim/audio/05,,0.0037943999999896505,0.006829920000001266,0.0037943999999896505,,0.008094720000002553,0.0037943999999896505,0.005185679999989645,0.004047359999987066,0.00493271999999223,,0.003667919999990943,0.007462319999994804,0.02694023999999473,0.005185679999989645,,
Trondheim/audio/06,0.028716320000000906,0.003863999999992984,0.006955200000007267,0.003863999999992984,,0.008243200000009665,0.003863999999992984,0.0051519999999953825,0.004121599999990622,0.005023199999996564,,0.0037351999999941654,0.00759920000000136,0.02743440000000419,0.005280799999994201,,
Trondheim/audio/07,,0.0038375999999686883,0.006907679999983429,0.0038375999999686883,,0.008186879999982466,0.0038375999999686883,0.005116799999967725,0.004093439999962811,0.004093439999962811,0.027455759999995166,0.003709679999971627,0.007547279999968737,0.027246959999985165,0.0052447199999647864,0.0286869599999946,
Trondheim/audio/08,,0.0037271999999859418,0.007305120000005161,0.0037271999999859418,,0.008657920000004538,0.0037271999999859418,0.005093839999986471,0.003975679999982162,0.004845359999990251,,0.0036029599999878315,0.0073301599999950895,0.026463120000002505,0.005093839999986471,,
Trondheim/audio/09,0.029847519999989913,0.003974399999975731,0.007153919999986158,0.003974399999975731,,0.008478719999985174,0.003974399999975731,0.005299199999974746,0.0042393599999712706,0.005166719999976976,0.03171952000000999,0.0038419199999779607,0.007816319999975008,0.02821823999998685,0.005431679999972516,0.0331419200000127,
Trondheim/audio/10,0.027116480000003662,0.003940799999980982,0.007248959999998306,0.003940799999980982,,0.00859135999999694,0.003940799999980982,0.0053857599999815875,0.004203519999975924,0.004203519999975924,0.029364640000004272,0.0038094399999835105,0.007750239999992914,0.027979680000001395,0.0053857599999815875,0.03068144000000217,
Trondheim/video,0.030067039999998713,0.018226479999999157,0.020621200000000783,0.018226479999999157,,0.021951600000001292,0.018226479999999157,0.01942383999999997,0.018226479999999157,0.018226479999999157,,0.018359519999998852,0.022351039999998434,0.052540159999997726,0.019527439999999174,,
Trondheim/video/01,0.04083031999999953,0.00362880000000132,0.006888479999998864,0.00362880000000132,,0.009283440000000809,0.00362880000000132,0.005070560000000057,0.0038707200000018815,0.005348240000000004,,0.003507840000001039,0.008207679999998163,0.04639759999999882,0.006192480000001055,,
Trondheim/video/02,0.055428960000000416,0.004867599999998973,0.009789999999997079,0.004867599999998973,,0.011158799999996916,0.004867599999998973,0.006642080000000661,0.005121999999998295,0.006505919999998611,,0.004740399999999312,0.01074543999999733,0.05879255999999877,0.007337680000000901,,
Trondheim/video/03,0.06745951999999811,0.006306000000000367,0.011321599999996934,0.006306000000000367,,0.010446719999999132,0.006306000000000367,0.007872320000000599,0.006573200000000057,0.008155279999998655,0.0691847999999986,0.006172400000000522,0.012573039999995927,0.10114751999999783,0.008680080000001311,,
Trondheim/video/04,0.02435311999999712,0.003964799999998547,0.008173439999996646,0.003964799999998547,,0.009687039999995761,0.003964799999998547,0.005286399999999247,0.004229119999997977,0.004229119999997977,0.03305752000000162,0.0038326399999988325,0.0077974400000009325,0.02745584000000001,0.005418559999998962,0.034539920000002056,
Trondheim/video/05,0.028344640000000254,0.0038880000000105497,0.006998400000004068,0.0038880000000105497,,0.008294400000004032,0.0038880000000105497,0.0051840000000105135,0.004147200000012674,0.004147200000012674,0.02752711999999846,0.0037584000000094875,0.007646400000009379,0.027604800000002427,0.005313600000011576,0.028761519999999763,
Trondheim/video/06,0.02981519999999449,0.0038544000000086953,0.006937920000005704,0.0038544000000086953,,0.008222720000006234,0.0038544000000086953,0.005139200000009225,0.004111360000010222,0.005010720000008462,0.028686720000003163,0.0037259200000079318,0.007580320000009522,0.027366240000006314,0.005267680000009989,0.029973120000004627,
Trondheim/video/07,0.029928319999996233,0.00382559999999188,0.007896960000003617,0.00382559999999188,,0.009359360000004813,0.00382559999999188,0.0051007999999903575,0.004080639999990865,0.004080639999990865,0.03043503999999686,0.0036980799999923875,0.00752367999998782,0.02764975999999919,0.00522831999998985,0.031799839999997914,
Trondheim/video/08,0.030607039999999586,0.0034892800000037028,0.007140959999993868,0.0034892800000037028,0.045759040000000084,0.008463359999993258,0.0034892800000037028,0.004692480000002774,0.003729920000004938,0.004572160000002157,,0.003368960000003085,0.0069785600000003,0.028167119999999102,0.004812800000003392,,0.045759040000000084
Trondheim/video/09,0.02634079999999983,0.003914399999992213,0.007045919999995931,0.003914399999992213,,0.008350719999995704,0.003914399999992213,0.005219199999991986,0.0041753599999907465,0.005088719999992719,,0.0037839199999929463,0.007698319999992265,0.027792240000000135,0.0053496799999912525,,
Trondheim/video/10,0.027181120000001613,0.0038639999999858787,0.006955199999989503,0.0038639999999858787,,0.008243199999988349,0.0038639999999858787,0.005151999999984724,0.004121599999983516,0.005023199999985906,,0.00373519999998706,0.007599199999983597,0.02743439999999353,0.005280799999983543,,
