,C0,C1,C3,C9,C14,C21
Trondheim/audio,0.006031519999993407,0.0061626399999923365,0.04242063999999601,0.006818239999997644,0.007211599999994434,0.01066671999999258
Trondheim/audio/01,0.0076944000000018775,0.0010649600000078863,0.049572000000004834,0.006363200000002678,0.005307439999999275,0.009254400000003216
Trondheim/audio/02,0.009522879999998679,0.0013875199999944243,0.06527568000000272,0.007954879999999775,0.006601119999995575,0.011090879999997583
Trondheim/audio/03,0.01097999999999999,0.001534239999994469,0.1102896000000051,0.009412000000001086,0.008126479999994274,0.012547999999998893
Trondheim/audio/04,0.00661680000001752,0.0011763200000132201,0.03176064000001588,0.0051464000000152055,0.0036952000000098906,0.008087200000019834
Trondheim/audio/05,0.005418000000005918,0.0009632000000010521,0.026006399999999985,0.004214000000004603,0.0032866400000060025,0.006622000000007233
Trondheim/audio/06,0.006674400000015623,0.0011865600000078302,0.03203712000000536,0.005191200000012941,0.00407488000001166,0.008157600000018306
Trondheim/audio/07,0.007092000000007204,0.0012608000000113861,0.034041600000009,0.005516000000007182,0.004062160000010806,0.008668000000007225
Trondheim/audio/08,0.006699599999976158,0.0011910399999806032,0.03215807999998077,0.005210799999979088,0.004044639999989386,0.008188399999973228
Trondheim/audio/09,0.006256799999995621,0.0011123200000042743,0.030032639999994615,0.004866399999997384,0.00367400000000373,0.007647199999993859
Trondheim/audio/10,0.005824800000006292,0.0010355200000162768,0.02795904000000604,0.004530400000007262,0.003407440000003703,0.007119200000005321
Trondheim/video,0.005751840000002062,0.005876880000002416,0.04061487999999969,0.006502080000000632,0.006877200000001693,0.010209200000002028
Trondheim/video/01,0.0073811999999993105,0.0010284800000022187,0.04759751999999651,0.00609560000000009,0.004776800000001913,0.00889671999999564
Trondheim/video/02,0.008806240000001964,0.0012101600000065105,0.06112415999999676,0.007582800000001555,0.006141840000001508,0.010321759999998292
Trondheim/video/03,0.0106841599999985,0.0014874399999964538,0.10525391999999378,0.009154559999998924,0.0076790400000010806,0.012213759999998075
Trondheim/video/04,0.005965200000002113,0.0010604800000066916,0.028632960000004815,0.0046396000000026305,0.0034539200000018866,0.007290800000001596
Trondheim/video/05,0.005925600000001197,0.0010534399999926336,0.028442879999996507,0.004608799999999746,0.0033650400000020397,0.007242400000002647
Trondheim/video/06,0.006012000000001905,0.0010688000000129705,0.02885760000000559,0.004676000000003455,0.003820160000003625,0.007348000000000354
Trondheim/video/07,0.006739199999998391,0.0011980799999946612,0.03234815999999796,0.005241599999997959,0.004021999999999082,0.008236799999998823
Trondheim/video/08,0.006686399999992432,0.001069440000009081,0.028874880000007153,0.0046788000000077545,0.0037084800000037887,0.0073524000000091405
Trondheim/video/09,0.006528480000000059,0.0009772800000007464,0.026386559999998838,0.004275600000003266,0.003262240000001526,0.006718800000005132
Trondheim/video/10,0.006189120000001935,0.0009772800000007464,0.026386559999998838,0.004275600000003266,0.0031689599999999984,0.006718800000005132
