,C0,C3,C5,C8,C9,C14,C20,C22
Trondheim/audio,0.006201599999997143,0.03971840000000171,0.0047803999999977975,0.006718399999996905,0.006201599999997143,0.0033591999999984523,0.006201599999997143,0.00891375999999866
Trondheim/audio/01,0.006674480000000926,0.04726008000000448,0.0038113600000002634,0.007173520000002043,0.006674480000000926,0.0005100799999979699,0.0063744800000016255,0.008165680000001174
Trondheim/audio/02,0.009635040000002704,0.06248072000000349,0.005387840000000921,0.009938880000003536,0.009635040000002704,0.0006535999999996989,0.009483120000002287,0.011154240000003313
Trondheim/audio/03,0.010884960000002053,0.09039224000000345,0.006613279999999833,0.011115360000001573,0.010884960000002053,0.0007809600000001637,0.010733040000001637,0.012404160000002662
Trondheim/audio/04,0.009758719999979348,0.03263071999998601,0.006404159999988224,0.010063679999973374,0.009758719999979348,0.0005622399999936079,0.009606239999982336,0.011283519999977898
Trondheim/audio/05,,0.028062000000019793,0.006610160000015242,0.009603440000027774,,0.0004988800000091942,0.009229280000020879,0.010601200000024846
Trondheim/audio/06,0.008963919999999348,0.028727360000004865,0.006010639999999512,0.009232400000001917,0.008963919999999348,0.0005951999999922464,0.008829679999998064,0.010306319999997982
Trondheim/audio/07,,0.02856600000001208,0.006728880000011372,0.00977592000002403,,0.0005078400000115835,0.009395040000015342,0.010791600000018775
Trondheim/audio/08,0.009943040000010228,0.03324703999999912,0.006525120000006268,0.01025376000001188,0.009943040000010228,0.0005513600000028873,0.009787680000009402,0.011496640000011382
Trondheim/audio/09,,0.028097999999999956,0.006618639999999232,0.009615760000002638,,0.0004995200000053046,0.00924111999999866,0.010614799999999036
Trondheim/audio/10,0.010141359999984445,0.03353807999999958,0.006693519999991793,0.010454799999983777,0.010141359999984445,0.0006223999999974694,0.009984639999984779,0.011708559999981105
Trondheim/video,0.007576319999998304,0.04548607999999987,0.005840079999998693,0.008207679999998163,0.007576319999998304,0.0041038399999990816,0.007681279999996349,0.010221599999997721
Trondheim/video/01,0.006909040000000033,0.0516324000000008,0.004035199999998795,0.00742759999999798,0.006909040000000033,0.0005427199999985532,0.006909040000000033,0.008427120000000343
Trondheim/video/02,0.009431680000000497,0.06509464000000165,0.005408479999999827,0.00970064000000015,0.009431680000000497,0.000756160000001671,0.009297200000000672,0.010776480000000532
Trondheim/video/03,0.011031680000002098,0.07971424000000304,0.0068924800000012,0.01132384000000286,0.011031680000002098,0.0009074400000024241,0.010885600000001716,0.01249248000000236
Trondheim/video/04,,0.03169799999999867,0.007466640000000524,0.010847760000000761,,0.0005635200000000395,0.010425120000000732,0.01197480000000084
Trondheim/video/05,,0.03466800000001058,0.008166240000008429,0.011864160000016,,0.0006163200000059987,0.0114019200000115,0.013096800000013786
Trondheim/video/06,,0.03007800000000671,0.00708504000000687,0.010293360000012797,,0.0005347200000045405,0.009892320000009391,0.01136280000001122
Trondheim/video/07,,0.0317339999999966,0.007475120000002278,0.010860080000000494,,0.00056415999999615,0.010436960000003381,0.011988400000003452
Trondheim/video/08,,0.03189600000000681,0.0075132800000048405,0.010915520000011725,,0.0005670400000070686,0.010490240000006423,0.012049600000008098
Trondheim/video/09,,0.029286000000009693,0.00689848000001092,0.01002232000001868,,0.0005206400000048461,0.009631840000015046,0.011063600000017715
Trondheim/video/10,,0.034218000000002746,0.008060240000006047,0.011710160000006908,,0.0006083199999977751,0.011253920000008577,0.012926800000009564
