,C0,C2,C3,C8,C9,C10,C13,C17,C21,C24,C25,C29
Trondheim/audio,0.014270399999979588,0.011574879999987076,0.009830719999989412,0.01142495999998161,0.013555519999986387,0.009513599999984024,0.011416319999987934,0.009037919999986599,0.009989279999988554,0.007769439999986361,0.01142495999998161,0.013555519999986387
Trondheim/audio/01,,0.008866240000003245,0.004148880000002464,0.005249039999995375,0.007379600000000153,0.004425200000003571,0.0055760800000008715,0.0005852799999956915,0.001703999999985939,0.0012742399999865484,0.005249039999995375,0.007379600000000153
Trondheim/audio/02,,0.011634560000008065,0.007064960000004561,0.006562879999997051,0.008693440000001829,0.006033280000000474,0.008588160000005729,0.000706639999997094,0.0018379199999856155,0.0014081599999862249,0.006562879999997051,0.008693440000001829
Trondheim/audio/03,,0.012987920000007591,0.008418320000004087,0.010635919999998578,0.012317200000005357,0.007558640000002725,0.009941520000005255,0.0008292799999978229,0.001974479999987011,0.0015447199999876204,0.010635919999998578,0.012317200000005357
Trondheim/audio/04,,,,0.003985279999994873,0.005518079999994541,0.03264863999999079,,0.0005734400000108053,0.0015327999999925623,0.0012262399999940499,0.003985279999994873,0.005518079999994541
Trondheim/audio/05,,,,0.0035547199999967916,0.004921919999993918,0.029121359999997765,,0.0005427199999985532,0.0013672000000042317,0.0010937600000033854,0.0035547199999967916,0.004921919999993918
Trondheim/audio/06,,,,0.0031824000000142405,0.0044064000000147985,0.02607120000000407,,0.0005225600000073882,0.0012240000000218743,0.0009792000000174994,0.0031824000000142405,0.0044064000000147985
Trondheim/audio/07,,,,0.0031761599999811096,0.004397759999982043,0.026020079999995005,,0.0006262400000025536,0.001221599999965406,0.0009772799999723247,0.0031761599999811096,0.004397759999982043
Trondheim/audio/08,,,,0.0034486399999877904,0.004775039999991293,0.028252319999992892,,0.0005507200000067769,0.0013263999999679754,0.0010611199999743803,0.0034486399999877904,0.004775039999991293
Trondheim/audio/09,,,,0.0034611200000114195,0.004792320000014172,0.028354560000003914,,0.0004867199999978311,0.0013312000000098578,0.0010649600000078863,0.0034611200000114195,0.004792320000014172
Trondheim/audio/10,,,,0.0035339199999953053,0.004893119999998419,0.02895096000000308,,0.0005059199999948305,0.0013591999999817972,0.0010873599999854378,0.0035339199999953053,0.004893119999998419
Trondheim/video,0.011548799999996362,0.00936735999999705,0.007955839999997494,0.009595199999999693,0.011743839999997618,0.007699199999997575,0.00923903999999709,0.007314239999997696,0.008400400000004637,0.006287679999998019,0.009595199999999693,0.011743839999997618
Trondheim/video/01,,0.009714240000000984,0.004595039999999884,0.0049172000000030636,0.007065840000000989,0.0028922400000013226,0.0068470400000002485,0.0005007999999975254,0.0017032000000067882,0.001264000000006149,0.0049172000000030636,0.007065840000000989
Trondheim/video/02,,0.010926960000002595,0.005807760000001494,0.006482240000002193,0.008630880000000118,0.006002320000002115,0.008059760000001859,0.0006631199999986848,0.0018598400000069404,0.0014206400000063013,0.006482240000002193,0.008630880000000118
Trondheim/video/03,,0.012427760000003119,0.007278160000002032,0.010507760000002975,0.01195064000000201,0.0074622400000006195,0.009530160000002397,0.0007956799999995212,0.0019844000000066586,0.0015452000000060195,0.010507760000002975,0.01195064000000201
Trondheim/video/04,,,,0.003716959999998437,0.005146559999998246,0.002779040000000066,,0.0005091199999966989,0.0014295999999980324,0.001143679999998426,0.003716959999998437,0.005146559999998246
Trondheim/video/05,,,,0.0033820800000086138,0.0046828800000078274,0.0026558400000027405,,0.0006163200000059987,0.0013008000000169773,0.0010406400000135818,0.0033820800000086138,0.0046828800000078274
Trondheim/video/06,,,,0.003791839999990998,0.005250239999991635,0.002712160000001518,,0.0006220799999994142,0.0014583999999828734,0.0011667199999862987,0.003791839999990998,0.005250239999991635
Trondheim/video/07,,,,0.003411199999987957,0.004723199999986605,0.003028960000001746,,0.0005344000000064852,0.0013119999999844367,0.0010495999999875494,0.003411199999987957,0.004723199999986605
Trondheim/video/08,,,,0.0037606399999887685,0.005207039999987728,0.002861760000001823,,0.0005366400000070826,0.0014463999999847488,0.001157119999987799,0.0037606399999887685,0.005207039999987728
Trondheim/video/09,,,,0.0034340799999981186,0.004754879999996575,0.003359840000001668,,0.0005395200000037903,0.0013208000000020093,0.0010566400000016074,0.0034340799999981186,0.004754879999996575
Trondheim/video/10,,,,0.003513119999993819,0.0048643199999922615,0.0033915200000009804,,0.0006377600000035955,0.0013511999999948898,0.0010809599999959119,0.003513119999993819,0.0048643199999922615
