,C0,C2,C5,C7,C8,C10,C15,C21,C23
Trondheim/audio,0.008574719999984382,0.009873919999982661,0.01117311999998094,0.008834559999982616,0.04217023999999725,0.007275519999986102,0.010003839999981778,0.008574719999984382,0.009873919999982661
Trondheim/audio/01,0.008202880000013124,0.010077760000008595,0.011542560000009416,0.0065916000000108,0.04938472000001681,0.006738080000012303,0.008759440000009278,0.008612960000007774,0.010077760000008595
Trondheim/audio/02,0.010038480000016392,0.010162160000017906,0.00892536000001698,0.005156240000015799,0.06411528000001354,0.008801680000015466,0.00929640000002152,0.009172720000020007,0.010162160000017906
Trondheim/audio/03,0.011261200000014071,0.011632240000018612,0.010148080000014659,0.006371680000007984,0.1062336000000137,0.010024400000013145,0.0105191200000192,0.010395440000017686,0.011632240000018612
Trondheim/audio/04,0.0075084800000198015,0.008849280000021054,0.010190080000022306,0.007776640000024315,0.033278080000009425,0.0061676800000185494,0.007642560000022058,0.0075084800000198015,0.008849280000021054
Trondheim/audio/05,0.007875839999989864,0.009282239999990338,0.010688639999990812,0.006328799999991475,0.02962175999999772,0.00646943999998939,0.00801647999998778,0.007875839999989864,0.009282239999990338
Trondheim/audio/06,0.007960960000019668,0.009382560000020135,0.010804160000020602,0.006397200000016312,0.03355647999999434,0.006539360000019201,0.008103120000022557,0.007960960000019668,0.009382560000020135
Trondheim/audio/07,0.0074323200000137035,0.008759520000012344,0.010086720000010985,0.005972400000011646,0.03260991999998453,0.006105120000015063,0.00756504000001712,0.0074323200000137035,0.008759520000012344
Trondheim/audio/08,0.009290240000041194,0.008067840000038018,0.009290240000041194,0.007089920000041161,0.02994880000003519,0.005623040000031665,0.006967680000038001,0.006845440000034841,0.008067840000038018
Trondheim/audio/09,0.006274560000008478,0.007712480000009236,0.009019680000008634,0.0036601600000096823,0.0331295999999881,0.00496736000000908,0.006405280000009839,0.006274560000008478,0.007712480000009236
Trondheim/audio/10,0.006232320000009395,0.00766056000001214,0.008958960000015281,0.003635520000003112,0.02834112000000033,0.004933920000006253,0.006362160000008998,0.006232320000009395,0.00766056000001214
Trondheim/video,0.007962239999997678,0.009168639999996842,0.010375039999996005,0.008203519999998576,0.041998080000000826,0.006755839999998514,0.00928927999999729,0.007962239999997678,0.009168639999996842
Trondheim/video/01,0.00787904000000239,0.009864319999996596,0.011241919999996242,0.0061991999999957415,0.046597120000003045,0.006501440000002745,0.008624479999996382,0.00848671999999695,0.009864319999996596
Trondheim/video/02,0.01012679999999655,0.01037967999999978,0.00898368000000005,0.005212640000001656,0.06076968000000349,0.008730799999996819,0.0094024800000021,0.009262880000001417,0.01037967999999978
Trondheim/video/03,0.011422479999994906,0.011954559999999503,0.010279359999998405,0.006480959999995761,0.106971920000003,0.010026479999995175,0.010698160000000456,0.010558559999999773,0.011954559999999503
Trondheim/video/04,0.007217279999997217,0.00850607999999653,0.009794879999995842,0.005799599999997795,0.030104319999997742,0.005928479999997904,0.007346159999997326,0.007217279999997217,0.00850607999999653
Trondheim/video/05,0.0058329600000064374,0.007169680000007617,0.008384880000008366,0.0034025600000049394,0.034428800000004145,0.004617760000005688,0.005954480000006868,0.0058329600000064374,0.007169680000007617
Trondheim/video/06,0.007365120000002889,0.008680320000003405,0.009995520000003921,0.005918400000002322,0.02874943999999857,0.006049920000002373,0.007496640000002941,0.007365120000002889,0.008680320000003405
Trondheim/video/07,0.005932799999982308,0.0072923999999794376,0.00852839999997812,0.0034607999999849426,0.03260991999999163,0.004696799999983625,0.006056399999980755,0.005932799999982308,0.0072923999999794376
Trondheim/video/08,0.00913824000000929,0.007935840000008909,0.00913824000000929,0.006973920000010736,0.028266879999996775,0.005531040000008147,0.006853680000009632,0.006733440000008528,0.007935840000008909
Trondheim/video/09,0.006961920000012611,0.008205120000013721,0.009448320000014832,0.0055944000000103244,0.03206440000000299,0.005718720000011501,0.007086240000013788,0.006961920000012611,0.008205120000013721
Trondheim/video/10,0.006809599999996863,0.008025599999996302,0.009241599999995742,0.0070527999999967506,0.03121792000000312,0.005593599999997423,0.006931199999996807,0.006809599999996863,0.008025599999996302
