,C0,C2,C3,C4,C7,C8,C10,C12,C14,C15,C17,C18,C19,C20,C22,C26,C29
Trondheim/audio,0.013785279999979139,0.010638639999982047,0.010788479999980893,0.01724647999997586,0.012586559999988367,0.012586559999988367,0.01584151999997374,0.010189119999985508,0.013214159999971997,0.011987199999982323,0.01724647999997586,0.013785279999979139,0.00929007999998177,0.013485599999981446,0.011987199999982323,0.008690719999986385,0.013485599999981446
Trondheim/audio/01,0.011782719999995805,0.007040159999998963,0.007593599999996314,0.010999599999991005,0.008107679999987738,0.008107679999987738,0.009861679999989548,0.006994240000000929,0.00859687999998826,0.008745599999997467,0.010999599999991005,0.011782719999995805,0.005775359999997676,0.010150719999995061,0.008792319999997744,0.0005059199999948305,0.010150719999995061
Trondheim/audio/02,0.012538800000001515,0.00791160000000346,0.008349680000002024,0.011926640000009314,0.007369280000002476,0.007369280000002476,0.010700159999995407,0.0077503200000066386,0.00935295999999397,0.009518160000002496,0.011926640000009314,0.012538800000001515,0.006564400000002024,0.010906800000000771,0.009548400000003454,0.0007459999999994693,0.010906800000000771
Trondheim/audio/03,0.014152800000005072,0.009602800000010348,0.009848240000003727,0.01385176000000854,0.00900383999999832,0.00900383999999832,0.012366960000008476,0.009248880000008342,0.010882160000008412,0.011044240000007477,0.01385176000000854,0.014152800000005072,0.008118000000010284,0.011333040000003791,0.011183200000004945,0.000888639999999441,0.012668000000005009
Trondheim/audio/04,0.030345839999995405,0.0057342400000095495,0.009615760000002638,0.00923088000000405,0.007118160000004536,0.007118160000004536,0.007982080000004999,0.005359600000005571,0.006733280000005948,0.006858160000007274,0.00923088000000405,0.030345839999995405,0.004610320000011825,0.029097039999996355,0.027848239999997304,0.0006355200000029981,0.029097039999996355
Trondheim/audio/05,0.009271919999996214,0.005494959999992943,0.009271919999996214,0.009141679999999042,0.007423679999980948,0.007423679999980948,0.007839279999998894,0.005104240000001425,0.006536879999998746,0.0066671199999959185,0.009141679999999042,0.009271919999996214,0.004322799999989968,0.007969519999996066,0.0066671199999959185,0.0005654400000025817,0.007969519999996066
Trondheim/audio/06,0.010847359999957007,0.006221279999962803,0.006380799999959663,0.010687839999960147,0.009092639999963126,0.009092639999963126,0.009092639999963126,0.005742719999972223,0.0074974399999661046,0.0076569599999629645,0.010687839999960147,0.010847359999957007,0.004785599999962642,0.009252159999959986,0.0076569599999629645,0.0005318400000078327,0.009252159999959986
Trondheim/audio/07,,0.006015519999998276,0.010293600000004233,0.010146080000005497,0.008408639999998968,0.008408639999998968,0.008670880000003933,0.00557296000000207,0.007195680000002369,0.007343200000001104,0.010146080000005497,,0.004687839999995447,0.008818400000002669,0.007343200000001104,0.0005855999999937467,
Trondheim/audio/08,,0.005772639999989337,0.009781599999982404,0.009643359999984114,0.007879679999973632,0.007879679999973632,0.008260959999986994,0.005357919999994465,0.006878559999989875,0.007016799999988166,0.009643359999984114,,0.004528479999990509,0.008399199999985285,0.007016799999988166,0.0005817599999886625,
Trondheim/audio/09,0.029801520000006576,0.004872400000010657,0.009443280000006382,0.008306320000009748,0.006990480000006016,0.006990480000006016,0.007079920000009565,0.004504480000008471,0.005853520000009382,0.005976160000010111,0.008306320000009748,0.029801520000006576,0.003768640000011203,0.028575120000006393,0.02734872000000621,0.00048160000000052605,0.028575120000006393
