,C0,C2,C4,C5,C7,C9,C15,C19,C22,C26,C27
Trondheim/audio,0.006228480000004311,0.0049308800000034125,0.00885232000000613,,0.0049308800000034125,0.0035035200000024247,0.012723680000007676,0.007314400000005605,0.00898208000000622,0.04381824000000023,0.007314400000005605
Trondheim/audio/01,0.008589120000003447,0.007113920000001883,0.008317279999999982,0.01301472000000814,0.007113920000001883,0.000885119999992412,,0.005321600000002036,0.008464799999998718,0.05508447999999788,0.005321600000002036
Trondheim/audio/02,0.009847840000006158,0.008372640000004594,0.009536640000007424,0.01427344000001085,0.008372640000004594,0.0010129599999935124,,0.006560640000007112,0.009664480000008524,0.06784880000000015,0.006560640000007112
Trondheim/audio/03,0.011304000000002645,0.009828800000001081,0.011025119999999333,0.015729600000007338,0.009828800000001081,0.0011569599999923241,,0.009311360000001656,0.011169119999998145,0.09504895999999619,0.009311360000001656
Trondheim/audio/04,0.0070508799999942084,0.005518079999994541,0.005518079999994541,0.011649279999993212,0.005518079999994541,0.0009196799999955374,,0.0038319999999956167,0.005671359999993797,0.03280191999999005,0.0038319999999956167
Trondheim/audio/05,,0.004383359999984293,0.004383359999984293,,0.004383359999984293,0.0007305599999938295,,0.0030439999999885003,0.004505119999983265,0.026056639999985975,0.0030439999999885003
Trondheim/audio/06,0.006936800000005405,0.00542880000000423,0.00542880000000423,0.01146080000000893,0.00542880000000423,0.000904800000000705,,0.0037700000000029377,0.005579600000004348,0.032271199999996725,0.0037700000000029377
Trondheim/audio/07,0.006693919999989362,0.00523871999998704,0.00523871999998704,0.011059519999996326,0.00523871999998704,0.0008731199999800765,,0.0036379999999880397,0.00538423999998372,0.031141279999992832,0.0036379999999880397
Trondheim/audio/08,,0.0056188799999787875,0.0056188799999787875,,0.0056188799999787875,0.000936479999978701,,0.0039019999999823085,0.005774959999975238,0.033401119999986406,0.0039019999999823085
Trondheim/audio/09,,0.00543455999999054,0.00543455999999054,,0.00543455999999054,0.0009057599999948707,,0.0037739999999928386,0.005585519999989685,0.03230543999999469,0.0037739999999928386
Trondheim/audio/10,0.007139199999997459,0.0055872000000007915,0.0055872000000007915,0.01179519999998746,0.0055872000000007915,0.0009312000000107901,,0.003880000000002326,0.00574240000000259,0.03321280000000826,0.003880000000002326
Trondheim/video,0.00732671999999468,0.005800319999995196,0.011343679999994194,,0.005800319999995196,0.004121279999996119,0.013785919999994789,0.008297599999995242,0.011496319999993787,0.048479359999998195,0.008297599999995242
Trondheim/video/01,0.008696479999997564,0.007267679999998222,0.008621919999999506,0.012982879999995589,0.007267679999998222,0.0008572800000017367,,0.005585599999999857,0.008764799999999795,0.058636320000003295,0.005585599999999857
Trondheim/video/02,0.009909679999998033,0.008480879999998692,0.00979592000000018,0.014196079999996059,0.008480879999998692,0.0009805600000021286,0.0111424799999984,0.006779200000000429,0.009919200000000572,0.07094472000000351,0.006779200000000429
Trondheim/video/03,0.011524399999997215,0.010016399999997816,0.011386479999998755,0.01604839999999541,0.010016399999997816,0.0011709600000013864,,0.008342239999999279,0.011537279999998873,0.08605224000000256,0.008342239999999279
Trondheim/video/04,,0.004895999999996903,0.004895999999996903,,0.004895999999996903,0.0008159999999968193,,0.003399999999997405,0.005031999999996373,0.029103999999998464,0.003399999999997405
Trondheim/video/05,,0.005451840000002761,0.005451840000002761,,0.005451840000002761,0.0009086399999986838,,0.0037860000000016214,0.005603280000002542,0.03240815999999924,0.0037860000000016214
Trondheim/video/06,,0.004412160000011767,0.004412160000011767,,0.004412160000011767,0.0007353600000072902,,0.0030640000000090595,0.004534720000012982,0.026227840000007774,0.0030640000000090595
Trondheim/video/07,,0.0048643199999922615,0.0048643199999922615,,0.0048643199999922615,0.0008107199999969339,,0.00337799999999433,0.0049994399999917505,0.02891567999999367,0.00337799999999433
Trondheim/video/08,,0.00457055999999767,0.00457055999999767,,0.00457055999999767,0.0007617599999960589,,0.0031739999999977897,0.004697519999997013,0.027169439999994438,0.0031739999999977897
Trondheim/video/09,,0.004823999999992168,0.004823999999992168,,0.004823999999992168,0.0008039999999951419,,0.003349999999993969,0.004957999999991358,0.02867599999999726,0.003349999999993969
Trondheim/video/10,,0.00549503999999601,0.00549503999999601,,0.00549503999999601,0.0009158399999975586,,0.003815999999996933,0.005647679999995603,0.032664959999994636,0.003815999999996933
