,C0,C1,C10,C11,C22,C23,C27
Trondheim/audio,0.007891999999998234,0.007891999999998234,0.00741847999999834,0.009154719999997951,0.014211680000002502,0.010733119999997598,0.009154719999997951
Trondheim/audio/01,0.007891360000002123,0.007891360000002123,0.0037939200000067785,0.006210800000001626,0.009761600000004478,0.010955680000002133,0.006210800000001626
Trondheim/audio/02,0.009604240000001596,0.009604240000001596,0.005543039999999166,0.007814959999997484,0.01147448000000395,0.01292224000000175,0.007814959999997484
Trondheim/audio/03,0.011091840000002406,0.011091840000002406,0.00702224000000129,0.009294159999999607,0.012962080000004761,0.01440984000000256,0.009294159999999607
Trondheim/audio/04,0.0070056000000064955,0.0070056000000064955,0.004047679999999332,0.005760160000001235,0.00887376000000728,0.010274880000011422,0.005760160000001235
Trondheim/audio/05,0.007192800000005661,0.007192800000005661,0.004155840000009903,0.005914080000010813,0.009110880000008592,0.010549440000005461,0.005914080000010813
Trondheim/audio/06,0.005828400000012834,0.005828400000012834,0.0033675200000118366,0.004792240000014658,0.007382640000017204,0.030307680000007053,0.004792240000014658
Trondheim/audio/07,0.005817600000021628,0.005817600000021628,0.0033612800000213383,0.0047833600000259935,0.00736896000002929,0.030251520000021515,0.0047833600000259935
Trondheim/audio/08,0.005425199999990582,0.005425199999990582,0.003134559999992348,0.004460719999990204,0.006871919999987597,0.02821103999999508,0.004460719999990204
Trondheim/audio/09,0.006465600000005622,0.006465600000005622,0.003735680000005459,0.0053161600000066755,0.008189760000007595,0.009482880000007299,0.0053161600000066755
Trondheim/audio/10,0.00559439999997835,0.00559439999997835,0.0032323199999808594,0.004599839999976041,0.007086239999971156,0.02909087999997695,0.004599839999976041
Trondheim/video,0.006051999999996838,0.006051999999996838,0.005688879999997454,0.007020319999996971,0.010536559999998474,0.008230719999996694,0.007020319999996971
Trondheim/video/01,0.007953840000002543,0.007953840000002543,0.003974880000001235,0.00592632000000215,0.009470000000002088,0.011164320000004224,0.00592632000000215
Trondheim/video/02,0.00942192000000297,0.00942192000000297,0.005437440000001459,0.0073888800000023735,0.010938080000002515,0.012632400000004651,0.0073888800000023735
Trondheim/video/03,0.01085328000000274,0.01085328000000274,0.006864960000001474,0.008816400000002389,0.012369440000002285,0.014063760000004422,0.008816400000002389
Trondheim/video/04,0.006181200000003884,0.006181200000003884,0.003571360000002244,0.005082320000003193,0.00782952000000492,0.03214224000000243,0.005082320000003193
Trondheim/video/05,0.00666000000000011,0.00666000000000011,0.003847999999997853,0.005475999999998038,0.008435999999999666,0.009768000000001109,0.005475999999998038
Trondheim/video/06,0.007084799999990565,0.007084799999990565,0.004093439999991233,0.005825279999989164,0.008974079999987339,0.010391039999987584,0.005825279999989164
Trondheim/video/07,0.005677200000000937,0.005677200000000937,0.003280160000002752,0.004667920000002823,0.007191120000001661,0.02952144000000345,0.004667920000002823
Trondheim/video/08,0.006483599999995704,0.006483599999995704,0.0037460799999919914,0.005330959999991336,0.008212559999993374,0.009509279999996068,0.005330959999991336
Trondheim/video/09,0.006692399999991494,0.006692399999991494,0.0038667199999906643,0.005502639999988901,0.008477039999988278,0.00981551999998942,0.005502639999988901
Trondheim/video/10,0.006627599999994516,0.006627599999994516,0.0038292799999979366,0.005449359999996517,0.00839495999999329,0.009720479999991483,0.005449359999996517
